Bill Credits ID,Date,Amount (BCY),Created Time,Amount (FCY),Last Modified Time
4198696000011960153,09 Oct 2024,"CRC 20,340.00",2024-11-09 07:01:36,"CRC 20,340.00",2024-11-09 07:01:36
4198696000012939975,10 Oct 2024,"CRC 20,005.52",2024-11-26 14:27:35,"CRC 20,005.52",2024-11-26 14:27:35
4198696000012939961,10 Oct 2024,"CRC 20,005.52",2024-11-26 14:23:51,"CRC 20,005.52",2024-11-26 14:23:51
4198696000013368174,03 Dec 2024,"CRC 26,724.68",2024-12-03 17:06:41,"CRC 26,724.68",2024-12-03 17:06:41
4198696000011960155,14 Oct 2024,CRC 340.00,2024-11-09 07:01:36,CRC 340.00,2024-11-09 07:01:36
4198696000011860446,15 Oct 2024,"CRC 27,120.00",2024-11-06 17:03:41,"CRC 27,120.00",2024-11-06 17:03:41
4198696000012940007,16 Oct 2024,"CRC 45,190.96",2024-11-26 14:51:48,"CRC 45,190.96",2024-11-26 14:51:48
4198696000013943439,01 Nov 2024,"CRC 18,446.66",2024-12-12 20:31:26,"CRC 18,446.66",2024-12-12 20:31:26
4198696000011705547,17 Oct 2024,"CRC 389,078.43",2024-11-04 14:43:37,"CRC 389,078.43",2024-11-04 14:43:37
4198696000011705533,17 Oct 2024,"CRC 1,181,306.29",2024-11-04 14:42:57,"CRC 1,181,306.29",2024-11-04 14:42:57
4198696000012939989,31 Oct 2024,"CRC 49,710.96",2024-11-26 14:46:22,"CRC 49,710.96",2024-11-26 14:46:22
4198696000012940853,26 Nov 2024,CRC 495.62,2024-11-26 15:35:21,CRC 495.62,2024-11-26 15:35:21
4198696000012940837,26 Nov 2024,"CRC 2,818.11",2024-11-26 15:35:03,"CRC 2,818.11",2024-11-26 15:35:03
4198696000012940875,26 Nov 2024,"CRC 4,798.21",2024-11-26 15:35:32,"CRC 4,798.21",2024-11-26 15:35:32
4198696000012940855,26 Nov 2024,"CRC 4,302.59",2024-11-26 15:35:21,"CRC 4,302.59",2024-11-26 15:35:21
4198696000013734221,26 Nov 2024,"CRC 40,668.70",2024-12-11 08:17:58,"CRC 40,668.70",2024-12-11 08:17:58
4198696000013943257,07 Nov 2024,"CRC 27,007.00",2024-12-12 13:38:34,"CRC 27,007.00",2024-12-12 13:38:34
4198696000013943259,07 Nov 2024,"CRC 1,966.77",2024-12-12 13:38:34,"CRC 1,966.77",2024-12-12 13:38:34
4198696000013368418,05 Nov 2024,"CRC 75,295.62",2024-12-05 13:47:55,"CRC 75,295.62",2024-12-05 13:47:55
4198696000013943321,12 Nov 2024,"CRC 48,590.00",2024-12-12 13:40:20,"CRC 48,590.00",2024-12-12 13:40:20
4198696000013786369,18 Nov 2024,"CRC 29,594.70",2024-12-11 12:56:15,"CRC 29,594.70",2024-12-11 12:56:15
4198696000012940021,26 Nov 2024,"CRC 7,664.79",2024-11-26 15:22:18,"CRC 7,664.79",2024-11-26 15:22:18
4198696000012940035,26 Nov 2024,CRC 758.80,2024-11-26 15:22:38,CRC 758.80,2024-11-26 15:22:38
4198696000013943241,14 Nov 2024,"CRC 16,822.54",2024-12-12 13:37:25,"CRC 16,822.54",2024-12-12 13:37:25
4198696000013943335,13 Nov 2024,"CRC 1,290.00",2024-12-12 13:40:39,"CRC 1,290.00",2024-12-12 13:40:39
4198696000013747663,02 Dec 2024,"CRC 14,422.00",2024-12-11 08:45:50,"CRC 14,422.00",2024-12-11 08:45:50
4198696000013845929,22 Nov 2024,"CRC 29,481.65",2024-12-12 12:23:07,"CRC 29,481.65",2024-12-12 12:23:07
4198696000013943279,18 Nov 2024,"CRC 3,692.16",2024-12-12 13:39:10,"CRC 3,692.16",2024-12-12 13:39:10
4198696000014041230,21 Nov 2024,"CRC 56,500.00",2024-12-13 11:37:25,"CRC 56,500.00",2024-12-13 11:37:25
4198696000013747677,02 Dec 2024,"CRC 3,367.52",2024-12-11 08:47:06,"CRC 3,367.52",2024-12-11 08:47:06
4198696000013747649,02 Dec 2024,"CRC 3,736.35",2024-12-11 08:44:35,"CRC 3,736.35",2024-12-11 08:44:35
4198696000014041392,22 Nov 2024,"CRC 19,210.00",2024-12-13 11:49:44,"CRC 19,210.00",2024-12-13 11:49:44
4198696000013960367,02 Dec 2024,"CRC 11,991.57",2024-12-12 14:09:23,"CRC 11,991.57",2024-12-12 14:09:23
4198696000014041334,26 Nov 2024,"CRC 15,820.00",2024-12-13 11:48:47,"CRC 15,820.00",2024-12-13 11:48:47
