Expense ID,Customer ID,Vendor ID,Expense Date,Is Billable,Total (BCY),Paid Through,Created Time,Status,Sub Total (BCY),Mileage Rate,Mileage Unit,Distance,Start Odometer Reading,End Odometer Reading,Mileage Type,Merchant ID,Merchant Name,User ID,Report ID,Report Number,Employee Paid Through,Currency Code,Exchange Rate,Last Modified Time
4198696000034330984,,4198696000000960013,31 Oct 2025,No,"CRC 5,395.75",4198696000000298225,2025-11-07 14:16:49,Non-Billable,"CRC 4,775.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:49
4198696000034330900,,4198696000000960013,30 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:48,Non-Billable,"CRC 2,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:48
4198696000034328232,,4198696000000960013,30 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:28,Non-Billable,"CRC 5,000.00",0.00,,,,7664.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:28
4198696000034328204,,4198696000000960013,30 Oct 2025,No,"CRC 10,000.00",4198696000000298225,2025-11-07 14:16:27,Non-Billable,"CRC 10,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:27
4198696000034267001,,,30 Oct 2025,No,CRC 9.00,4198696000000375179,2025-11-07 07:00:38,Non-Billable,CRC 9.00,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 07:03:06
4198696000034329080,,4198696000000960013,29 Oct 2025,No,"CRC 25,999.99",4198696000000298225,2025-11-07 14:16:34,Non-Billable,"CRC 23,008.84",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:34
4198696000034328176,,4198696000000960013,29 Oct 2025,No,"CRC 7,000.00",4198696000000298225,2025-11-07 14:16:27,Non-Billable,"CRC 7,000.00",0.00,,,,25271.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:27
4198696000034328512,,4198696000000960013,29 Oct 2025,No,"CRC 3,380.01",4198696000000298225,2025-11-07 14:16:30,Non-Billable,"CRC 2,991.16",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:30
4198696000034330872,,4198696000000960013,29 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:48,Non-Billable,"CRC 1,769.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:48
4198696000034330816,,4198696000000960013,29 Oct 2025,No,"CRC 2,500.00",4198696000000298225,2025-11-07 14:16:48,Non-Billable,"CRC 2,212.39",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:48
4198696000034327476,,4198696000000960013,29 Oct 2025,No,"CRC 40,625.00",4198696000000298225,2025-11-07 14:16:22,Non-Billable,"CRC 35,951.33",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:22
4198696000034328148,,4198696000000960013,29 Oct 2025,No,"CRC 9,000.00",4198696000000298225,2025-11-07 14:16:27,Non-Billable,"CRC 9,000.00",0.00,,,,40351.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:27
4198696000034330844,,4198696000000960013,29 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:48,Non-Billable,"CRC 4,424.78",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:48
4198696000034330732,,4198696000000960013,28 Oct 2025,No,"CRC 1,975.00",4198696000000298225,2025-11-07 14:16:47,Non-Billable,"CRC 1,747.79",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:47
