Item_ID,inv.SKU,On_Hand_Qty
4198696000000143551,246-24,5
4198696000000143587,246-306,66
4198696000000143623,246-442,10
4198696000000143659,247-45,32
4198696000000143695,257-10,10
4198696000000143731,259-21,10
4198696000000143767,259-37,10
4198696000000143803,259-66,10
4198696000000143839,259-105,45
4198696000000143875,259-121,5
4198696000000143911,259-134,6
4198696000000143947,259-148,24
4198696000000143983,316-4,20
4198696000000144019,316-8,18
4198696000000144055,316-13,20
4198696000000144091,316-20,20
4198696000000144127,316-26,17
4198696000000144163,316-47,22
4198696000000144199,316-60,20
4198696000000144235,317-2,10
4198696000000144271,317-10,9
4198696000000144307,317-17,10
4198696000000144343,317-29,10
4198696000000144379,318-5,10
4198696000000144415,333-1,48
4198696000000144451,333-48,49
4198696000000144487,333-83,50
4198696000000144523,334-7,20
4198696000000144559,386-10,50
4198696000000144595,393-103,22
4198696000000144631,393-126,20
4198696000000144667,419-7,1
4198696000000513093,14-173,50
4198696000000513129,144-23,6
4198696000000513165,144-28,10
4198696000000588214,343-3,3
4198696000000588250,343-7,16
4198696000000588286,343-11,9
4198696000000588322,343-15,7
4198696000000588358,343-19,0
4198696000000602302,106-1,328
4198696000000602338,106-5,20
4198696000000602374,106-9,29
4198696000000602410,106-13,120
4198696000000602446,106-17,325
4198696000000602482,106-21,217
4198696000000602518,106-25,267
4198696000000602554,106-30,248
4198696000000602590,106-34,28
4198696000000669525,3-4,1
4198696000000669561,3-8,0
4198696000000669597,3-12,4
4198696000000669633,3-16,2
4198696000000669669,3-20,2
4198696000000669705,3-24,3
4198696000000669741,3-28,5
4198696000000669777,3-32,2
4198696000000669813,3-36,3
4198696000000669849,3-40,2
4198696000000669885,3-44,3
4198696000000669921,3-48,2
4198696000000669957,3-52,0
4198696000000669993,3-56,4
4198696000000670029,3-60,1
4198696000000670065,3-64,0
4198696000000670101,3-68,2
4198696000000670137,3-72,1
4198696000000670173,3-76,2
4198696000000670209,3-80,6
4198696000000670245,3-84,1
4198696000000670281,3-88,1
4198696000000670317,3-92,2
4198696000000670353,3-96,1
4198696000000670389,3-100,3
4198696000000670425,3-104,5
4198696000000670461,3-108,0
4198696000000670497,3-112,6
4198696000000670533,3-116,2
4198696000000670569,3-120,0
4198696000000670605,3-124,0
4198696000000670641,3-128,1
4198696000000670677,3-132,2
4198696000000670713,3-136,2
4198696000000670749,3-140,3
4198696000000670785,3-144,0
4198696000000670821,3-159,0
4198696000000676801,501-4,14
4198696000000676837,501-8,23
4198696000000676873,168-2001,9
4198696000000676909,168-2005,18
4198696000000676945,168-2009,10
4198696000000676981,168-2013,21
4198696000000677017,168-2017,41
4198696000000677053,168-2021,46
4198696000000677089,168-2025,8
4198696000000677125,168-2029,10
4198696000000677161,168-2033,10
4198696000000677197,168-2037,0.8
4198696000000677233,376-4,1
4198696000000677269,376-8,1
4198696000000677305,376-12,5
4198696000000677341,376-16,1
4198696000000677377,376-20,2
4198696000000677413,376-24,1
4198696000000677449,376-28,4
4198696000000677485,376-32,0
4198696000000677521,376-36,0
4198696000000677557,376-40,1
4198696000000677593,376-44,3
4198696000000677629,376-48,0
4198696000000677665,376-52,2
4198696000000677701,376-56,1
4198696000000677737,376-60,0
4198696000000677773,376-64,6
4198696000000677809,376-68,2
4198696000000677845,376-72,1
4198696000000677881,376-76,0
4198696000000677917,376-80,5
4198696000000677953,376-84,3
4198696000000677989,376-88,0
4198696000000678025,376-92,3
4198696000000678061,376-96,0
4198696000000678097,376-100,3
4198696000000678133,376-104,3
4198696000000678169,376-108,1
4198696000000678205,376-112,4
4198696000000678241,376-116,2
4198696000000678277,376-120,2
4198696000000678313,376-124,1
4198696000000678349,376-128,3
4198696000000678385,376-132,2
4198696000000678421,376-136,1
4198696000000678457,376-140,4
4198696000000678493,376-144,4
4198696000000678529,376-148,4
4198696000000678565,21-1003,4
4198696000000678601,21-1009,4
4198696000000678637,21-1013,4
4198696000000678673,21-1017,5
4198696000000678709,21-1021,5
4198696000000678745,21-1025,3
4198696000000678781,21-1029,5
4198696000000678817,21-1033,5
4198696000000678853,21-1037,2
4198696000000678889,21-1041,5
4198696000000678925,72-1001,4
4198696000000678961,72-1005,3
4198696000000678997,72-1009,0
4198696000000679033,72-1013,0
4198696000000679069,72-1017,0
4198696000000679105,72-1027,10
4198696000000679141,72-1031,4
4198696000000679177,72-1035,0
4198696000000679213,72-1039,3
4198696000000679249,72-1043,0
4198696000000679285,72-1047,4
4198696000000679321,72-1051,4
4198696000000679357,72-1055,2
4198696000000679393,72-1059,4
4198696000000679429,72-1063,5
4198696000000679465,72-1067,1
4198696000000679501,72-1071,4
4198696000000679537,72-1075,3
4198696000000679573,72-1079,5
4198696000000679609,72-1083,3
4198696000000679645,72-1087,4
4198696000000679681,95-1003,6
4198696000000679717,95-1007,3
4198696000000679753,95-1011,14
4198696000000791010,513-002,3
4198696000000791046,513-006,0
4198696000000836169,514-004,7
4198696000000836205,514-008,5
4198696000000836241,514-012,9
4198696000000836985,507-001,38
4198696000000844021,506-001,24
4198696000000844057,506-005,6
4198696000000844093,506-009,6
4198696000000844129,506-013,4
4198696000000844165,506-018,11
4198696000000844201,506-022,18
4198696000000844237,505-002,7
4198696000000844273,505-006,35
4198696000000844309,505-010,0
4198696000000844345,505-014,52
4198696000000844381,508-001,20
4198696000000860581,511-002,2
4198696000000860617,511-006,1
4198696000000860653,511-010,1
4198696000000860689,511-014,4
4198696000000860725,509-0002,8
4198696000000860761,509-0006,7
4198696000000860797,509-0010,6
4198696000000860833,509-0014,3
4198696000000860869,509-0018,3
4198696000000860905,509-0022,2
4198696000000860941,509-0026,6
4198696000000860977,509-0030,9
4198696000000861013,509-0034,2
4198696000000861049,509-0038,2
4198696000000861085,509-0042,5
4198696000000861121,509-0046,2
4198696000000861157,509-0050,2
4198696000000861193,509-0054,2
4198696000000861229,509-0058,3
4198696000000861265,509-0062,2
4198696000000861301,509-0066,8
4198696000000861337,509-0070,11
4198696000000861373,509-0074,3
4198696000000861409,509-0078,1
4198696000000861445,509-0082,4
4198696000000861481,509-0086,10
4198696000000861517,509-0090,1
4198696000000861553,509-0094,1
4198696000000861589,509-0098,4
4198696000000861625,509-0102,3
4198696000000861661,509-0106,2
4198696000000861697,509-0110,2
4198696000000861733,509-0114,4
4198696000000861769,509-0118,4
4198696000000861805,509-0122,4
4198696000000861841,509-0126,2
4198696000000861877,509-0130,13
4198696000000861913,509-0134,4
4198696000000861949,509-0138,5
4198696000000861985,509-0142,2
4198696000000862021,509-0146,2
4198696000000862057,509-0150,6
4198696000000862093,509-0154,3
4198696000000862129,509-0158,5
4198696000000862165,509-0162,2
4198696000000862201,509-0166,2
4198696000000862237,509-0170,9
4198696000000862273,509-0174,4
4198696000000862309,509-0178,4
4198696000000862345,509-0182,6
4198696000000862381,509-0186,3
4198696000000862417,509-0190,1
4198696000000862453,509-0194,1
4198696000000862489,509-0198,5
4198696000000862525,509-0501,1
4198696000000862561,509-0505,9
4198696000000862597,509-0509,10
4198696000000862633,509-0513,4
4198696000000862669,509-0517,6
4198696000000862705,509-0521,2
4198696000000862741,509-0525,3
4198696000000862777,509-0529,3
4198696000000862813,509-0533,4
4198696000000862849,509-0537,9
4198696000000862885,509-0541,11
4198696000000862921,509-0545,9
4198696000000862957,509-0549,2
4198696000000862993,509-0553,1
4198696000000863029,509-0557,1
4198696000000863065,509-0561,5
4198696000000863101,509-0565,5
4198696000000863137,509-0569,3
4198696000000863173,509-0573,6
4198696000000863209,509-1003,12
4198696000000863245,509-1007,4
4198696000000863281,509-1011,4
4198696000000863317,509-1015,3
4198696000000863353,509-1019,2
4198696000000863389,509-1023,3
4198696000000863425,509-1027,9
4198696000000863461,509-1031,6
4198696000000863497,509-1035,2
4198696000000863533,509-1039,6
4198696000000863569,509-1043,2
4198696000000863605,509-1047,8
4198696000000863641,509-1501,2
4198696000000863677,509-1505,2
4198696000000863713,509-1509,6
4198696000000863749,509-1513,4
4198696000000863785,509-1517,2
4198696000000863821,509-1521,4
4198696000000863857,509-1525,2
4198696000000863893,509-1529,6
4198696000000863929,509-1533,4
4198696000000863965,509-3538,3
4198696000000864001,509-2004,4
4198696000000864037,509-2008,3
4198696000000864073,509-2012,4
4198696000000864109,509-2016,4
4198696000000864145,509-2020,4
4198696000000864181,509-2024,1
4198696000000864217,509-2028,2
4198696000000864253,509-2032,3
4198696000000864289,509-2500,3
