Item_ID,Last_Purchase_Price
4198696000000528351,753.5
4198696000000528353,1050.5
4198696000000528365,720.5
4198696000000528379,847
4198696000000528403,731.5
4198696000000528405,632.5
4198696000000528415,693
4198696000000528423,1166
4198696000000528429,693
4198696000000528431,434.5
4198696000000528435,775.5
4198696000000528437,1133
4198696000000528441,946
4198696000000528445,1820.5
4198696000000528459,693
4198696000000528461,676.5
4198696000000528503,3201
4198696000000528505,2909.5
4198696000000528543,143
4198696000000528545,242
4198696000000528551,423.5
4198696000000528559,1809.5
4198696000000528567,2332
4198696000000528575,1677.5
4198696000000528577,1600.5
4198696000000528585,3393.5
4198696000000528599,4917
4198696000000528607,2744.5
4198696000000528615,4482.5
4198696000000528619,8607.5
4198696000000528631,3597
4198696000000528633,3421
4198696000000528635,2563
4198696000000528641,3883
4198696000000528663,2156
4198696000000528667,10659
4198696000000528673,2156
4198696000000528693,1820.5
4198696000000528703,1562
4198696000000528715,2431
4198696000000528723,11247.5
4198696000000528745,3135
4198696000000528749,2134
4198696000000528751,2425.5
4198696000000528757,1914
4198696000000528761,5560.5
4198696000000528773,2502.5
4198696000000528777,2425.5
4198696000000528779,2645.5
4198696000000528789,731.5
4198696000000528791,511.5
4198696000000528799,242
4198696000000528807,27.5
4198696000000528819,148.5
4198696000000528837,154
4198696000000528863,445.5
4198696000000528865,242
4198696000000528869,88
4198696000000528881,88
4198696000000528889,77
4198696000000528911,720.5
4198696000000528915,665.5
4198696000000528929,3432
4198696000000528939,4125
4198696000000528943,3756.5
4198696000000528947,3877.5
4198696000000528953,4246
4198696000000528975,4719
4198696000000528981,4004
4198696000000528983,3151.5
4198696000000529035,4543
4198696000000529053,6605.5
4198696000000529055,3987.5
4198696000000529073,159.5
4198696000000529079,12226.5
4198696000000529083,10202.5
4198696000000529115,5417.5
4198696000000529145,6677
4198696000000529155,6583.5
4198696000000529173,13002
4198696000000529175,13002
4198696000000529177,11962.5
4198696000000529185,6220.5
4198696000000529195,6220.5
4198696000000529197,6836.5
4198696000000529205,6748.5
4198696000000529213,4218.5
4198696000000529215,8096
4198696000000529217,8096
4198696000000529219,7557
4198696000000529229,11110
4198696000000529247,11962.5
4198696000000529255,4768.5
4198696000000529259,9361
4198696000000529261,6424
4198696000000529279,4818
4198696000000529281,9713
4198696000000529297,11962.5
4198696000000529301,6297.5
4198696000000529343,5461.5
4198696000000529379,1254
4198696000000529383,1072.5
4198696000000529393,27379
4198696000000529399,19866
4198696000000529407,5269
4198696000000529411,2777.5
4198696000000529413,53317
4198696000000529427,8090.5
4198696000000529429,2211
4198696000000529445,3272.5
4198696000000529447,2117.5
4198696000000529457,5830
4198696000000529459,2838
4198696000000529473,6748.5
4198696000000529477,11693
4198696000000529481,6517.5
4198696000000529493,7309.5
4198696000000529499,2145
4198696000000529517,2178
4198696000000529531,2750
4198696000000529557,71.5
4198696000000529559,38.5
4198696000000529563,71.5
4198696000000529567,71.5
4198696000000529587,5.5
4198696000000529607,55
4198696000000529609,5.5
4198696000000529611,5.5
4198696000000529615,5.5
4198696000000529623,12754.5
4198696000000529637,15724.5
4198696000000529669,1639
4198696000000529679,2271.5
4198696000000529701,4675
4198696000000529731,3327.5
4198696000000529737,4620
4198696000000529745,5725.5
4198696000000529787,2029.5
4198696000000529807,2799.5
4198696000000529815,1677.5
