Product_ID,SKU,Available_Stock,Cost_Fallback,Current_Unit_Rate
4198696000000140347,90-214,10,"CRC 7,751.04",7751.04
4198696000000140383,90-220,10,"CRC 8,405.76",8405.76
4198696000000140419,90-231,9,"CRC 5,216.64",5216.64
4198696000000140455,90-238,10,"CRC 4,512.64",4512.64
4198696000000140491,90-310,9,"CRC 5,850.24",5850.24
4198696000000140527,95-37,93,CRC 936.32,936.32
4198696000000140563,95-104,50,"CRC 6,990.72",6990.72
4198696000000140599,100-3,92,CRC 387.20,387.2
4198696000000140635,105-11,10,"CRC 2,865.28",2865.28
4198696000000140671,105-26,10,"CRC 4,181.76",4181.76
4198696000000140707,105-41,10,"CRC 4,357.76",4357.76
4198696000000140743,105-91,10,"CRC 3,660.80",3660.8
4198696000000140779,108-8,1,"CRC 23,795.20",23795.2
4198696000000140815,108-50,1,"CRC 25,428.48",25428.48
4198696000000140851,110-3,19,CRC 176.00,176
4198696000000140887,112-459,496,"CRC 1,330.56",1330.56
4198696000000140923,114-3,50,"CRC 2,654.08",2654.08
4198696000000140959,114-33,46,"CRC 3,034.24",3034.24
4198696000000140995,114-72,44,"CRC 2,907.52",2907.52
4198696000000141031,114-135,45,"CRC 3,132.80",3132.8
4198696000000141067,118-4,39,CRC 682.88,682.88
4198696000000141103,118-12,36,"CRC 1,555.84",1555.84
4198696000000141139,118-20,35,"CRC 1,267.20",1267.2
4198696000000141175,118-39,38,CRC 774.40,774.4
4198696000000141211,118-63,40,CRC 887.04,887.04
4198696000000141247,118-75,43,"CRC 1,450.24",1450.24
4198696000000141283,118-81,36,"CRC 1,774.08",1774.08
4198696000000141319,118-93,40,CRC 894.08,894.08
4198696000000141355,118-122,32,"CRC 1,189.76",1189.76
4198696000000141391,118-140,40,CRC 985.60,985.6
4198696000000141427,118-148,39,CRC 964.48,964.48
4198696000000141463,118-152,40,CRC 901.12,901.12
4198696000000141499,118-168,40,CRC 922.24,922.24
4198696000000141535,118-177,40,"CRC 1,048.96",1048.96
4198696000000141571,118-183,40,CRC 809.60,809.6
4198696000000141607,118-191,40,CRC 865.92,865.92
4198696000000141643,118-203,33,CRC 936.32,936.32
4198696000000141679,125-576,50,CRC 971.52,971.52
4198696000000141715,125-1145,100,"CRC 7,000.00",7000
4198696000000141751,125-1251,98,CRC 112.64,112.64
4198696000000141787,126-63,6,"CRC 37,924.48",37924.48
4198696000000141823,138-14,94,CRC 98.56,98.56
4198696000000141859,144-2,100,"CRC 1,232.00",1232
4198696000000141895,147-10,5,"CRC 15,649.92",15649.92
4198696000000141931,147-23,3,"CRC 13,059.20",13059.2
4198696000000141967,155-2,9,"CRC 7,138.56",7138.56
4198696000000142003,155-11,10,"CRC 13,059.20",13059.2
4198696000000142039,155-45,10,"CRC 8,342.40",8342.4
4198696000000142075,164-12,92,"CRC 1,200.00",1200
4198696000000142111,164-56,9,CRC 922.24,922.24
4198696000000142147,164-75,7,"CRC 1,126.40",1126.4
4198696000000142183,164-97,9,CRC 837.76,837.76
4198696000000142219,168-15,448,CRC 70.40,70.4
4198696000000142255,168-42,481,CRC 7.04,7.04
4198696000000142291,168-48,499,CRC 7.04,7.04
4198696000000142327,168-168,598,CRC 211.20,211.2
4198696000000142363,168-256,98,CRC 91.52,91.52
4198696000000142399,168-440,100,CRC 91.52,91.52
4198696000000142435,168-510,89,CRC 7.04,7.04
4198696000000142471,168-569,100,CRC 7.04,7.04
4198696000000142507,174-385,0,CRC 225.28,225.28
4198696000000142543,214-5,14,"CRC 2,147.20",2147.2
4198696000000142579,214-17,20,"CRC 3,393.28",3393.28
4198696000000142615,214-26,20,"CRC 2,252.80",2252.8
4198696000000142651,214-41,20,"CRC 3,034.24",3034.24
4198696000000142687,214-48,24,"CRC 3,301.76",3301.76
4198696000000142723,214-72,20,"CRC 2,126.08",2126.08
4198696000000142759,214-88,30,"CRC 2,041.60",2041.6
4198696000000142795,214-97,20,"CRC 3,062.40",3062.4
4198696000000142831,214-113,20,"CRC 3,372.16",3372.16
4198696000000142867,214-122,18,"CRC 3,618.56",3618.56
4198696000000142903,214-152,24,"CRC 4,048.00",4048
4198696000000142939,214-171,20,"CRC 3,534.08",3534.08
4198696000000142975,218-2,12,"CRC 10,215.04",10215.04
4198696000000143011,218-13,10,"CRC 7,603.20",7603.2
4198696000000143047,230-2,20,"CRC 1,027.84",1027.84
4198696000000143083,231-94,20,CRC 936.32,936.32
4198696000000143119,238-776,5,"CRC 15,150.08",15150.08
4198696000000143155,242-169,14,"CRC 1,267.20",1267.2
4198696000000143191,242-255,20,"CRC 1,316.48",1316.48
4198696000000143227,242-343,20,"CRC 1,302.40",1302.4
4198696000000143263,242-402,17,"CRC 1,605.12",1605.12
4198696000000143299,242-444,20,"CRC 1,372.80",1372.8
4198696000000143335,245-51,30,"CRC 2,600.00",2600
4198696000000143371,245-134,40,"CRC 3,000.00",3000
4198696000000143407,245-169,5,"CRC 3,231.36",3231.36
4198696000000143443,245-269,7,"CRC 3,463.68",3463.68
4198696000000143479,245-396,93,"CRC 4,800.00",4800
4198696000000143515,245-563,13,"CRC 6,000.00",6000
4198696000000143551,246-24,5,"CRC 2,196.48",2196.48
4198696000000143587,246-306,66,"CRC 4,000.00",4000
4198696000000143623,246-442,10,"CRC 5,272.96",5272.96
4198696000000143659,247-45,32,"CRC 4,000.00",4000
4198696000000143695,257-10,10,"CRC 25,520.00",25520
4198696000000143731,259-21,10,"CRC 7,328.64",7328.64
4198696000000143767,259-37,10,"CRC 4,259.20",4259.2
4198696000000143803,259-66,10,"CRC 5,913.60",5913.6
4198696000000143839,259-105,45,"CRC 7,100.00",7100
4198696000000143875,259-121,5,"CRC 6,103.68",6103.68
4198696000000143911,259-134,6,"CRC 5,624.96",5624.96
4198696000000143947,259-148,24,"CRC 7,300.00",7300
4198696000000143983,316-4,20,"CRC 5,639.04",5639.04
4198696000000144019,316-8,18,"CRC 3,146.88",3146.88
4198696000000144055,316-13,20,"CRC 4,878.72",4878.72
4198696000000144091,316-20,20,"CRC 11,517.44",11517.44
4198696000000144127,316-26,17,"CRC 2,977.92",2977.92
4198696000000144163,316-47,22,"CRC 5,878.40",5878.4
4198696000000144199,316-60,20,"CRC 6,293.76",6293.76
4198696000000144235,317-2,10,"CRC 10,771.20",10771.2
4198696000000144271,317-10,9,"CRC 5,772.80",5772.8
4198696000000144307,317-17,10,"CRC 6,152.96",6152.96
4198696000000144343,317-29,10,"CRC 5,392.64",5392.64
4198696000000144379,318-5,10,"CRC 10,764.16",10764.16
4198696000000144415,333-1,48,"CRC 7,990.40",7990.4
4198696000000144451,333-48,49,"CRC 2,217.60",2217.6
4198696000000144487,333-83,50,"CRC 11,228.80",11228.8
4198696000000144523,334-7,20,"CRC 10,355.84",10355.84
4198696000000144559,386-10,50,"CRC 2,492.16",2492.16
4198696000000144595,393-103,22,"CRC 10,000.00",10000
4198696000000144631,393-126,20,"CRC 12,000.00",12000
4198696000000144667,419-7,1,"CRC 19,782.40",19782.4
4198696000000513093,14-173,50,CRC 1.00,1
4198696000000513129,144-23,6,CRC 1.00,1
4198696000000513165,144-28,10,CRC 1.00,1
4198696000000588214,343-3,3,"CRC 8,058.30",8058.3
4198696000000588250,343-7,16,"CRC 6,278.90",6278.9
4198696000000588286,343-11,9,"CRC 5,710.70",5710.7
4198696000000588322,343-15,7,"CRC 6,573.20",6573.2
4198696000000588358,343-19,0,"CRC 3,344.20",3344.2
4198696000000602302,106-1,328,"CRC 1,776.90",1776.9
4198696000000602338,106-5,20,"CRC 10,108.29",10108.29
4198696000000602374,106-9,29,"CRC 13,782.44",13782.44
4198696000000602410,106-13,120,"CRC 5,189.99",5189.99
4198696000000602446,106-17,325,"CRC 3,707.14",3707.14
4198696000000602482,106-21,217,"CRC 3,171.67",3171.67
4198696000000602518,106-25,267,"CRC 3,302.72",3302.72
4198696000000602554,106-30,248,"CRC 2,446.71",2446.71
4198696000000602590,106-34,28,"CRC 16,285.71",16285.71
4198696000000669525,3-4,1,"CRC 1,261.73",1261.73
4198696000000669561,3-8,0,"CRC 6,058.92",6058.92
4198696000000669597,3-12,4,"CRC 6,050.05",6050.05
4198696000000669633,3-16,2,"CRC 2,860.27",2860.27
4198696000000669669,3-20,2,"CRC 2,211.24",2211.24
4198696000000669705,3-24,3,"CRC 2,400.03",2400.03
4198696000000669741,3-28,5,"CRC 1,451.34",1451.34
4198696000000669777,3-32,2,"CRC 1,986.77",1986.77
4198696000000669813,3-36,3,"CRC 1,925.15",1925.15
4198696000000669849,3-40,2,"CRC 2,350.49",2350.49
4198696000000669885,3-44,3,"CRC 1,874.28",1874.28
4198696000000669921,3-48,2,CRC 990.06,990.06
4198696000000669957,3-52,0,"CRC 1,289.42",1289.42
4198696000000669993,3-56,4,"CRC 2,254.84",2254.84
4198696000000670029,3-60,1,"CRC 1,163.34",1163.34
4198696000000670065,3-64,0,"CRC 1,495.21",1495.21
4198696000000670101,3-68,2,"CRC 1,674.01",1674.01
4198696000000670137,3-72,1,"CRC 1,921.76",1921.76
4198696000000670173,3-76,2,"CRC 2,507.98",2507.98
4198696000000670209,3-80,6,"CRC 1,580.07",1580.07
4198696000000670245,3-84,1,"CRC 1,404.28",1404.28
4198696000000670281,3-88,1,"CRC 2,189.23",2189.23
4198696000000670317,3-92,2,"CRC 2,412.98",2412.98
4198696000000670353,3-96,1,"CRC 1,943.98",1943.98
4198696000000670389,3-100,3,"CRC 1,973.45",1973.45
4198696000000670425,3-104,5,"CRC 4,431.07",4431.07
4198696000000670461,3-108,0,"CRC 2,878.96",2878.96
4198696000000670497,3-112,6,"CRC 1,384.15",1384.15
4198696000000670533,3-116,2,"CRC 1,508.92",1508.92
4198696000000670569,3-120,0,"CRC 1,697.26",1697.26
4198696000000670605,3-124,0,"CRC 1,875.54",1875.54
4198696000000670641,3-128,1,"CRC 2,039.46",2039.46
4198696000000670677,3-132,2,"CRC 3,956.78",3956.78
4198696000000670713,3-136,2,"CRC 1,614.24",1614.24
4198696000000670749,3-140,3,"CRC 2,344.31",2344.31
4198696000000670785,3-144,0,"CRC 2,302.29",2302.29
4198696000000670821,3-159,0,"CRC 1,925.15",1925.15
4198696000000676801,501-4,14,"CRC 2,744.28",2744.28
4198696000000676837,501-8,23,"CRC 4,354.56",4354.56
4198696000000676873,168-2001,9,"CRC 1,138.09",1138.09
4198696000000676909,168-2005,18,"CRC 1,023.17",1023.17
4198696000000676945,168-2009,10,"CRC 1,153.34",1153.34
4198696000000676981,168-2013,21,"CRC 7,645.32",7645.32
4198696000000677017,168-2017,41,CRC 56.24,56.24
4198696000000677053,168-2021,46,CRC 43.52,43.52
4198696000000677089,168-2025,8,"CRC 4,245.90",4245.9
4198696000000677125,168-2029,10,"CRC 3,036.62",3036.62
4198696000000677161,168-2033,10,"CRC 1,572.05",1572.05
4198696000000677197,168-2037,0.8,"CRC 16,953.61",16953.61
4198696000000677233,376-4,1,"CRC 2,046.22",2046.22
4198696000000677269,376-8,1,"CRC 6,508.08",6508.08
4198696000000677305,376-12,5,"CRC 7,635.62",7635.62
4198696000000677341,376-16,1,"CRC 8,096.07",8096.07
4198696000000677377,376-20,2,"CRC 3,126.64",3126.64
4198696000000677413,376-24,1,"CRC 6,026.00",6026
4198696000000677449,376-28,4,"CRC 5,677.84",5677.84
4198696000000677485,376-32,0,"CRC 8,073.99",8073.99
4198696000000677521,376-36,0,"CRC 3,478.54",3478.54
4198696000000677557,376-40,1,"CRC 4,053.94",4053.94
4198696000000677593,376-44,3,"CRC 3,421.83",3421.83
4198696000000677629,376-48,0,"CRC 5,786.92",5786.92
4198696000000677665,376-52,2,"CRC 3,590.09",3590.09
4198696000000677701,376-56,1,"CRC 4,079.63",4079.63
4198696000000677737,376-60,0,"CRC 2,278.05",2278.05
4198696000000677773,376-64,6,"CRC 2,179.67",2179.67
4198696000000677809,376-68,2,"CRC 2,403.38",2403.38
4198696000000677845,376-72,1,"CRC 1,528.82",1528.82
4198696000000677881,376-76,0,"CRC 1,336.80",1336.8
4198696000000677917,376-80,5,"CRC 2,191.50",2191.5
4198696000000677953,376-84,3,"CRC 1,902.56",1902.56
4198696000000677989,376-88,0,"CRC 3,151.21",3151.21
4198696000000678025,376-92,3,"CRC 2,119.67",2119.67
4198696000000678061,376-96,0,"CRC 1,944.19",1944.19
4198696000000678097,376-100,3,"CRC 1,863.17",1863.17
4198696000000678133,376-104,3,"CRC 1,978.42",1978.42
4198696000000678169,376-108,1,"CRC 1,264.06",1264.06
4198696000000678205,376-112,4,"CRC 2,471.04",2471.04
4198696000000678241,376-116,2,"CRC 1,227.84",1227.84
4198696000000678277,376-120,2,"CRC 1,763.69",1763.69
4198696000000678313,376-124,1,"CRC 1,671.80",1671.8
4198696000000678349,376-128,3,"CRC 1,038.65",1038.65
4198696000000678385,376-132,2,"CRC 1,261.49",1261.49
4198696000000678421,376-136,1,"CRC 1,173.09",1173.09
4198696000000678457,376-140,4,"CRC 1,244.55",1244.55
4198696000000678493,376-144,4,"CRC 2,314.52",2314.52
4198696000000678529,376-148,4,"CRC 1,227.04",1227.04
4198696000000678565,21-1003,4,"CRC 2,329.14",2329.14
4198696000000678601,21-1009,4,"CRC 4,298.51",4298.51
4198696000000678637,21-1013,4,"CRC 6,328.95",6328.95
4198696000000678673,21-1017,5,"CRC 3,144.92",3144.92
4198696000000678709,21-1021,5,"CRC 3,053.25",3053.25
4198696000000678745,21-1025,3,"CRC 3,208.50",3208.5
4198696000000678781,21-1029,5,"CRC 3,427.55",3427.55
4198696000000678817,21-1033,5,"CRC 7,617.84",7617.84
4198696000000678853,21-1037,2,"CRC 2,351.75",2351.75
4198696000000678889,21-1041,5,"CRC 4,030.75",4030.75
4198696000000678925,72-1001,4,"CRC 3,950.63",3950.63
4198696000000678961,72-1005,3,"CRC 8,529.09",8529.09
4198696000000678997,72-1009,0,"CRC 2,984.43",2984.43
4198696000000679033,72-1013,0,"CRC 3,575.26",3575.26
4198696000000679069,72-1017,0,"CRC 3,132.85",3132.85
4198696000000679105,72-1027,10,"CRC 4,198.35",4198.35
4198696000000679141,72-1031,4,"CRC 3,606.78",3606.78
4198696000000679177,72-1035,0,"CRC 4,312.53",4312.53
4198696000000679213,72-1039,3,"CRC 3,434.67",3434.67
4198696000000679249,72-1043,0,"CRC 2,750.02",2750.02
4198696000000679285,72-1047,4,"CRC 3,015.68",3015.68
4198696000000679321,72-1051,4,"CRC 3,434.67",3434.67
4198696000000679357,72-1055,2,"CRC 6,149.06",6149.06
4198696000000679393,72-1059,4,"CRC 3,443.02",3443.02
4198696000000679429,72-1063,5,"CRC 2,687.52",2687.52
4198696000000679465,72-1067,1,"CRC 3,138.36",3138.36
4198696000000679501,72-1071,4,"CRC 4,662.96",4662.96
4198696000000679537,72-1075,3,"CRC 3,255.73",3255.73
4198696000000679573,72-1079,5,"CRC 2,980.17",2980.17
4198696000000679609,72-1083,3,"CRC 3,024.97",3024.97
4198696000000679645,72-1087,4,"CRC 5,750.05",5750.05
4198696000000679681,95-1003,6,"CRC 1,735.02",1735.02
4198696000000679717,95-1007,3,"CRC 2,463.42",2463.42
4198696000000679753,95-1011,14,"CRC 4,184.49",4184.49
4198696000000791010,513-002,3,"CRC 1,021.16",1021.16
4198696000000791046,513-006,0,CRC 804.74,804.74
4198696000000836169,514-004,7,"CRC 3,128.00",3128
4198696000000836205,514-008,5,"CRC 2,070.00",2070
4198696000000836241,514-012,9,"CRC 2,557.40",2557.4
4198696000000836985,507-001,38,"CRC 1,800.00",1800
4198696000000844021,506-001,24,"CRC 1,298.00",1298
4198696000000844057,506-005,6,"CRC 3,195.00",3195
4198696000000844093,506-009,6,"CRC 5,750.00",5750
4198696000000844129,506-013,4,"CRC 1,680.00",1680
4198696000000844165,506-018,11,"CRC 2,990.00",2990
4198696000000844201,506-022,18,"CRC 1,750.00",1750
4198696000000844237,505-002,7,"CRC 2,340.00",2340
4198696000000844273,505-006,35,"CRC 1,550.00",1550
4198696000000844309,505-010,0,"CRC 1,900.00",1900
4198696000000844345,505-014,52,"CRC 1,295.00",1295
4198696000000844381,508-001,20,"CRC 1,775.00",1775
4198696000000860581,511-002,2,"CRC 58,000.00",58000
4198696000000860617,511-006,1,"CRC 55,500.00",55500
4198696000000860653,511-010,1,"CRC 64,000.00",64000
4198696000000860689,511-014,4,"CRC 42,000.00",42000
4198696000000860725,509-0002,8,"CRC 5,530.62",5530.62
4198696000000860761,509-0006,7,"CRC 8,270.02",8270.02
4198696000000860797,509-0010,6,"CRC 10,046.98",10046.98
4198696000000860833,509-0014,3,"CRC 5,809.56",5809.56
4198696000000860869,509-0018,3,"CRC 6,408.01",6408.01
4198696000000860905,509-0022,2,"CRC 4,724.56",4724.56
4198696000000860941,509-0026,6,"CRC 8,420.33",8420.33
4198696000000860977,509-0030,9,"CRC 10,963.02",10963.02
4198696000000861013,509-0034,2,"CRC 9,847.35",9847.35
4198696000000861049,509-0038,2,"CRC 8,073.39",8073.39
4198696000000861085,509-0042,5,"CRC 7,391.46",7391.46
4198696000000861121,509-0046,2,"CRC 6,551.09",6551.09
4198696000000861157,509-0050,2,"CRC 7,982.87",7982.87
4198696000000861193,509-0054,2,"CRC 7,564.75",7564.75
4198696000000861229,509-0058,3,"CRC 9,952.89",9952.89
4198696000000861265,509-0062,2,"CRC 5,190.00",5190
4198696000000861301,509-0066,8,"CRC 8,082.00",8082
4198696000000861337,509-0070,11,"CRC 7,840.41",7840.41
4198696000000861373,509-0074,3,"CRC 6,722.10",6722.1
4198696000000861409,509-0078,1,"CRC 8,556.51",8556.51
4198696000000861445,509-0082,4,"CRC 6,798.71",6798.71
4198696000000861481,509-0086,10,"CRC 7,124.28",7124.28
4198696000000861517,509-0090,1,"CRC 10,334.04",10334.04
4198696000000861553,509-0094,1,"CRC 8,594.78",8594.78
4198696000000861589,509-0098,4,"CRC 8,991.00",8991
4198696000000861625,509-0102,3,"CRC 14,236.35",14236.35
4198696000000861661,509-0106,2,"CRC 7,358.46",7358.46
4198696000000861697,509-0110,2,"CRC 15,322.74",15322.74
4198696000000861733,509-0114,4,"CRC 8,043.82",8043.82
4198696000000861769,509-0118,4,"CRC 13,874.21",13874.21
4198696000000861805,509-0122,4,"CRC 7,152.12",7152.12
4198696000000861841,509-0126,2,"CRC 9,732.32",9732.32
4198696000000861877,509-0130,13,"CRC 13,465.22",13465.22
4198696000000861913,509-0134,4,"CRC 13,520.61",13520.61
4198696000000861949,509-0138,5,"CRC 15,822.94",15822.94
4198696000000861985,509-0142,2,"CRC 12,312.52",12312.52
4198696000000862021,509-0146,2,"CRC 14,123.19",14123.19
4198696000000862057,509-0150,6,"CRC 9,180.00",9180
4198696000000862093,509-0154,3,"CRC 12,710.51",12710.51
4198696000000862129,509-0158,5,"CRC 10,162.36",10162.36
4198696000000862165,509-0162,2,"CRC 9,438.09",9438.09
4198696000000862201,509-0166,2,"CRC 10,276.49",10276.49
4198696000000862237,509-0170,9,"CRC 9,995.00",9995
4198696000000862273,509-0174,4,"CRC 10,109.60",10109.6
4198696000000862309,509-0178,4,"CRC 9,747.74",9747.74
4198696000000862345,509-0182,6,"CRC 15,379.28",15379.28
4198696000000862381,509-0186,3,"CRC 7,802.71",7802.71
4198696000000862417,509-0190,1,"CRC 9,114.49",9114.49
4198696000000862453,509-0194,1,"CRC 12,674.66",12674.66
4198696000000862489,509-0198,5,"CRC 12,122.49",12122.49
4198696000000862525,509-0501,1,"CRC 13,380.75",13380.75
4198696000000862561,509-0505,9,"CRC 5,492.44",5492.44
4198696000000862597,509-0509,10,"CRC 12,610.03",12610.03
4198696000000862633,509-0513,4,"CRC 8,564.98",8564.98
4198696000000862669,509-0517,6,"CRC 8,047.85",8047.85
4198696000000862705,509-0521,2,"CRC 8,054.64",8054.64
4198696000000862741,509-0525,3,"CRC 13,834.80",13834.8
4198696000000862777,509-0529,3,"CRC 7,101.00",7101
4198696000000862813,509-0533,4,"CRC 6,760.80",6760.8
4198696000000862849,509-0537,9,"CRC 6,900.00",6900
4198696000000862885,509-0541,11,"CRC 8,384.06",8384.06
4198696000000862921,509-0545,9,"CRC 6,112.26",6112.26
4198696000000862957,509-0549,2,"CRC 8,502.86",8502.86
4198696000000862993,509-0553,1,"CRC 15,966.41",15966.41
4198696000000863029,509-0557,1,"CRC 8,980.00",8980
4198696000000863065,509-0561,5,"CRC 6,992.37",6992.37
4198696000000863101,509-0565,5,"CRC 12,939.30",12939.3
4198696000000863137,509-0569,3,"CRC 9,012.02",9012.02
4198696000000863173,509-0573,6,"CRC 7,013.59",7013.59
4198696000000863209,509-1003,12,"CRC 13,050.00",13050
4198696000000863245,509-1007,4,"CRC 10,870.73",10870.73
4198696000000863281,509-1011,4,"CRC 11,825.08",11825.08
4198696000000863317,509-1015,3,"CRC 14,906.20",14906.2
4198696000000863353,509-1019,2,"CRC 18,222.77",18222.77
4198696000000863389,509-1023,3,"CRC 21,582.00",21582
4198696000000863425,509-1027,9,"CRC 22,967.94",22967.94
4198696000000863461,509-1031,6,"CRC 26,395.92",26395.92
4198696000000863497,509-1035,2,"CRC 21,437.14",21437.14
4198696000000863533,509-1039,6,"CRC 13,458.66",13458.66
4198696000000863569,509-1043,2,"CRC 18,414.60",18414.6
4198696000000863605,509-1047,8,"CRC 12,937.26",12937.26
4198696000000863641,509-1501,2,"CRC 14,308.94",14308.94
