SKU,Product_ID,Outstanding_Qty
,4198696000025078498,6
,4198696000025858358,4
,4198696000023394858,3
,4198696000023394862,3
,4198696000023394870,2
,4198696000023394874,3
,4198696000023394876,4
,4198696000023394888,2
,4198696000028254793,4
,4198696000028254791,2
,4198696000031075491,2
,4198696000028254904,5
,4198696000029939382,3
,4198696000033508479,2
,4198696000033508503,2
,4198696000033508519,2
,4198696000033508459,2
,4198696000033508531,2
,4198696000033508939,4
,4198696000033508642,1
,4198696000032489300,4
,4198696000032489294,10
,4198696000031854664,24
,4198696000033508690,2
,4198696000033508969,1
,4198696000033508967,1
,4198696000033508965,2
,4198696000023401829,2
,4198696000023405011,2
,4198696000032048487,1
,4198696000028254714,2
,4198696000028254718,2
,4198696000029035939,2
,4198696000033508471,1
,4198696000033508487,2
,4198696000033508511,2
,4198696000033508507,3
,4198696000033508469,1
,4198696000033508465,10
,4198696000033508473,2
,4198696000033508513,2
,4198696000033508529,2
,4198696000033508644,1
,4198696000033508428,12
,4198696000031854718,2
,4198696000033508684,2
,4198696000026586271,2
,4198696000028254858,4
,4198696000028254862,4
,4198696000031075489,20
,4198696000033508937,2
,4198696000033508713,2
,4198696000033508721,1
,4198696000033508814,3
,4198696000033508846,3
,4198696000033508848,1
,4198696000033508828,4
,4198696000033508860,1
,4198696000033508866,1
,4198696000032489288,4
,4198696000032489312,4
,4198696000032489308,4
,4198696000032489316,4
,4198696000032489298,4
,4198696000032489318,4
,4198696000032489389,2
,4198696000032489397,1
,4198696000032489463,4
,4198696000033508758,4
,4198696000033508760,4
,4198696000025078267,3
,4198696000025078269,5
,4198696000023401835,2
,4198696000028303548,3
,4198696000032048495,1
,4198696000032048499,1
,4198696000030019715,5
,4198696000033508854,2
,4198696000033508862,2
,4198696000033508876,1
,4198696000032489393,2
,4198696000032489399,1
,4198696000033508772,4
,4198696000025078261,2
,4198696000025078263,3
,4198696000023401831,1
,4198696000023401833,2
,4198696000028254872,6
,4198696000028254876,2
,4198696000028254866,4
,4198696000028254874,4
,4198696000031075531,1
,4198696000028254730,3
,4198696000028254716,2
,4198696000028254712,2
,4198696000028254728,2
,4198696000033508646,1
,4198696000033508816,2
