Item_ID,SKU,Sales_24M_Qty,Sales_24M_Net
4198696000027395877,800-3859,2,64000
4198696000027390840,800-3856,1,101460
4198696000027380919,800-3852,1,13800
4198696000027374942,800-3848,1,21900
4198696000027374597,800-3844,1,9700
4198696000027366123,800-3840,1,20286
4198696000027363552,800-3836,1,51428
4198696000027311028,800-3833,1,27500
4198696000027301523,800-3830,1,8000
4198696000027297634,800-3826,2,36100
4198696000027297331,800-3824,2,224400
4198696000027282336,800-3821,3,202394.7
4198696000027238652,800-3818,1,5800
4198696000027235358,800-3815,1,28600
4198696000027122771,800-3810,1,63000
4198696000027117992,800-3805,2,13000
4198696000027049365,800-3800,2,49800
4198696000027049153,800-3796,2,10800
4198696000027037268,800-3792,1,136800
4198696000026966662,800-3788,1,63000
4198696000026925223,800-3784,1,33600
4198696000026857663,800-3780,1,18720
4198696000026792419,800-3776,1,26000
4198696000026763763,800-3773,1,23700
4198696000026728512,800-3769,3,75763.08
4198696000026728501,800-3768,3,75763.08
4198696000026721488,800-3766,7,10731.96
4198696000026698968,800-3763,1,7500
4198696000026698016,800-3760,1,16284
4198696000026664515,800-3757,1,14076
4198696000026662118,520-0177,3,76013.27
4198696000026656332,800-3749,1,70400
4198696000026638435,800-3745,1,7700
4198696000026546424,800-3737,1,15010
4198696000026530725,800-3733,1,19780
4198696000026530005,800-3728,1,191360
4198696000026460782,800-3725,2,52800
4198696000026460498,800-3722,2,39800
4198696000026460166,800-3717,1,22000
4198696000026460001,800-3718,1,42800
4198696000026448477,800-3708,1,55000
4198696000026427779,800-3706,2,10800
4198696000026427366,800-3702,2,15200
4198696000026351357,800-3697,1,9500
4198696000026210151,800-3693,8,38017.72
4198696000026202484,800-3692,3,10451.33
4198696000026192450,800-3689,3,101238.94
4198696000026140409,800-3687,1,6600
4198696000026136194,800-3683,1,6900
4198696000026126778,800-3681,3,76556.55
4198696000026126456,800-3679,4,14918
4198696000026126083,800-3677,4,22029.91
4198696000026126006,800-3675,2,75050
