Item Name,Sale Quantity,Quantity Ordered,Sub Total,Total,Profit
"KIT CLUTCH Mitsubishi Mirage 1,5  4G93. 1995.",1,1.00,"59,026.55","CRC 41,254.73","$17,771.82"
BOMBA ACEITE J2 2.7 JT 3.0 PREGIO - 0K65A-14-10,1,1.00,"67,256.64","CRC 49,500.00","$17,756.64"
"ROT. CREMA. NIS. SENTRA. 95/99, B14, D/H, R/ORDIN. V/USA,CRN-18, SR-4930= 4Z000,60Y25, 14X12X292.5",7,7.00,"41,814.16","CRC 24,067.50","$17,746.66"
SENSOR VELOCIDAD NISSAN / RENAULT,1,1.00,"48,672.57","CRC 30,927.06","$17,745.51"
UF-305 3.3 3.8 PAQUETE BOBINA DE IGNICION,1,1.00,"42,743.36","CRC 25,000.00","$17,743.36"
KIT CLUTCH HON CIVIC 1.8cc R18A1,1,1.00,"67,256.64","CRC 49,528.13","$17,728.51"
TAMBOR F MB LANCER MIRAGE 00- COLT 04- CHERY A1 QQ6 06-,4,4.00,"67,964.60","CRC 50,240.00","$17,724.60"
KIT ROL BOCINA DELANTERO HONDA BALLADE 150 160 180/ CRV 1992-2000/ CIVI 150 160 1996-1999/ ODYSSEY2.2,3,3.00,"26,548.68","CRC 8,827.50","$17,721.18"
BOCINA TRASERO SUZUKI VITARA 15- SX4 CROSS ABS INCOR 4X2,3,3.00,"74,938.06","CRC 57,244.92","$17,693.14"
ROLLO DE PITO HYUNDAI ACCENT,1,1.00,"47,787.61","CRC 30,098.23","$17,689.38"
GATA HIDRAULICA DE BOTELLA 2 TON,5,5.00,"31,490.27","CRC 13,805.00","$17,685.27"
SENSOR DE VELOCIDAD ABS SUZUKI,1,1.00,"49,115.04","CRC 31,451.83","$17,663.21"
BOCINA DELANTERO NISSAN TIIDA VERSA 07-16 1.6 1.8 S/ABS 3 T ARRIBA,2,2.00,"90,046.02","CRC 72,400.00","$17,646.02"
KIT C TY YARIS 1.3 05- BYD (3),1,1.00,"99,646.02","CRC 82,000.00","$17,646.02"
BATERIA RECORD GARANTIA GRUPO D,3,3.00,"127,137.18","CRC 109,500.00","$17,637.18"
NGK CABLES P/BUJIA HY/ACCENT 1.5C 95-97 8377,5,5.00,"98,838.05","CRC 81,207.05","$17,631.00"
SET EMPAQUES MOTOR SPARK GO 1.2/1.0(M300)/N300/BEAT B12 (Graphite),2,2.00,"76,630.08","CRC 59,000.00","$17,630.08"
COMPENSADOR TOYOTA RAV4 00-05 DEL LH,3,3.00,"113,597.34","CRC 95,972.07","$17,625.27"
GALLETA C CHEVROLET SPARK GO 12-16 SONIC 13- 1.6,4,4.00,"51,681.42","CRC 34,059.94","$17,621.48"
"BOMBA AUX FRENO TOYOTA RUNNER 15"" 96-98 HILUX PRADO 15/16",9,9.00,"73,539.83","CRC 55,921.14","$17,618.69"
ROLL BOCINA TRASERA NS SENTRA B15 00-06 ALMERA 00-06 CON ABS,4,4.00,"86,991.14","CRC 69,374.08","$17,617.06"
234-4215 234-4205 250-24154 FLANGER GRANDE 234-4153 8946519675 COROLLA 1ZZ-FE 97,2,2.00,"67,610.62","CRC 50,000.00","$17,610.62"
234-4703 250-24632 24544 XTERRA FRONTIER33,2,2.00,"67,610.62","CRC 50,000.00","$17,610.62"
NISSAN XTRAIL DIESEL YD22,2,2.00,"67,610.62","CRC 50,000.00","$17,610.62"
ROL BOCINA DELANTERO HONDA CRV 07-20 ODYS 03 -10 ABS,4,4.00,"67,610.62","CRC 50,000.00","$17,610.62"
SENSOR DE OXIGENO NISSAN SENTRA B15 A,2,2.00,"67,610.62","CRC 50,000.00","$17,610.62"
ROLL BOC TRAS SZ BALENO 15- IGNIS SWIFT -16,3,3.00,"67,168.14","CRC 49,559.01","$17,609.13"
FAJA UNICA NIS TIIDA 7PK1125 7PK1130,9,9.00,"76,106.20","CRC 58,500.00","$17,606.20"
PUNTA EJE EXTERNA HONDA CIVIC 2.0 06-- 28X35X63 801569,3,3.00,"67,699.11","CRC 50,100.00","$17,599.11"
TERMOSTATO 90916-030931JZ/2JZ/3RZ/1NZ/2NZ,6,6.00,"71,231.85","CRC 53,646.40","$17,585.45"
DISCO FRENO XTRAIL,2,2.00,"69,529.20","CRC 51,980.00","$17,549.20"
"""RADIADOR SZ SIDEKICK 88-98 4 PUERTA /TRACKER /VITARA 1.6 90- ATM 425X478XPA16""",1,1.00,"67,522.12","CRC 49,990.00","$17,532.12"
"SENSOR FLUJO AIRE MONTERO SPORT 98-03 3L, 2, MD336501 E5T08171",1,1.00,"67,522.12","CRC 50,000.00","$17,522.12"
"ROT. DIR. EXT. RH/LH.TOY. COROLLA/ALTEZZA. 08/13 , ZZE140 , SE-T361 / CET-180",7,7.00,"50,187.61","CRC 32,673.20","$17,514.41"
KIT CLUTCH HY I20 1.2cc,1,1.00,"67,345.13","CRC 49,842.93","$17,502.20"
TAMBOR F NS PATHINDER 02-03 6C 4.0 INFINITY QX4 99- TRAS,2,2.00,"67,079.65","CRC 49,578.00","$17,501.65"
DISCO F NS TRAS PATHFINDER 14- SKYLINE MURANO MB,2,2.00,"56,991.15","CRC 39,493.20","$17,497.95"
4912906039900--ROTULA SUSP.INF NISSAN PLATINA 02-10/RENAULT CLIO 02-10,4,4.00,"48,672.57","CRC 31,179.28","$17,493.29"
SOPORTE MOTOR FONTAL DERECHO MITSUBISHI GRANDIS 2.4 2006-2010,1,1.00,"50,973.00","CRC 33,481.42","$17,491.58"
ROLLO PITO HYUNDAI,1,1.00,"50,442.48","CRC 32,957.65","$17,484.83"
JGO. EMP. MOTOR NI. PATH/MURA/MAXI/Z350 3.5 24v 02- VQ35DE (grafito),1,1.00,"67,256.64","CRC 49,800.00","$17,456.64"
KIT CLUCTH DAIH TERIOS 1.3,1,1.00,"67,256.64","CRC 49,814.35","$17,442.29"
LIQUI MOLY 8354 ADITIVO REESTABLECER TAQUES (BUZOS) HIDRAULICOS PARA ACEITE (300ML) Garantía 353-E,14,14.00,"66,433.67","CRC 48,992.40","$17,441.27"
FLOSSER BOMBILLO H4 12V 60/55W P43T,27,27.00,"59,911.52","CRC 42,479.13","$17,432.39"
COMPENSADOR HYUNDAI SANTA FE DEL LH 06-09,2,2.00,"89,231.86","CRC 71,800.00","$17,431.86"
AMORTIGUADOR HYUNDAI I10 08-14 Del RH Gas (54660- 0X100),2,2.00,"66,725.66","CRC 49,300.00","$17,425.66"
SENSOR DE OXIGENO HYUNDAI,1,1.00,"46,371.68","CRC 28,955.29","$17,416.39"
WD40 SPRAY 9.6oz  20 o/o MAS (c24),38,38.00,"107,662.81","CRC 90,250.00","$17,412.81"
SOP-DIF-TRAS-TOYOTA-RAV4-94-05,2,2.00,"59,292.03","CRC 41,880.00","$17,412.03"
AMORTIGUADOR DELANTERO KIA BONGO/K2700 OJO Y PIN 4X4,2,2.00,"66,902.65","CRC 49,500.00","$17,402.65"
"KIT DISTRIBUCION GEELY GX3. 16/23, CARRO CHINO",2,2.00,"77,116.99","CRC 59,718.40","$17,398.59"
ROL BOCINA TRASERO TOYOTA RAV4 XA30 XA40 4X4 06-14,2,2.00,"74,867.26","CRC 57,477.18","$17,390.08"
RADIADOR DH TERIOS 97-06 MTM 425 X 560 X PA16,1,1.00,"66,371.68","CRC 48,990.00","$17,381.68"
KIT.DISTRIB. SUZUKI J18A/J20A,1,1.00,"66,371.68","CRC 49,000.00","$17,371.68"
RET. TAPA VALV. (BUJIAS) TER/ELA/ACC/VER/IX35/TUC 04-2.0(18-20)(27x44x7.5/10.5)ELA 1.8 12-/CERATO Q=4,11,11.00,"69,069.03","CRC 51,700.00","$17,369.03"
JP1871 Bush-Punta-Tij-Del-Nissan-Tiida-06-19- Versa-06-11 M-12X58X21X53,11,11.00,"33,274.33","CRC 15,915.00","$17,359.33"
ARRANCADOR HITACHI SENTRA TSURU 1.8 17745,1,1.00,"66,814.16","CRC 49,455.72","$17,358.44"
FAN CLUTCH FORD EXPLORER 4.6L 01/05/ 4.0L 02/03,1,1.00,"66,814.16","CRC 49,467.00","$17,347.16"
SOPORTE CAJA MOD: TOYOTA-HILUX 1KD /16-22 MT-ATM 4X2-4X4,2,2.00,"53,246.00","CRC 35,900.00","$17,346.00"
Rotula Cremallera Interna Nissan Sentra 96 1.6,5,5.00,"24,336.29","CRC 7,012.50","$17,323.79"
PUNTA DE EJE HONDA CRV 97-01 4X4 2.4 ODISSEY PRELUDE FWD 96- 28x32x64 externa,3,3.00,"66,106.20","CRC 48,785.55","$17,320.65"
"33400-85K20 33400-51K20 33400-M68K20 3PIN , ALTO 09-15 1L UF634 SX4 GRAND VITARA ERTIGA 1.6 UF-634",4,4.00,"85,309.73","CRC 68,000.00","$17,309.73"
"UF-636   /  UF-652 ELANTRA 06-12 I20, I30 KIA RIO 12- CERATO 1,6L  CRETA",4,4.00,"85,309.72","CRC 68,000.00","$17,309.72"
BUSH TIJ DEL INF TOYOTA HILUX VIGO 4X4 PEQUEÑO M-14X48X72,2,2.00,"33,805.31","CRC 16,500.00","$17,305.31"
"ROT. CREMA. TOY. TACOMA. 95/04, 4X2, 4X4, 4RUNNER, HILUX.",10,10.00,"62,477.88","CRC 45,175.00","$17,302.88"
Soporte Motor Trasero Hyundai Accent Blue 2010-2017,2,2.00,"27,433.62","CRC 10,131.00","$17,302.62"
ZAPATA FRENO HONDA CIVIC FRENOIT ODYSEEY4P 06-,6,6.00,"60,265.47","CRC 42,972.54","$17,292.93"
SENSOR DE OXIGENO 18213-56KB0,1,1.00,"37,288.50","CRC 20,000.00","$17,288.50"
COMPENSADOR HONDA CRV 01-06 DEL LH,2,2.00,"103,805.31","CRC 86,525.06","$17,280.25"
KIT C CHEVROLET SPARK 1.2 DOCH 11- CHEVROLET BEAT 1.2 G23(3),1,1.00,"66,460.18","CRC 49,200.00","$17,260.18"
DISCO FRENO SUZUKI DELANTERO SIDEKICK 2P SAMURAI,5,5.00,"90,626.55","CRC 73,382.95","$17,243.60"
SOP. PARA MOTOR TRASERO NISSAN X-TRAIL V6 2.5 02-07,3,3.00,"72,095.58","CRC 54,858.12","$17,237.46"
TIJERETA INF. RH. TOY. HIACE. 19,1,1.00,"65,486.73","CRC 48,249.60","$17,237.13"
"ROT. DIR. EXT. LH. HYU. GRAND I10. 14/19, CEKH-61L",8,8.00,"56,460.16","CRC 39,225.00","$17,235.16"
VALVULA ESCAPE R.CLIO MEGANE PLATINA 1.4 16V-1.6,8,8.00,"64,424.78","CRC 47,200.00","$17,224.78"
VALVOLINE PREMIUM PROTECTION SYN 5W30,9,9.00,"66,946.91","CRC 49,725.00","$17,221.91"
TAPON DE RADIADOR PEQUEÑO ESTILO NIPPY,46,46.00,"24,809.72","CRC 7,590.00","$17,219.72"
"ROT. SUSP. MAZ. 626, 323. 98/- 83/97, MPV. 00/- SB-1392, 43MM, FRESADO ,18 PIVOTE",9,9.00,"60,768.14","CRC 43,549.20","$17,218.94"
PASTILLA F SZ ERTIGA K15B 18- SZ EXPRESSO XL7 19,3,3.00,"57,907.82","CRC 40,702.74","$17,205.08"
TIJ.SUS. LH INF / HYUN- SANTA FE 12-19,2,2.00,"66,194.70","CRC 49,000.00","$17,194.70"
"""Am.TY Prado/Runner 95-02 /Land Cruiser 96-02(Tacoma 95-05 4x2/4x4) Del R/L Gas (551083-551084)(U3752)""",2,2.00,"66,194.69","CRC 49,000.00","$17,194.69"
AMORTIGUADOR PRADO RUNNER/LAND CRUISER,2,2.00,"66,194.69","CRC 49,000.00","$17,194.69"
RADIADOR NS SENTRA B13 /B14 ATM 320 X 648 X PA16,1,1.00,"60,176.99","CRC 42,990.00","$17,186.99"
TAMBOR FRENO TOYOTA COROLLA 07-14 YARIS 10-,4,4.00,"74,421.24","CRC 57,235.76","$17,185.48"
LLAVE RANA TIPO CRUZ,6,6.00,"25,530.98","CRC 8,349.00","$17,181.98"
SOPORTE MOTOR DERECHO MARCH 1.6 2012-2023 /VERSA 1.6 2012-2019 JP2466,2,2.00,"75,100.88","CRC 57,925.18","$17,175.70"
KIT CLUTCH ACCENT CLUE 1.4 G4FA,1,1.00,"66,194.69","CRC 49,021.72","$17,172.97"
KIT ROL BOCINA DELANTERO TOYOTA COROLLA OD:72MM 1988 / SPACIO IMPORTS KIA CERATO 1.6,7,7.00,"29,619.47","CRC 12,474.00","$17,145.47"
NISSAN X-TRAIL L4-2.5 FRONT IZQ 201,1,1.00,"65,044.25","CRC 47,913.90","$17,130.35"
"KIT CLUTCH TOY HIACE 3,0cc 5L",1,1.00,"87,847.79","CRC 70,729.00","$17,118.79"
ROL BOCINA DELANTERO TOYOTA COROLA 88-02,6,6.00,"56,106.22","CRC 39,000.00","$17,106.22"
CHV HAV GLOBAL MV ATF  (6/1 QT),15,15.00,"93,539.82","CRC 76,434.45","$17,105.37"
ROLL BOCINA TRASERO HONDA CIVIC 88- ACCORD 86-89 30 mmINTEG 90-93 FWD,3,3.00,"70,176.99","CRC 53,076.72","$17,100.27"
BOMBA CLUTCH H1 G.STAREX 07-/H100 00- - 41600,2,2.00,"65,486.72","CRC 48,400.00","$17,086.72"
SOPORTE MOTOR RH TOYOTA RAV4 2.5 2013-2018 // LEXUS NX300H 2015-2021,2,2.00,"87,433.62","CRC 70,348.86","$17,084.76"
KIT CLUTCH CHE SPARK 800cc A08 51566,1,1.00,"56,548.67","CRC 39,471.64","$17,077.03"
"TIJERETA RH. TOY. YARIS, ECHO. 99/05. 12.4MM, BUJE PEQUENO (SB-3602)",3,3.00,"69,734.52","CRC 52,672.00","$17,062.52"
JGO EMP MTR ACCENT 1400 G4EE 20910-26L00,1,1.00,"65,044.25","CRC 48,000.00","$17,044.25"
ROLL BOC TRAS DH SIRION 05- SB JUSTY 07,4,4.00,"92,917.70","CRC 75,875.72","$17,041.98"
Amort.Suz Side/ Track/Grand Vitara 98-05/Vitara 98-00 R/ P/B Tras (343247)(2872)(344440),5,5.00,"71,957.52","CRC 54,950.00","$17,007.52"
CHEVRON URSA HD SAE 40 GALON,6,6.00,"86,283.18","CRC 69,278.40","$17,004.78"
GAZA PLASTICA 395X4.7 100PP,17,17.00,"34,199.22","CRC 17,204.00","$16,995.22"
DISCO F. KIA PICANTO 04--/ MORNING 11-17 / HY i10,2,2.00,"44,602.00","CRC 27,610.62","$16,991.38"
GALLETA COMPENSADOR HYUNDAI AVANTE 96-99 TRASERA LH ELANTRA 00-05 TUCSON 04,8,8.00,"71,442.47","CRC 54,459.00","$16,983.47"
"TIJERETA INF. TRAS. RH. NIS. PATHFINDER, 05/15, R51",1,1.00,"49,380.53","CRC 32,400.00","$16,980.53"
RADIADOR TY 4RUNNER/PRADO 5L,1,1.00,"86,952.21","CRC 69,990.00","$16,962.21"
RADIADOR TY HILUX VIGO 05-15 MTM 525 x 648 x PA26,1,1.00,"86,952.21","CRC 69,990.00","$16,962.21"
"ROT. ESTAB. DEL. RH/LH. TOY. RAV4. 00/05, SL-3920,TIPO Z. 312X10",12,12.00,"69,608.85","CRC 52,651.20","$16,957.65"
234-9033 250-54034 4PIN A/F SUZUKI VITARA SX4 18213-54LA0 18213-64J10,1,1.00,"86,952.21","CRC 70,000.00","$16,952.21"
A/C 35X52X22 A&S,3,2.00,"33,451.32","CRC 16,500.00","$16,951.32"
SE-3641L ROT.DIR. LH EXT / TOY-COROLLA-CORAXI-ALTIS 4X2 00-08/M.14X12X162,4,4.00,"30,132.75","CRC 13,200.00","$16,932.75"
SE-3641R ROT.DIR. RH EXT / TOY-COROLLA-CORAXI 4X2 00-08/M.14X12X162,4,4.00,"30,132.75","CRC 13,200.00","$16,932.75"
SOPORTE MOTOR TRASERO SUZUKI SWIFT 1.4  12-17,2,2.00,"61,946.90","CRC 45,015.04","$16,931.86"
AMORTIGUADOR MONROE TOYOTA TERCEL/PASEO (91-99) RR TRAS,4,4.00,"64,424.78","CRC 47,503.84","$16,920.94"
SENSOR DE PRESION DE ACEITE NISSAN,2,2.00,"48,672.56","CRC 31,752.94","$16,919.62"
Punta de Eje Externa Nissan Sentra B13,2,2.00,"25,663.72","CRC 8,745.00","$16,918.72"
Tornillo-Barra-Est-Mit-Montero-Sport M- 10X136,10,10.00,"51,408.13","CRC 34,496.00","$16,912.13"
Set Cables de Bujia Hyundai Tucson G4GC,5,5.00,"28,269.03","CRC 11,357.50","$16,911.53"
KIT CLUTCH / HY GRAND i10 1.0cc G3LA / PICANTO 1.0 1.1cc 20 / HY ATOS 1.0cc G3LA,1,1.00,"65,132.74","CRC 48,225.79","$16,906.95"
B.ACEITE 21310-2G011,1,1.00,"65,165.49","CRC 48,271.55","$16,893.94"
Flasher Relay Hyundai Tucson G4GC,8,8.00,"21,769.93","CRC 4,884.00","$16,885.93"
ZAPATA FRENO HYUNDAI STAREX 01 H1-05 GALLOP II 97-,3,3.00,"64,778.76","CRC 47,899.23","$16,879.53"
"Amort. Suz SX4 07-14 Del LH G (339364) (41602-75K00) G. Aro 15-16""",2,2.00,"64,778.76","CRC 47,900.00","$16,878.76"
SENSOR ABS HYUNDAI,1,1.00,"47,787.61","CRC 30,912.94","$16,874.67"
JGO.EMP.MTR.04111-21030 1NZ/2NZ 99- DOHC - YA,1,1.00,"64,867.26","CRC 48,000.00","$16,867.26"
COMPENSADOR DELANTERO LH SUZUKI SX4 LH 06-13 339187,2,2.00,"64,424.78","CRC 47,600.00","$16,824.78"
COMPENSADOR DELANTERO RH SUZUKI SX4 LH 06-13 339186,2,2.00,"64,424.78","CRC 47,600.00","$16,824.78"
Am NI B13 95-00 Tras LH G,2,2.00,"59,823.01","CRC 43,000.00","$16,823.01"
Am NI B13 95-00 Tras RH G,2,2.00,"59,823.01","CRC 43,000.00","$16,823.01"
COMPENSADOR HY ACCENT BLUE 11-18 /KIA RIO 11- /I-20 08- TRAS 349098,4,4.00,"64,778.76","CRC 47,960.00","$16,818.76"
PASTILLA F KIA SORENTO 02- V/USA,3,3.00,"63,876.11","CRC 47,062.56","$16,813.55"
JGO. EMP. MOTOR NI. SENTRA 1.8 98- QG18DE/B15 (grafito),2,2.00,"64,601.76","CRC 47,800.00","$16,801.76"
KIT CLUTCH CHE CELTA 1.4cc,1,1.00,"64,601.77","CRC 47,814.88","$16,786.89"
Sop-Comp-Tras-Nissan-Sentra-B13,4,4.00,"33,805.31","CRC 17,020.00","$16,785.31"
PASTILLA F HD CRV 12-1 LX 4WD ODYSSEY 11- CROSSTOUR ACCORT,2,2.00,"39,589.38","CRC 22,805.74","$16,783.64"
PASTILLA FRENO KIA SORENTO V/USA SANTA FE 07-STAREX H1,5,5.00,"68,007.22","CRC 51,238.40","$16,768.82"
KIT ROL BOCINA DELANTERO TOYOTA COROLLA 2002  40/ 74/ 42/ SPACIO AVENSIS 2002- IMPORT RUNX,6,6.00,"27,228.33","CRC 10,461.00","$16,767.33"
DEPOSITO DE RESERVA P/REFRIGERANTE TOYOTA HILUX VIGO/ FORTUNER 2005  FITS ON 246-442,5,5.00,"25,340.70","CRC 8,580.00","$16,760.70"
SOP MOTOR 8294,1,1.00,"61,327.43","CRC 44,573.00","$16,754.43"
SENSOR POSICION CIGUEÑAL HONDA,1,1.00,"42,477.88","CRC 25,731.77","$16,746.11"
RADIADOR SZ ERTIGA 14-MT,1,1.00,"85,730.97","CRC 68,990.00","$16,740.97"
NGK CABLES P/BUJIA HY/ACCENT 1.6C 7655,2,2.00,"72,722.13","CRC 55,990.00","$16,732.13"
FILTRO DE ACEITE Z212 TOYOTA COROLLA/ PLAZA 1NZ 1.5 IMPORTS// RAUM 1 IMPORT/ DUET/ KLUGER,24,24.00,"27,023.51","CRC 10,296.00","$16,727.51"
6207 2RSC3 KOYO,2,2.00,"29,557.52","CRC 12,831.86","$16,725.66"
BOMBA AUX FRENO TOYOTA YARIS 00-05 LH COROLLA 01- CORAXI 11/16,9,9.00,"65,348.66","CRC 48,629.97","$16,718.69"
SENSOR VELOCIDAD TOYOTA 83181-35040,1,1.00,"48,141.59","CRC 31,428.24","$16,713.35"
COMP TRAS ISUZU D-MAX 4x4 4x2 06,2,2.00,"40,707.96","CRC 24,000.00","$16,707.96"
AMORT DEL MIT MONT/ GALLOPER /PORTER -95/RAIDER 87-91/TACOMA 95-04 (444068)(2066) P/C (Zinger con muestra). Con coberto,4,4.00,"59,815.54","CRC 43,120.00","$16,695.54"
Tijereta Inferior Completa LH Opel Combo 1.3 1.4 1.6 1.7 2001-2012 Corsa C 1.0 1.2 1.3 1.4 1.7 1.8 2000-2009 Tigra 1.3 1.4 1.8 2004-2010 Chevrolet Combo Mk II 1.2 1.3 1.7 2000-2012,1,1.00,"24,778.76","CRC 8,096.00","$16,682.76"
Tijereta Inferior Completa RH Opel Combo 1.3 1.4 1.6 1.7 2001-2012 Corsa C 1.0 1.2 1.3 1.4 1.7 1.8 2000-2009 Tigra 1.3 1.4 1.8 2004-2010 Chevrolet Combo Mk II 1.2 1.3 1.7 2000-2012,1,1.00,"24,778.76","CRC 8,096.00","$16,682.76"
AMORTIGUADOR. KIA RIO 00-05 DEL LH Gas Chasís KNADC22/24,2,2.00,"64,247.78","CRC 47,574.00","$16,673.78"
AMORTIGUADOR. KIA RIO 00-05 DEL RH Gas Chasís KNADC22/24,2,2.00,"64,247.78","CRC 47,574.00","$16,673.78"
KASHIMA KAS 341492 AMORTIGUADOR TRASERO DERECHO/IZQUIERDO PARA HONDA CRV 07-11,2,2.00,"43,716.82","CRC 27,047.00","$16,669.82"
ROTULA ESTAB. DEL. NISSAN TIIDA 06-16-VERSA 12-15-HYUNDAI ACCENT,8,8.00,"64,481.42","CRC 47,831.04","$16,650.38"
COMPENSADOR SUZUKI CIAZ RH DELANTERO 16-,5,5.00,"117,058.42","CRC 100,415.05","$16,643.37"
DISCO F. SUBARU FORESTER 97-02 / IMPREZA,2,2.00,"53,097.35","CRC 36,460.16","$16,637.19"
BOMBA ACEITE HY/KIA ACCENT/RIO 11+ MOTOR (G4FC/G4FA),1,1.00,"63,982.30","CRC 47,345.13","$16,637.17"
10-15 SORENTO SANTA FE 4X2TRASERO,2,2.00,"56,637.17","CRC 40,000.00","$16,637.17"
235-1149 PC458,2,2.00,"56,637.17","CRC 40,000.00","$16,637.17"
KIT DE DISTRIBUCION MITSUBHISHI MONTERO /MONTERO SPORT 4M40,2,2.00,"128,628.32","CRC 112,000.00","$16,628.32"
AMORTIGUADOR Chev Spark 12-15 Del RH G (Con estabilizadora- y oreja para freno de lado) Chev Beat+ (M300),2,2.00,"69,610.62","CRC 53,000.00","$16,610.62"
COMPENSADOR HYUNDAI ACCENT 94-96 LH TRAS,5,5.00,"126,106.20","CRC 109,500.00","$16,606.20"
KIT CLUTCH,1,1.00,"63,805.31","CRC 47,200.54","$16,604.77"
PASTILLA FRENO CERAMICA TOYOTA HILUX VIGO 4.0 4X4 06-,4,4.00,"69,865.49","CRC 53,280.00","$16,585.49"
BOTA P/PUNTA DE EJE INTERNA TOYOTA COROLLA/ CONQUEST 12V/ 16V 1.3/ 1.6 1988-/ FORD F 2.0 2003-2005,10,10.00,"24,336.30","CRC 7,755.00","$16,581.30"
BOMBA DE COMBUSTIBLE ELECTRICA TOYOTA QUANTUM AND HILUX VIGO / FORTUNER 1TRFE/ 2TR / YARIS 2.7,3,3.00,"25,840.71","CRC 9,273.00","$16,567.71"
TIJERETA LH NISSAN JUKE 12-,1,1.00,"39,823.01","CRC 23,260.89","$16,562.12"
TIJERETA RH NISSAN JUKE 12-,1,1.00,"39,823.01","CRC 23,260.89","$16,562.12"
SOPORTE DE MOTOR LH HONDA CR-V 2 GENERACION (2000-2006),2,2.00,"59,469.03","CRC 42,917.48","$16,551.55"
AMORTIGUADOR Maz 323 95-98 Tras LH V/Japón G Plato Alto,2,2.00,"63,539.82","CRC 47,000.00","$16,539.82"
AMORTIGUADOR TOYOTA COROLLA 84-87 AE80 DELANTERO R/L G (333120//21),2,2.00,"63,539.82","CRC 47,000.00","$16,539.82"
Am Maz 323 95-98 Tras RH V/Japón G Plato Alto,2,2.00,"63,539.82","CRC 47,000.00","$16,539.82"
BOMBA DE AGUA TOYOTA HILUX HIACE TOYOTONA LAND C 2L 3L 5L,4,4.00,"68,400.00","CRC 51,861.28","$16,538.72"
GATA HIDRAULICA DE BOTELLA 4 TON,6,6.00,"35,044.25","CRC 18,513.00","$16,531.25"
P EJE MZ 3 1.6 03-BK,2,2.00,"63,362.83","CRC 46,832.50","$16,530.33"
KIT CLUTCH NIS VANETTE 1.2cc A12,1,1.00,"48,672.57","CRC 32,150.20","$16,522.37"
ROL BOCINA DELANTERO HYUNDAI TUCSON 05-09 SANTA FE -06 KIA SPORTAG 03-09,5,5.00,"70,371.69","CRC 53,854.65","$16,517.04"
Am.Maz 323/Protege 98-03 Tras LH P/bajo Americano Gas,2,2.00,"63,539.82","CRC 47,040.00","$16,499.82"
ALS2320 ABS RAV4 06-12 F-LH,2,2.00,"66,499.11","CRC 50,000.00","$16,499.11"
Disco de Freno Trasero Nissan Sentra 96 1.6,2,2.00,"23,008.85","CRC 6,512.00","$16,496.85"
ABRO SILICON ULTRA GRIS 3oz 85g (c12),39,39.00,"74,004.44","CRC 57,513.00","$16,491.44"
BOMBA ACEITE NISSAN 13500-53Y01 GA1 6DE/B13/B14 16V,1,1.00,"63,451.33","CRC 46,963.00","$16,488.33"
FILTRO TRAN AUTOMATICA CABINAENT 11-14 1.6 AVANTE 13- 15 1.6,6,6.00,"50,106.18","CRC 33,618.58","$16,487.60"
"ROT. DIR. EXT. LH. TOY. RAV4. 00/05, SE-3921L",6,6.00,"41,075.22","CRC 24,590.00","$16,485.22"
BOBINA DE ENCENDIDO HYUNDAI,1,1.00,"47,699.12","CRC 31,217.65","$16,481.47"
PASTILLA FRENO SEMI METALICA NISSAN MURANO 03 XTRAIL 00- SUZUKI J3,9,9.00,"57,610.61","CRC 41,134.06","$16,476.55"
B A FRENO NS VERSA 10-11 TIIDA 11/16,10,10.00,"64,453.11","CRC 47,983.70","$16,469.41"
"TIJERETA LH. TOY. YARIS, ECHO. 99/05, 12MM BUJE PEQUEÑO",3,3.00,"67,876.11","CRC 51,408.00","$16,468.11"
SOP. MOTOR RH CX7 2.3 2.5 07-12,1,1.00,"63,362.83","CRC 46,899.21","$16,463.62"
PASTILLA FRENO CERAMICA NISSAN D21 PATHFRENO 4W FRENORONTIER 2.4,5,5.00,"81,192.90","CRC 64,731.30","$16,461.60"
RADIADOR TY COROLLA 01-ATM 600 X 353 X PA16,1,1.00,"63,451.33","CRC 46,990.00","$16,461.33"
AMORT DEL LH TOY COROLLA 14/ (TODO ROSCA),1,1.00,"55,752.21","CRC 39,300.00","$16,452.21"
AMORT DEL RH TOY COROLLA 14/ (TODO ROSCA),1,1.00,"55,752.21","CRC 39,300.00","$16,452.21"
PUNTA EJE HONDA CIVIC FWD CRX INTEGRA 88-98,2,2.00,"43,157.52","CRC 26,708.46","$16,449.06"
TIJERETA LH SUZ AERIO 04/07 METALICA LATA,3,3.00,"56,074.34","CRC 39,650.00","$16,424.34"
Past Tras land rover discov sport volvo xc90 jaguar xe 15-18,2,2.00,"51,681.41","CRC 35,263.50","$16,417.91"
234-9011 IMPRESA 02-04 2.0 TURBO,1,1.00,"81,415.93","CRC 65,000.00","$16,415.93"
KIT ROL BOCINA DELANTERO TOYOTA COROLLA/ CONQUEST 1984-1989 ID:38/ OD:7 REAR WHEEL HARRIER/CARINA ID38/OD74/W33,3,3.00,"25,663.72","CRC 9,289.50","$16,374.22"
Rotula Cremallera Externa LH Hyundai Tucson G4GC,4,4.00,"23,008.84","CRC 6,644.00","$16,364.84"
Rotula Cremallera Externa RH Hyundai Tucson G4GC,4,4.00,"23,008.84","CRC 6,644.00","$16,364.84"
