Item Name,Sale Quantity,Quantity Ordered,Sub Total,Total,Profit
Cremallera de Dirección sin Rotulas Toyota Corolla Altos 01-08 3zz,8,8.00,"913,274.34","CRC 475,860.00","$437,414.34"
Tijereta Inferior LH Kia Picanto 1000 cc,36,36.00,"637,725.63","CRC 235,620.00","$402,105.63"
Cremallera de Dirección sin Rotulas HYUNDAI GRAND I10,10,10.00,"716,230.07","CRC 319,024.00","$397,206.07"
Cremallera de Dirección sin Rotulas HYUNDAI ACCENT 06-11,6,6.00,"724,778.77","CRC 328,413.66","$396,365.11"
Tijereta Inferior RH Nissan Sentra 96 1.6,36,36.00,"615,876.14","CRC 220,770.00","$395,106.14"
FOCO TRASERO (STOP) LH  TOYOTA HILUX VIGO 2011-2015 .,49,49.00,"571,395.97","CRC 190,993.00","$380,402.97"
Disco de Freno Delantero Hyundai Accent Blue 2010-2017,50,50.00,"623,794.63","CRC 244,750.00","$379,044.63"
Disco de Freno Delantero Hyundai Accent 1999-2004 G4EK,26,26.00,"490,124.79","CRC 113,971.00","$376,153.79"
Arrancador Toyota Yaris 1.3 1.5 4WD 1999-2005 Auris 1.5 2006-2012 Platz 1.3 1.5 1999-2005 Ractis 2005-2010,14,14.00,"612,831.88","CRC 236,971.56","$375,860.32"
Cremallera de Dirección sin Rotulas TOYOTA TERCEL 91-94 (3E),11,11.00,"1,169,159.30","CRC 797,230.72","$371,928.58"
Cremallera de Dirección Nissan Sentra B13,4,4.00,"572,389.10","CRC 203,198.24","$369,190.86"
Tijereta Inferior LH Hyundai Accent Blue 2016,36,36.00,"588,586.80","CRC 223,146.00","$365,440.80"
Cremallera de Dirección sin Rotulas HYUNDAI ACCENT 99-05,11,11.00,"1,103,362.88","CRC 740,912.92","$362,449.96"
TIJERETA INFERIOR RH NISSAN X-TRAIL 2004  .,10,9.00,"586,477.85","CRC 231,594.00","$354,883.85"
Cremallera de Dirección sin Rotulas HYUNDAI TUCSON 11-14,5,5.00,"635,557.53","CRC 288,140.35","$347,417.18"
Alternador 12V 90A Hyundai Accent II III 1.3 1.4 1.5 1.6 1999-2010 Tucson 2.0 AWD 2004-2010 Coupe I II 1.6 2.0 2001-2009 Elantra III 1.6 1.8 2.0 2000-2006 Getz 1.3 1.4 1.6 2002-2010,11,11.00,"620,663.33","CRC 273,854.90","$346,808.43"
FOCO TRASERO (STOP) RH TOYOTA HILUX VIGO 2011-2015 .,47,47.00,"526,723.85","CRC 183,139.00","$343,584.85"
CHEVRON SUPREME MO 10W30 SP CUARTO,542,542.00,"1,562,335.40","CRC 1,236,241.92","$326,093.48"
TIJERETA INFERIOR LH COMPLETA TOYOTA YARIS 2005 VITZ/ VIOS/,27,27.00,"534,690.25","CRC 214,423.74","$320,266.51"
Radiador Nissan Pathfinder 32AT,8,8.00,"555,858.39","CRC 238,419.60","$317,438.79"
Arrancador Toyota Hilux II V VI 2.4 4WD 1984-2002 Hiace III IV 2.4 2.8 4WD 1987-2001 4 Runner II 2.4 1989-1995 Land Cruiser 2.4 1984-1996 Crown 2.2 1980-1983 Dyna 100 2.4 1995-2001 Dyna 150 1995-1998,8,8.00,"545,752.46","CRC 234,206.56","$311,545.90"
Radiador Hyundai Accent 1999-2004 G4EK,23,23.00,"498,828.38","CRC 190,762.00","$308,066.38"
LLAVE RANA 41X21 HINO/ DYNA/ UG780/ DA .,50,50.00,"504,424.78","CRC 196,900.00","$307,524.78"
Arrancador Hyundai i10 II 1.0 1.2 2013-2019 i20 I II 1.2 2012-2020 Kia Picanto III 1.0 1.2 2017- Rio III 1.2 1.25 2011-2017 G4LA/2014- / 10D,9,9.00,"443,539.81","CRC 148,780.89","$294,758.92"
NGK BUJIA LFR5A-11 6376 / 4278,106,100.00,"669,040.57","CRC 376,028.00","$293,012.57"
TIJERETA INFERIOR RH COMPLETA TOYOTA YARIS 2005/ VITZ/VIOS,24,24.00,"477,026.54","CRC 190,021.95","$287,004.59"
BOBINA DE ENCENDIDO TOYOTA COROLLA IMP/ YARIS 1NZFE/ 2NZFE VITZ IMPORT,41,41.00,"499,557.53","CRC 213,939.00","$285,618.53"
Farol Delantero RH Hyundai Tucson 2010-2015 G4KD,9,9.00,"414,281.44","CRC 129,690.00","$284,591.44"
Bocina Trasera Hyundai Accent Blue 2016,27,27.00,"477,749.36","CRC 193,347.00","$284,402.36"
Alternador Toyota Hiace / Hilux 2L/3L 1999-2005 12v/70am.,4,4.00,"464,849.56","CRC 184,017.76","$280,831.80"
TIJERETA INFERIOR LH NISSAN X-TRAIL 2004  .,8,7.00,"457,743.35","CRC 177,149.83","$280,593.52"
Bomba de Combustible Hyundai Accent 1999-2004 G4EB,22,22.00,"471,026.49","CRC 192,390.00","$278,636.49"
FOCO TRASERO (STOP) LH TOYOTA HILUX REVO VIGO 2015- .,29,29.00,"432,464.81","CRC 157,916.00","$274,548.81"
Alternador 12V 70A Toyota Hilux II V VI 2.4 4WD Hiace IV 2.4 4WD 1995-2001 1988-2005 Dyna 100 2.4 1995-2001 Dyna 150 3.0 1998-2001 12v/70amp,5,5.00,"502,327.18","CRC 230,022.20","$272,304.98"
Radiador Honda Civic EG 1995,12,12.00,"423,442.46","CRC 151,932.00","$271,510.46"
Radiador Nissan Tida Tiida Versa 26AT,9,9.00,"450,796.74","CRC 183,457.53","$267,339.21"
Radiador Hyundai Tucson 2010-2015 G4KD,9,9.00,"429,663.70","CRC 164,983.50","$264,680.20"
FOCO TRASERO (STOP) RH TOYOTA HILUX REVO VIGO 2015- .,28,28.00,"414,296.68","CRC 151,965.00","$262,331.68"
NGK LZKAR6AP-11 BUJÍA PLATINUM PARA NISSAN MARCH Y VERSA HEX.14MM ROSCA 12X26.5MM VT 5.0,149,149.00,"1,299,366.28","CRC 1,037,436.00","$261,930.28"
Radiador Honda Civic 2001-2005 26AT,9,9.00,"430,752.24","CRC 169,527.69","$261,224.55"
KIT CLUTCH SUZUKI SWIFT DZIRE 1.2 K12,16,16.00,"1,093,081.53","CRC 831,916.96","$261,164.57"
CHEVRON SUPREME M/O 20W50  SN GALON,85,85.00,"1,154,852.20","CRC 894,828.79","$260,023.41"
Rotula Estabilizadora Delantera Hyundai Accent Blue 2010-2017,79,79.00,"339,699.10","CRC 89,507.00","$250,192.10"
LIQUI MOLY 9978 MOLYGEN ACEITE ANTIFRICCIÓN PARA MOTORES GASOLINA 10W30 5L Garantía 353-E,38,38.00,"1,169,699.25","CRC 920,751.00","$248,948.25"
SOP COMP TY YARIS 06-12 DEL (KIT COMPLETO ),40,40.00,"505,330.82","CRC 256,916.00","$248,414.82"
FOCO TRASERO (STOP) RH Toyota Hilux 2016/Current GUN125L-DGFXHF,27,27.00,"419,118.58","CRC 170,775.00","$248,343.58"
BOBINA DE IGNICIÓN HYUNDAI ELANTRA-CRETA-i20-i30 (06-12) / KIA RIO-CERATO (12-) 1.6L UF-636   /  UF-652,46,46.00,"1,029,805.30","CRC 782,000.00","$247,805.30"
Disco de Freno Delantero Kia Picanto 1000 cc,41,41.00,"407,373.44","CRC 161,683.50","$245,689.94"
SET DE ZAPATAS DE FRENO TRASERAS TOYOTA HILUX 4X4/ HIACE DIFF 1984  .,14,2.00,"256,348.66","CRC 10,945.00","$245,403.66"
Cremallera de Dirección sin Rotulas Toyota Corolla 1.4 1.6 1.8 2.0 2001-2014 Isis 2.0 2009-2014 Matrix 1.8 2002-2007 Noah Voxy 2.0 2001-2007,6,6.00,"392,920.38","CRC 150,216.00","$242,704.38"
Radiador Toyota Rav4 2001-2006 (1AZ) 26AT,7,7.00,"410,088.49","CRC 168,276.22","$241,812.27"
Cobertor de Abanico Hyundai Accent 199-2004 G4EK,21,21.00,"397,424.75","CRC 155,925.00","$241,499.75"
Radiador Honda Civic 2006-2011 26AT,8,8.00,"395,469.04","CRC 154,906.56","$240,562.48"
CLUTCH KIT NISSAN FRONTIER EXTRA CAP QR25DE(4) NISSAN URVAN 08-16 4X2,3,3.00,"1,037,230.33","CRC 798,000.00","$239,230.33"
BOCINA RUEDA LIBRE TOYOTA HILUX P690 4X4 26 SPLINES/ HIACE 4X4/ REGIUS ACE,15,15.00,"320,796.47","CRC 83,407.50","$237,388.97"
Tambor/Disco de Freno Trasero Nissan Sentra B13,37,37.00,"391,376.10","CRC 154,456.50","$236,919.60"
Alternador 12V 80A Toyota RAV4 I 2.0 4WD 1994-2000 Camry 2.2 1991-2002 Carina E VI 2.0 1992-1997 Picnic 2.0 2000-2001,6,6.00,"418,619.48","CRC 181,976.04","$236,643.44"
PASTILLA FRENO CERAMICA HYUNDAI ELANTRA VELOSTER ACCENT 10- BLUE KIA RIO DELANTERAS,54,54.00,"945,764.46","CRC 713,656.66","$232,107.80"
Alternador 12V 70A Toyota Corolla 1.6 1.8 4WD 1991-200 1 Sprinter 1.5 1.6 1991-2002 Carina E VI 1.6 1.8 1993-1997,6,6.00,"376,991.16","CRC 146,807.10","$230,184.06"
FOCO TRASERO (STOP) LH Toyota Hilux 2016/Current GUN125L-DGFXHF,27,27.00,"417,175.23","CRC 188,595.00","$228,580.23"
Tijereta Inferior RH Hyundai Accent 1999-2004 G4EK,23,23.00,"376,917.65","CRC 150,535.00","$226,382.65"
Alternador 12V 70A Honda Civic VII 1.4 1.6 1.7 2000-2005 FRV 1.7 2004-,6,6.00,"416,530.97","CRC 192,891.30","$223,639.67"
Farol Delantero LH Hyundai Tucson G4GC,15,15.00,"362,371.72","CRC 140,332.50","$222,039.22"
KIT C TY COROLLA 1.8 C/HIDRA DOHC 6V 14- (3)ETIOS,7,7.00,"1,036,141.59","CRC 814,971.92","$221,169.67"
Radiador Hyundai Accent 2012-2017 26AT,10,10.00,"393,407.07","CRC 172,556.50","$220,850.57"
Tijereta Inferior RH Toyota Yaris/Vios 09/ETIOS 2018 (NSP151L-AEXRK),19,19.00,"364,941.63","CRC 147,345.00","$217,596.63"
KIT BOCINA TRASERA CON SENSOR ABS TOYOTA YARIS/ VITZ 2006  RACTIS VIOS 2007,15,15.00,"384,159.30","CRC 168,712.50","$215,446.80"
Tijereta Inferior LH Nissan Sentra 96 1.6,19,19.00,"364,569.94","CRC 149,435.00","$215,134.94"
BOBINA DE IGNICIÓN TOYOTA COROLLA (08-12) 90919-C2003 90919-02258 UF-619 UF-596,39,39.00,"876,495.58","CRC 663,000.00","$213,495.58"
Kit Rol De Bocina Trasero Nissan Sentra B13,29,29.00,"332,159.28","CRC 121,539.00","$210,620.28"
Cremallera de Dirección sin Rotulas TOYOTA HIACE 99-05 (5L),3,3.00,"374,690.26","CRC 164,366.34","$210,323.92"
SENSOR DE OXÍGENO NISSAN VERSA (2012-2017) CAFÉ 226931KT5A 234-9106 234-9133 234-9127 22693-1KT0A  2115007700 B1 S1,11,11.00,"868,173.47","CRC 660,000.00","$208,173.47"
KIT CLUCTH SUZ SX4 1.6,9,9.00,"795,221.25","CRC 587,242.31","$207,978.94"
Arrancador Rav 4 III 2.0 2.4 2.5 3.5 4WD 2005-2018 Camry 2.0 2.4 2.5 3.5 2001-2018 Alphard Vellfire 3.5 2008-2014 Aurion 3.5 2006-2011 Harrier 3.5 4WD 2005-2008 Previa III 2.4 3.5 2005-,7,7.00,"358,699.12","CRC 151,494.77","$207,204.35"
Abanico de Radiador Nissan Sentra 96 1.6,22,22.00,"363,805.31","CRC 157,905.00","$205,900.31"
Farol Delantero RH Hyundai Tucson G4GC,14,14.00,"336,707.99","CRC 130,977.00","$205,730.99"
