Month & Year,Amount
Jan 2025,"CRC 16,165.22"
Mar 2025,"CRC 201,663.25"
Apr 2025,"CRC 18,305.76"
May 2025,"CRC 59,060.98"
Jul 2025,"CRC 31,083.51"
Sep 2025,"CRC 30,891.38"
Oct 2025,"CRC 37,516.00"
