Invoice Number,Sale Quantity,Quantity Ordered,Sub Total,Total,Profit
INV-017445,12,5.00,"34,026.55","CRC 19,044.60","$14,981.95"
INV-005156,3,3.00,"30,707.96","CRC 15,728.97","$14,978.99"
INV-014635,6,6.00,"43,313.28","CRC 28,335.28","$14,978.00"
INV-002130,1,1.00,"24,601.77","CRC 9,625.00","$14,976.77"
INV-005233,1,1.00,"24,601.77","CRC 9,625.00","$14,976.77"
INV-007946,1,1.00,"24,601.77","CRC 9,625.00","$14,976.77"
INV-008834,1,1.00,"24,601.77","CRC 9,625.00","$14,976.77"
INV-013304,1,1.00,"24,601.77","CRC 9,625.00","$14,976.77"
INV-006086,4,4.00,"24,424.79","CRC 9,450.50","$14,974.29"
INV-002234,2,1.00,"23,716.81","CRC 8,745.00","$14,971.81"
INV-017090,5,1.00,"23,716.81","CRC 8,745.00","$14,971.81"
INV-005640,1,1.00,"57,522.12","CRC 42,550.64","$14,971.48"
INV-011026,4,4.00,"57,079.64","CRC 42,108.48","$14,971.16"
INV-013125,2,2.00,"57,522.12","CRC 42,552.98","$14,969.14"
INV-011107,2,2.00,"67,592.92","CRC 52,626.80","$14,966.12"
INV-005294,5,5.00,"57,345.13","CRC 42,388.28","$14,956.85"
INV-009783,2,2.00,"44,955.75","CRC 30,000.00","$14,955.75"
INV-004218,2,2.00,"44,247.78","CRC 29,296.00","$14,951.78"
INV-006852,10,10.00,"60,003.55","CRC 45,059.55","$14,944.00"
INV-012390,5,5.00,"56,637.17","CRC 41,695.40","$14,941.77"
INV-002492,1,1.00,"63,982.30","CRC 49,042.00","$14,940.30"
INV-004566,1,1.00,"56,637.17","CRC 41,700.00","$14,937.17"
INV-008962,6,6.00,"42,661.95","CRC 27,733.50","$14,928.45"
INV-013104,6,1.00,"23,672.56","CRC 8,745.00","$14,927.56"
INV-003551,10,5.00,"42,345.13","CRC 27,422.46","$14,922.67"
INV-011200,2,2.00,"57,168.14","CRC 42,247.72","$14,920.42"
INV-017208,1,1.00,"42,920.00","CRC 28,000.00","$14,920.00"
INV-007168,2,2.00,"51,327.44","CRC 36,408.74","$14,918.70"
INV-009418,8,8.00,"48,495.58","CRC 33,580.00","$14,915.58"
INV-007987,4,4.00,"56,991.15","CRC 42,075.64","$14,915.51"
INV-016282,5,5.00,"45,650.44","CRC 30,736.00","$14,914.44"
INV-005736,8,8.00,"75,961.05","CRC 61,060.74","$14,900.31"
INV-004202,2,2.00,"135,398.23","CRC 120,500.00","$14,898.23"
INV-014090,1,1.00,"28,495.58","CRC 13,600.51","$14,895.07"
INV-015064,14,2.00,"62,038.94","CRC 47,154.38","$14,884.56"
INV-004186,5,1.00,"23,628.32","CRC 8,745.00","$14,883.32"
INV-012045,7,7.00,"42,389.39","CRC 27,510.96","$14,878.43"
INV-017499,1,1.00,"22,301.00","CRC 7,425.00","$14,876.00"
INV-010080,1,1.00,"22,300.88","CRC 7,425.00","$14,875.88"
INV-010921,1,1.00,"22,300.88","CRC 7,425.00","$14,875.88"
INV-012052,1,1.00,"22,300.88","CRC 7,425.00","$14,875.88"
INV-012194,1,1.00,"22,300.88","CRC 7,425.00","$14,875.88"
INV-015620,2,2.00,"48,672.57","CRC 33,800.00","$14,872.57"
INV-012139,2,1.00,"74,861.95","CRC 59,990.00","$14,871.95"
INV-014357,5,5.00,"56,460.18","CRC 41,589.99","$14,870.19"
INV-016828,8,5.00,"38,097.51","CRC 23,227.81","$14,869.70"
INV-003334,1,1.00,"57,168.14","CRC 42,300.00","$14,868.14"
INV-010340,2,2.00,"54,867.26","CRC 40,000.00","$14,867.26"
INV-011258,1,1.00,"54,867.26","CRC 40,000.00","$14,867.26"
INV-016190,2,2.00,"43,362.83","CRC 28,500.00","$14,862.83"
INV-011144,6,6.00,"60,177.00","CRC 45,314.24","$14,862.76"
INV-013157,12,4.00,"60,573.45","CRC 45,718.47","$14,854.98"
INV-003161,2,2.00,"56,814.16","CRC 41,967.74","$14,846.42"
INV-017394,1,1.00,"26,283.00","CRC 11,438.13","$14,844.87"
INV-004569,6,6.00,"56,460.18","CRC 41,616.42","$14,843.76"
INV-012872,9,2.00,"50,840.71","CRC 36,000.00","$14,840.71"
INV-006889,1,1.00,"88,092.04","CRC 73,263.42","$14,828.62"
INV-001145,15,1.00,"21,504.42","CRC 6,677.00","$14,827.42"
INV-003278,2,2.00,"56,814.16","CRC 41,988.28","$14,825.88"
INV-007213,5,5.00,"33,539.82","CRC 18,720.00","$14,819.82"
INV-002692,1,1.00,"21,238.94","CRC 6,424.00","$14,814.94"
INV-001979,10,10.00,"108,318.57","CRC 93,513.14","$14,805.43"
INV-010771,11,2.00,"48,805.31","CRC 34,000.00","$14,805.31"
INV-013539,2,2.00,"44,070.79","CRC 29,266.90","$14,803.89"
INV-013310,2,2.00,"56,902.66","CRC 42,100.00","$14,802.66"
INV-014523,2,2.00,"22,831.86","CRC 8,035.50","$14,796.36"
INV-006066,2,2.00,"56,991.16","CRC 42,197.41","$14,793.75"
INV-004165,4,2.00,"21,858.41","CRC 7,073.00","$14,785.41"
INV-016780,3,3.00,"38,672.57","CRC 23,904.00","$14,768.57"
INV-007209,1,1.00,"61,876.11","CRC 47,108.85","$14,767.26"
INV-009661,1,1.00,"75,635.40","CRC 60,868.73","$14,766.67"
INV-007574,2,2.00,"27,610.62","CRC 12,845.80","$14,764.82"
INV-009609,2,2.00,"27,610.62","CRC 12,845.80","$14,764.82"
INV-010599,2,2.00,"27,610.62","CRC 12,845.80","$14,764.82"
INV-011631,2,2.00,"27,610.62","CRC 12,845.80","$14,764.82"
INV-012392,2,2.00,"27,610.62","CRC 12,845.80","$14,764.82"
INV-007234,2,2.00,"23,008.85","CRC 8,250.00","$14,758.85"
INV-001632,2,2.00,"35,929.20","CRC 21,171.20","$14,758.00"
INV-012837,1,1.00,"66,752.21","CRC 51,994.81","$14,757.40"
INV-004290,4,4.00,"56,106.20","CRC 41,364.78","$14,741.42"
INV-002195,2,2.00,"56,637.17","CRC 41,900.00","$14,737.17"
INV-009840,2,2.00,"56,637.17","CRC 41,900.00","$14,737.17"
INV-011964,2,2.00,"56,637.17","CRC 41,900.00","$14,737.17"
INV-012804,2,2.00,"56,637.17","CRC 41,900.00","$14,737.17"
INV-013043,2,2.00,"56,637.17","CRC 41,900.00","$14,737.17"
INV-006239,2,2.00,"56,637.16","CRC 41,900.00","$14,737.16"
INV-009387,2,2.00,"56,637.16","CRC 41,900.00","$14,737.16"
INV-012047,2,2.00,"56,637.16","CRC 41,900.00","$14,737.16"
INV-005993,2,2.00,"56,814.16","CRC 42,078.26","$14,735.90"
INV-007849,6,3.00,"27,920.36","CRC 13,184.62","$14,735.74"
INV-006444,1,1.00,"56,725.66","CRC 41,990.00","$14,735.66"
INV-008356,2,2.00,"74,739.82","CRC 60,018.28","$14,721.54"
INV-009051,4,4.00,"38,407.08","CRC 23,687.22","$14,719.86"
INV-001446,14,14.00,"46,194.69","CRC 31,475.77","$14,718.92"
INV-016128,2,2.00,"45,267.26","CRC 30,549.20","$14,718.06"
INV-008022,7,7.00,"54,690.27","CRC 39,972.67","$14,717.60"
INV-016894,4,4.00,"43,274.34","CRC 28,559.27","$14,715.07"
INV-001644,7,7.00,"53,982.29","CRC 39,269.33","$14,712.96"
INV-010718,2,2.00,"23,893.81","CRC 9,185.00","$14,708.81"
INV-014621,1,1.00,"56,548.67","CRC 41,850.00","$14,698.67"
INV-002011,3,3.00,"56,460.18","CRC 41,775.38","$14,684.80"
INV-012013,4,4.00,"54,867.26","CRC 40,186.00","$14,681.26"
INV-017192,12,2.00,"41,780.00","CRC 27,100.00","$14,680.00"
INV-014660,11,4.00,"66,476.11","CRC 51,802.91","$14,673.20"
INV-008758,2,2.00,"48,672.57","CRC 34,000.00","$14,672.57"
INV-017032,2,2.00,"59,270.00","CRC 44,600.00","$14,670.00"
INV-002727,1,1.00,"27,743.36","CRC 13,073.50","$14,669.86"
INV-009182,3,3.00,"48,672.57","CRC 34,002.72","$14,669.85"
INV-002957,6,1.00,"29,867.25","CRC 15,200.00","$14,667.25"
INV-011255,4,2.00,"22,858.40","CRC 8,195.00","$14,663.40"
INV-016073,1,1.00,"58,407.08","CRC 43,745.42","$14,661.66"
INV-016051,2,2.00,"79,168.14","CRC 64,507.59","$14,660.55"
INV-009107,2,2.00,"56,460.18","CRC 41,800.00","$14,660.18"
INV-002450,4,4.00,"55,929.20","CRC 41,270.54","$14,658.66"
INV-013186,7,7.00,"23,451.33","CRC 8,794.28","$14,657.05"
INV-006134,1,1.00,"19,469.03","CRC 4,812.50","$14,656.53"
INV-006137,1,1.00,"19,469.03","CRC 4,812.50","$14,656.53"
INV-014243,1,1.00,"19,469.03","CRC 4,812.50","$14,656.53"
INV-001668,3,3.00,"56,283.19","CRC 41,630.63","$14,652.56"
INV-008965,2,2.00,"25,725.66","CRC 11,082.50","$14,643.16"
INV-006400,1,1.00,"113,539.82","CRC 98,900.00","$14,639.82"
INV-017395,2,2.00,"26,194.69","CRC 11,555.00","$14,639.69"
INV-007032,4,4.00,"55,752.21","CRC 41,121.74","$14,630.47"
INV-007048,4,4.00,"55,752.21","CRC 41,121.74","$14,630.47"
INV-000561,1,1.00,"26,548.67","CRC 11,924.00","$14,624.67"
INV-006822,7,2.00,"22,964.60","CRC 8,349.00","$14,615.60"
INV-015254,3,3.00,"74,495.58","CRC 59,881.86","$14,613.72"
INV-016654,6,2.00,"24,601.78","CRC 9,990.00","$14,611.78"
INV-006578,1,1.00,"64,601.77","CRC 49,990.00","$14,611.77"
INV-014669,3,3.00,"55,486.72","CRC 40,875.00","$14,611.72"
INV-016692,2,2.00,"68,552.22","CRC 53,946.00","$14,606.22"
INV-016719,2,2.00,"68,552.22","CRC 53,946.00","$14,606.22"
INV-010823,2,2.00,"23,805.31","CRC 9,200.00","$14,605.31"
INV-015333,3,3.00,"30,530.98","CRC 15,931.00","$14,599.98"
INV-012249,10,10.00,"81,334.51","CRC 66,734.54","$14,599.97"
INV-009939,4,4.00,"46,162.82","CRC 31,573.45","$14,589.37"
INV-000724,1,1.00,"26,548.67","CRC 11,962.50","$14,586.17"
INV-002474,3,3.00,"27,522.12","CRC 12,945.00","$14,577.12"
INV-008111,1,1.00,"74,576.99","CRC 60,000.00","$14,576.99"
INV-015722,1,1.00,"74,576.99","CRC 60,000.00","$14,576.99"
INV-001983,2,2.00,"56,283.19","CRC 41,710.96","$14,572.23"
INV-014753,7,7.00,"31,221.23","CRC 16,651.00","$14,570.23"
INV-013687,8,3.00,"51,017.70","CRC 36,449.72","$14,567.98"
INV-008994,5,5.00,"30,530.97","CRC 15,963.50","$14,567.47"
INV-010230,5,5.00,"30,530.97","CRC 15,963.50","$14,567.47"
INV-014789,5,5.00,"30,530.97","CRC 15,963.50","$14,567.47"
INV-015566,5,5.00,"30,530.97","CRC 15,963.50","$14,567.47"
INV-003900,3,3.00,"28,761.06","CRC 14,205.68","$14,555.38"
INV-005369,3,3.00,"28,761.06","CRC 14,205.68","$14,555.38"
INV-007019,3,3.00,"28,761.06","CRC 14,205.68","$14,555.38"
INV-007829,3,3.00,"28,761.06","CRC 14,205.68","$14,555.38"
INV-017199,2,2.00,"44,452.00","CRC 29,900.00","$14,552.00"
INV-013659,5,5.00,"55,663.71","CRC 41,113.57","$14,550.14"
INV-006702,4,4.00,"55,575.22","CRC 41,027.18","$14,548.04"
INV-016348,2,2.00,"39,292.04","CRC 24,747.74","$14,544.30"
INV-000441,1,1.00,"31,858.41","CRC 17,319.50","$14,538.91"
INV-000779,1,1.00,"31,858.41","CRC 17,319.50","$14,538.91"
INV-005097,3,3.00,"55,752.21","CRC 41,215.31","$14,536.90"
INV-016715,4,4.00,"35,398.23","CRC 20,865.00","$14,533.23"
INV-005304,2,2.00,"23,008.85","CRC 8,481.00","$14,527.85"
INV-006554,2,2.00,"23,008.85","CRC 8,481.00","$14,527.85"
INV-009253,5,2.00,"70,493.98","CRC 55,970.00","$14,523.98"
INV-011322,14,7.00,"63,138.04","CRC 48,616.74","$14,521.30"
INV-001688,2,2.00,"55,752.21","CRC 41,241.41","$14,510.80"
INV-008463,10,2.00,"48,495.58","CRC 34,000.00","$14,495.58"
INV-009545,3,1.00,"71,808.85","CRC 57,320.37","$14,488.48"
INV-002956,7,7.00,"54,336.28","CRC 39,849.86","$14,486.42"
INV-012080,14,6.00,"39,646.03","CRC 25,160.00","$14,486.03"
INV-013430,1,1.00,"65,575.22","CRC 51,092.79","$14,482.43"
INV-003678,6,6.00,"55,221.24","CRC 40,739.44","$14,481.80"
INV-006184,6,6.00,"55,221.24","CRC 40,739.64","$14,481.60"
INV-007166,3,3.00,"55,221.24","CRC 40,739.81","$14,481.43"
INV-001038,11,11.00,"58,230.10","CRC 43,748.73","$14,481.37"
INV-015668,6,6.00,"32,300.89","CRC 17,820.21","$14,480.68"
INV-005050,4,4.00,"56,106.20","CRC 41,642.01","$14,464.19"
INV-006256,1,1.00,"55,663.72","CRC 41,200.00","$14,463.72"
INV-015005,2,2.00,"62,608.85","CRC 48,158.80","$14,450.05"
INV-011853,2,2.00,"22,300.88","CRC 7,854.00","$14,446.88"
INV-015273,2,2.00,"22,300.88","CRC 7,854.00","$14,446.88"
INV-005205,6,6.00,"41,769.91","CRC 27,327.50","$14,442.41"
INV-008173,3,3.00,"65,946.90","CRC 51,505.03","$14,441.87"
INV-005887,2,2.00,"73,437.17","CRC 59,000.00","$14,437.17"
INV-010025,2,2.00,"73,437.17","CRC 59,000.00","$14,437.17"
INV-013240,3,3.00,"55,132.74","CRC 40,700.00","$14,432.74"
INV-015835,1,1.00,"60,084.96","CRC 45,653.71","$14,431.25"
INV-004928,4,2.00,"53,539.82","CRC 39,112.28","$14,427.54"
INV-007105,4,4.00,"34,690.26","CRC 20,263.10","$14,427.16"
INV-010101,12,2.00,"46,283.19","CRC 31,863.68","$14,419.51"
INV-002985,4,1.00,"23,163.72","CRC 8,745.00","$14,418.72"
INV-003627,3,3.00,"20,442.48","CRC 6,028.00","$14,414.48"
INV-011062,6,6.00,"52,212.39","CRC 37,800.00","$14,412.39"
INV-011016,4,4.00,"73,681.42","CRC 59,269.55","$14,411.87"
INV-002538,3,3.00,"29,026.55","CRC 14,615.46","$14,411.09"
INV-008578,2,2.00,"55,309.73","CRC 40,900.00","$14,409.73"
INV-012226,8,1.00,"25,176.99","CRC 10,771.20","$14,405.79"
INV-002899,1,1.00,"55,398.23","CRC 40,994.41","$14,403.82"
INV-000473,7,7.00,"23,451.32","CRC 9,053.00","$14,398.32"
INV-004039,2,2.00,"55,398.24","CRC 41,000.00","$14,398.24"
INV-007353,14,4.00,"32,654.87","CRC 18,256.76","$14,398.11"
INV-000818,4,4.00,"36,548.67","CRC 22,154.15","$14,394.52"
INV-013471,2,2.00,"53,097.34","CRC 38,703.00","$14,394.34"
INV-006706,3,3.00,"53,628.32","CRC 39,239.23","$14,389.09"
INV-004095,1,1.00,"28,584.07","CRC 14,200.00","$14,384.07"
INV-009324,12,2.00,"46,283.19","CRC 31,900.00","$14,383.19"
INV-016469,6,6.00,"35,398.24","CRC 21,017.22","$14,381.02"
INV-010441,6,6.00,"44,513.26","CRC 30,137.71","$14,375.55"
INV-009794,14,7.00,"45,088.49","CRC 30,720.65","$14,367.84"
INV-008880,3,3.00,"47,079.64","CRC 32,712.00","$14,367.64"
INV-015768,4,4.00,"80,761.06","CRC 66,400.00","$14,361.06"
INV-004368,6,6.00,"51,858.41","CRC 37,500.00","$14,358.41"
INV-010043,2,2.00,"35,398.23","CRC 21,046.00","$14,352.23"
INV-000431,4,4.00,"80,530.98","CRC 66,180.00","$14,350.98"
INV-007730,7,7.00,"84,916.81","CRC 70,566.69","$14,350.12"
INV-006484,2,2.00,"44,247.79","CRC 29,900.00","$14,347.79"
INV-007462,2,2.00,"44,247.79","CRC 29,900.00","$14,347.79"
INV-011929,2,2.00,"44,247.79","CRC 29,900.00","$14,347.79"
INV-013260,2,2.00,"44,247.79","CRC 29,900.00","$14,347.79"
INV-006362,2,2.00,"54,867.26","CRC 40,520.00","$14,347.26"
INV-013286,2,2.00,"54,867.26","CRC 40,520.00","$14,347.26"
INV-015637,9,9.00,"46,488.50","CRC 32,142.00","$14,346.50"
INV-002561,3,3.00,"64,482.30","CRC 50,142.60","$14,339.70"
INV-002627,2,2.00,"55,221.24","CRC 40,888.22","$14,333.02"
INV-013776,1,1.00,"55,132.74","CRC 40,801.87","$14,330.87"
INV-003221,13,1.00,"21,150.44","CRC 6,820.00","$14,330.44"
INV-012102,6,1.00,"63,672.56","CRC 49,342.77","$14,329.79"
INV-016927,1,1.00,"20,354.00","CRC 6,030.41","$14,323.59"
INV-006104,2,2.00,"51,150.44","CRC 36,829.20","$14,321.24"
INV-006721,1,1.00,"55,132.74","CRC 40,815.01","$14,317.73"
INV-016159,4,4.00,"26,814.16","CRC 12,506.00","$14,308.16"
INV-003997,4,4.00,"35,398.24","CRC 21,093.00","$14,305.24"
INV-002770,2,2.00,"53,721.24","CRC 39,416.88","$14,304.36"
INV-008059,2,2.00,"46,569.91","CRC 32,269.64","$14,300.27"
INV-014679,2,2.00,"46,569.91","CRC 32,269.64","$14,300.27"
INV-002962,2,2.00,"54,690.27","CRC 40,394.86","$14,295.41"
INV-005014,2,2.00,"54,690.27","CRC 40,394.86","$14,295.41"
INV-002426,4,4.00,"56,725.66","CRC 42,433.17","$14,292.49"
INV-012587,4,4.00,"53,734.51","CRC 39,443.50","$14,291.01"
INV-009211,3,3.00,"75,982.30","CRC 61,702.50","$14,279.80"
INV-012985,2,2.00,"51,327.44","CRC 37,048.90","$14,278.54"
INV-004500,4,4.00,"56,194.69","CRC 41,916.76","$14,277.93"
INV-004640,4,4.00,"43,716.82","CRC 29,439.30","$14,277.52"
INV-015737,2,2.00,"42,743.36","CRC 28,469.17","$14,274.19"
INV-006564,2,2.00,"22,477.87","CRC 8,206.00","$14,271.87"
INV-000955,2,2.00,"23,362.83","CRC 9,097.00","$14,265.83"
INV-009155,1,1.00,"23,008.85","CRC 8,745.00","$14,263.85"
INV-014637,3,3.00,"54,690.27","CRC 40,428.37","$14,261.90"
INV-004300,2,2.00,"54,690.26","CRC 40,441.47","$14,248.79"
INV-002505,2,2.00,"54,690.27","CRC 40,441.80","$14,248.47"
INV-008425,4,4.00,"54,247.79","CRC 40,000.38","$14,247.41"
INV-011519,1,1.00,"47,221.24","CRC 32,974.07","$14,247.17"
INV-017144,1,1.00,"34,195.00","CRC 19,950.00","$14,245.00"
INV-017150,1,1.00,"34,195.00","CRC 19,950.00","$14,245.00"
INV-014985,6,6.00,"47,433.63","CRC 33,189.20","$14,244.43"
INV-012879,1,1.00,"40,530.97","CRC 26,287.06","$14,243.91"
INV-011930,2,2.00,"19,115.04","CRC 4,895.00","$14,220.04"
INV-008631,1,1.00,"23,008.85","CRC 8,792.49","$14,216.36"
INV-012919,1,1.00,"23,008.85","CRC 8,792.49","$14,216.36"
INV-014772,1,1.00,"23,008.85","CRC 8,792.49","$14,216.36"
INV-015793,1,1.00,"23,008.85","CRC 8,792.49","$14,216.36"
INV-013228,1,1.00,"55,389.38","CRC 41,183.07","$14,206.31"
INV-003196,24,1.00,"34,203.54","CRC 20,000.00","$14,203.54"
INV-001960,6,6.00,"92,035.39","CRC 77,833.77","$14,201.62"
INV-003224,6,6.00,"53,805.31","CRC 39,610.00","$14,195.31"
INV-005285,4,4.00,"26,637.17","CRC 12,447.28","$14,189.89"
INV-004558,2,2.00,"25,309.73","CRC 11,120.00","$14,189.73"
INV-005970,1,1.00,"22,477.88","CRC 8,294.00","$14,183.88"
INV-006880,1,1.00,"22,477.88","CRC 8,294.00","$14,183.88"
INV-008133,1,1.00,"22,477.88","CRC 8,294.00","$14,183.88"
INV-008189,1,1.00,"22,477.88","CRC 8,294.00","$14,183.88"
INV-010238,1,1.00,"22,477.88","CRC 8,294.00","$14,183.88"
INV-014422,1,1.00,"22,477.88","CRC 8,294.00","$14,183.88"
INV-015900,1,1.00,"22,477.88","CRC 8,294.00","$14,183.88"
INV-002461,3,3.00,"35,646.02","CRC 21,465.07","$14,180.95"
INV-016078,2,2.00,"44,070.80","CRC 29,900.00","$14,170.80"
INV-000551,8,8.00,"66,017.71","CRC 51,850.47","$14,167.24"
INV-006347,2,2.00,"52,566.37","CRC 38,400.00","$14,166.37"
INV-012214,2,2.00,"54,159.29","CRC 39,998.00","$14,161.29"
INV-000399,6,5.00,"27,212.38","CRC 13,051.50","$14,160.88"
INV-005989,2,2.00,"54,159.29","CRC 39,998.78","$14,160.51"
INV-007174,2,2.00,"54,159.30","CRC 40,000.00","$14,159.30"
INV-007229,2,2.00,"54,159.30","CRC 40,000.00","$14,159.30"
INV-002018,8,2.00,"22,035.40","CRC 7,887.00","$14,148.40"
INV-004890,2,2.00,"46,725.66","CRC 32,578.98","$14,146.68"
INV-009237,3,1.00,"52,566.37","CRC 38,420.00","$14,146.37"
INV-004352,3,3.00,"53,982.30","CRC 39,841.64","$14,140.66"
INV-014933,3,3.00,"23,097.35","CRC 8,959.50","$14,137.85"
INV-010417,11,11.00,"66,191.15","CRC 52,060.40","$14,130.75"
INV-002565,2,2.00,"64,061.95","CRC 49,931.40","$14,130.55"
INV-008095,11,3.00,"38,761.07","CRC 24,645.00","$14,116.07"
INV-016063,2,2.00,"49,175.22","CRC 35,066.80","$14,108.42"
INV-007102,3,3.00,"44,601.77","CRC 30,494.46","$14,107.31"
INV-009376,2,2.00,"22,300.88","CRC 8,195.00","$14,105.88"
INV-010224,2,2.00,"22,300.88","CRC 8,195.00","$14,105.88"
INV-017403,2,2.00,"22,300.00","CRC 8,195.00","$14,105.00"
INV-007306,4,4.00,"25,221.25","CRC 11,130.00","$14,091.25"
INV-005439,2,2.00,"64,969.91","CRC 50,879.52","$14,090.39"
INV-007757,2,2.00,"64,969.91","CRC 50,879.52","$14,090.39"
INV-016644,2,2.00,"25,964.60","CRC 11,878.19","$14,086.41"
INV-010514,2,2.00,"23,876.11","CRC 9,790.00","$14,086.11"
INV-001721,2,2.00,"53,982.30","CRC 39,900.00","$14,082.30"
INV-005169,2,2.00,"53,982.30","CRC 39,900.00","$14,082.30"
INV-006401,2,2.00,"53,982.30","CRC 39,900.00","$14,082.30"
INV-007122,2,2.00,"53,982.30","CRC 39,900.00","$14,082.30"
INV-009383,2,2.00,"53,982.30","CRC 39,900.00","$14,082.30"
INV-012661,2,2.00,"53,982.30","CRC 39,900.00","$14,082.30"
INV-012854,2,2.00,"53,982.30","CRC 39,900.00","$14,082.30"
INV-014886,2,2.00,"53,982.30","CRC 39,900.00","$14,082.30"
INV-012805,1,1.00,"63,641.59","CRC 49,559.42","$14,082.17"
INV-004163,2,2.00,"53,982.30","CRC 39,902.00","$14,080.30"
INV-005544,3,3.00,"56,814.15","CRC 42,735.79","$14,078.36"
INV-016431,4,4.00,"37,776.98","CRC 23,706.00","$14,070.98"
INV-005044,2,2.00,"21,946.90","CRC 7,876.00","$14,070.90"
INV-005027,1,1.00,"54,070.80","CRC 40,000.00","$14,070.80"
INV-014486,11,1.00,"34,070.80","CRC 20,000.00","$14,070.80"
INV-017353,3,3.00,"25,132.75","CRC 11,064.24","$14,068.51"
INV-016285,2,2.00,"35,840.71","CRC 21,787.50","$14,053.21"
INV-006483,1,1.00,"48,584.07","CRC 34,542.93","$14,041.14"
INV-011250,5,1.00,"67,005.31","CRC 52,965.06","$14,040.25"
INV-009268,2,2.00,"48,672.57","CRC 34,633.32","$14,039.25"
INV-016042,1,1.00,"61,631.86","CRC 47,595.66","$14,036.20"
INV-017133,1,1.00,"39,027.00","CRC 25,000.00","$14,027.00"
INV-010597,4,2.00,"51,946.90","CRC 37,927.14","$14,019.76"
INV-013569,13,1.00,"34,017.69","CRC 20,000.00","$14,017.69"
INV-002025,1,1.00,"28,318.58","CRC 14,311.00","$14,007.58"
INV-012748,5,5.00,"30,286.73","CRC 16,284.00","$14,002.73"
INV-012599,1,1.00,"40,530.97","CRC 26,529.20","$14,001.77"
INV-016774,2,2.00,"24,336.28","CRC 10,337.64","$13,998.64"
INV-004385,1,1.00,"54,000.00","CRC 40,004.00","$13,996.00"
INV-004174,1,1.00,"53,893.81","CRC 39,900.00","$13,993.81"
INV-006513,3,3.00,"71,238.94","CRC 57,245.84","$13,993.10"
INV-013107,10,10.00,"52,920.36","CRC 38,927.64","$13,992.72"
INV-010218,1,1.00,"51,946.90","CRC 37,968.11","$13,978.79"
INV-016621,2,2.00,"30,973.46","CRC 17,000.00","$13,973.46"
INV-013276,1,1.00,"30,973.45","CRC 17,000.00","$13,973.45"
INV-009592,1,1.00,"19,911.50","CRC 5,940.00","$13,971.50"
INV-006911,3,3.00,"53,539.82","CRC 39,571.68","$13,968.14"
INV-006915,3,3.00,"53,539.82","CRC 39,571.68","$13,968.14"
INV-003876,9,9.00,"59,292.04","CRC 45,325.18","$13,966.86"
INV-014393,2,2.00,"45,663.72","CRC 31,698.84","$13,964.88"
INV-006641,10,3.00,"47,212.38","CRC 33,250.18","$13,962.20"
INV-003266,3,3.00,"63,305.31","CRC 49,346.52","$13,958.79"
INV-013624,5,5.00,"69,366.37","CRC 55,408.85","$13,957.52"
INV-009828,7,7.00,"70,669.02","CRC 56,712.00","$13,957.02"
INV-015475,5,5.00,"56,628.31","CRC 42,671.59","$13,956.72"
INV-005629,1,1.00,"20,088.50","CRC 6,132.50","$13,956.00"
INV-014308,4,4.00,"50,315.04","CRC 36,359.30","$13,955.74"
INV-009806,2,2.00,"69,854.87","CRC 55,900.00","$13,954.87"
INV-016065,2,2.00,"51,451.32","CRC 37,500.00","$13,951.32"
INV-006408,2,2.00,"47,964.60","CRC 34,015.30","$13,949.30"
INV-016120,3,3.00,"29,823.01","CRC 15,874.81","$13,948.20"
INV-011573,3,3.00,"44,283.18","CRC 30,344.20","$13,938.98"
INV-007037,4,4.00,"54,336.28","CRC 40,399.59","$13,936.69"
INV-016048,2,2.00,"35,929.21","CRC 22,000.00","$13,929.21"
INV-011564,2,2.00,"53,628.32","CRC 39,700.00","$13,928.32"
INV-011449,2,2.00,"53,274.34","CRC 39,348.46","$13,925.88"
INV-008874,5,2.00,"31,902.83","CRC 17,978.33","$13,924.50"
INV-010500,2,2.00,"43,801.77","CRC 29,877.29","$13,924.48"
INV-012527,7,2.00,"36,946.91","CRC 23,023.00","$13,923.91"
INV-014111,9,2.00,"47,123.90","CRC 33,206.40","$13,917.50"
INV-002220,2,2.00,"53,628.32","CRC 39,714.00","$13,914.32"
INV-013245,2,2.00,"77,893.80","CRC 63,981.38","$13,912.42"
INV-011793,6,2.00,"49,911.51","CRC 36,000.00","$13,911.51"
INV-010504,8,8.00,"45,023.00","CRC 31,115.26","$13,907.74"
INV-006080,8,3.00,"56,858.40","CRC 42,951.16","$13,907.24"
INV-005996,2,2.00,"24,099.12","CRC 10,197.00","$13,902.12"
INV-009304,3,3.00,"53,185.84","CRC 39,290.00","$13,895.84"
INV-016252,1,1.00,"48,523.89","CRC 34,630.00","$13,893.89"
INV-017371,8,8.00,"33,218.00","CRC 19,325.00","$13,893.00"
INV-013769,1,1.00,"22,123.89","CRC 8,232.80","$13,891.09"
INV-017443,3,3.00,"39,292.04","CRC 25,401.68","$13,890.36"
INV-000772,8,8.00,"96,637.16","CRC 82,755.88","$13,881.28"
INV-006614,5,5.00,"49,734.51","CRC 35,853.94","$13,880.57"
INV-005817,6,2.00,"49,557.52","CRC 35,679.12","$13,878.40"
INV-001720,25,25.00,"95,575.23","CRC 81,698.76","$13,876.47"
INV-004109,7,7.00,"49,026.55","CRC 35,156.75","$13,869.80"
INV-013247,11,3.00,"25,309.74","CRC 11,450.00","$13,859.74"
INV-010453,8,8.00,"35,575.22","CRC 21,715.51","$13,859.71"
