SKU,Product_ID,Sales_24M_Qty,Sales_24M_Net,Avg_Demand_Used,Avg_Demand_6M,Outstanding_Qty,Last_Purchase_Date,Last_Purchase_Price,On_Hand_Qty,On_Hand_Source,Coverage_Months,On_Hand_Value_LastCost,Reorder_Eligibility,Reorder_Flag,Stock_Shortfall,Months_Short
,4198696000004770237,1,6371.68,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014530315,1,11327.43,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000004141755,1,21061.95,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000011411194,1,10502.65,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014287004,1,32389.38,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000033327298,2,7734,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000011625004,1,5663.72,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000005533300,7,2168.14,7,,,,,,,,,ELIGIBLE,1,7,1
,4198696000010853227,1,43274.34,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000018167409,1,6849.56,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000023984235,1,11327.43,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000008128667,1,16371.68,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014440266,1,69380.53,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000004435901,1,10000,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000019284461,2,18584.07,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000027288058,2,46017.7,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000014271116,1,32389.38,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000012839057,1,265.49,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000028953685,1,10000,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000016736191,2,46548.67,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000006802371,1,2212.39,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000006271088,1,16460.18,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014501922,1,37433.63,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000032008010,1,5575.22,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000029002951,1,3805.31,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000025491437,2,6676.11,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000009957066,1,14424.78,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000013379182,1,4070.8,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000019521120,1,7490.27,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000012040174,1,6269.03,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000010390805,1,1858.41,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000018238879,1,17097.35,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000025949511,2,2654.87,2,,,,,,,,,ELIGIBLE,1,2,1
