,,Type
2024 12,988,Actual
2025 01,999,Actual
2025 02,901,Actual
2025 03,1013,Actual
2025 04,861,Actual
2025 05,845,Actual
2025 06,922,Actual
2025 07,1052,Actual
2025 08,1013,Actual
2025 09,1095,Actual
2025 10,1061,Actual
2025 11,1044,Forecast
2025 12,1055,Forecast
2026 01,1066,Forecast
2026 02,1077,Forecast
2026 03,1089,Forecast
