Item Name,Quantity,Sales Value,Avg Price
39330-26300 MATRIX 39330-26301 AS196 39300-38110 MAP HYUN MAP ACCENT 00- 11 ELAN,1.00,"27,079.65","27,079.65"
43X54X11 JUEGO RET TUBON MOT VARIOS 789,1.00,"4,867.26","4,867.26"
46517-39500 SC330SC224SC360SANTA FE 01-06 SONATA 06-07 KIA SEDOMA 02- 10 ZA,1.00,"28,318.58","28,318.58"
47901-EB70A CAFÉ TRACERO LH FRONTI,1.00,"31,345.13","31,345.13"
48068-60010 TIJ.SUS. RH INF /48068-60010 TIJ.SUS. RH INF / TOY-LAND CRUISER-PRADO 03-09 /M.366X446 TOY-LAND CRUISER-PRADO 03-09 /M.366X446,1.00,"51,327.43","51,327.43"
48069-60010 TIJ.SUS. LH INF / TOY-LAND CRUISER-PRADO 03-09 /M.366X446,1.00,"51,327.43","51,327.43"
"48521-50Y25 ROT. CREMA. NIS. SENTRA. 90/99, B13/B14, D/MECA, V/JAPON, R/FINA, SR-4740, 16X12X289",3.00,"17,256.63","8,628.32"
"48630-60020 TIJ.SUS. LH SUP / TOY- LAND CRUISER-PRADO 03-20 /M.198X310,5",2.00,"41,681.41","20,840.70"
4912906039900--ROTULA SUSP.INF NISSAN PLATINA 02-10/RENAULT CLIO 02-10,4.00,"48,672.57","24,336.28"
5 PIN HYUNDAY KIA DIESEL 2005- 2.5 2.0 PORTER,2.00,"171,858.41","85,929.20"
51350-SWN-H00 TIJ.SUS. RH INF / HONDA-CR-V 4X2-4X4 07-11,2.00,"61,946.90","30,973.45"
51350-T1W-E12 TIJ.SUS. RH INF / HONDA-CR-V 4X2-4X4 12-19,2.00,"90,964.60","45,482.30"
51360-SWN-H00 TIJ.SUS. LH INF / HONDA-CR-V 4X2-4X4 07-11,2.00,"61,946.90","30,973.45"
51360-T1W-E12 TIJ.SUS. LH INF / HONDA-CR-V 4X2-4X4 12-19,1.00,"46,407.08","46,407.08"
54420-3E000 TIJ.SUS. RH SUP / KIA- SORENTO 4X2-4X4 02-08 /M.210X333 (COMPLETA CON ROTULA),1.00,"26,548.67","26,548.67"
