Item ID,Product ID,Item Name,Quantity,Sub Total (BCY),Total (BCY),Sales order ID,Project ID,Last Modified Time,Created Time
4198696000001487047,4198696000001039942,"TIJERETA INFERIOR RH HYUNDAI TUCSON 2,0/2,7 V6 SUV 4X4 2005",1.00,"CRC 20,176.99","CRC 19,168.14",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
4198696000001283006,4198696000001057338,SOPORTE MOTOR RH NISSAN SENTRA 1.8/2.0 2000-2006 // NISSAN ALMERA 1.8 2000-2006 // RENAULT SCALA 1.6 2011-2013,1.00,"CRC 9,292.04","CRC 9,292.04",4198696000001283001,,2023-11-17 15:50:14,2023-11-17 14:58:38
4198696000001283070,4198696000001057338,SOPORTE MOTOR RH NISSAN SENTRA 1.8/2.0 2000-2006 // NISSAN ALMERA 1.8 2000-2006 // RENAULT SCALA 1.6 2011-2013,1.00,"CRC 9,292.04","CRC 9,292.04",4198696000001283065,,2023-11-17 15:15:05,2023-11-17 15:08:27
4198696000001068006,4198696000001057338,SOPORTE MOTOR RH NISSAN SENTRA 1.8/2.0 2000-2006 // NISSAN ALMERA 1.8 2000-2006 // RENAULT SCALA 1.6 2011-2013,1.00,"CRC 9,734.51","CRC 9,734.51",4198696000001068001,,2023-11-17 13:04:04,2023-11-07 12:26:50
4198696000001089402,4198696000001057513,SOPORTE MOTOR DELANTERO HYUNDAI ACCENT 1.5/1.6 2000-2003,1.00,"CRC 8,495.58","CRC 8,495.58",4198696000001089395,,2023-11-17 13:04:27,2023-11-08 12:33:57
4198696000001089404,4198696000001057652,TIJERETA LH HYUNDAI ACCENT 2000-2005,1.00,"CRC 25,486.73","CRC 25,486.73",4198696000001089395,,2023-11-17 13:04:27,2023-11-08 12:33:57
4198696000001089406,4198696000001057791,TIJERETA RH HYUNDAI ACCENT 2000-2006,1.00,"CRC 25,486.73","CRC 25,486.73",4198696000001089395,,2023-11-17 13:04:27,2023-11-08 12:33:57
4198696000001089408,4198696000001057930,BOCINA TRASERA HYUNDAI ACCENT 00-2005,1.00,"CRC 18,318.58","CRC 18,318.58",4198696000001089395,,2023-11-17 13:04:27,2023-11-08 12:33:57
4198696000001089410,4198696000001085209,TAMBOR TRASERO HYUNDAI ACCENT 2000-2005,2.00,"CRC 31,504.42","CRC 31,504.42",4198696000001089395,,2023-11-17 13:04:27,2023-11-08 12:33:57
4198696000001201282,4198696000001197109,ROTULA DIRECCION CREMALLERA TOYOTA PRADO 09- 24X16X278 SRT400,2.00,"CRC 13,451.33","CRC 13,451.33",4198696000001201277,,2023-11-21 09:27:07,2023-11-15 10:07:44
4198696000001201284,4198696000001197118,ROTULA DIRECCION EXTERNA TOYOTA PRADO 09- SET401,2.00,"CRC 14,159.29","CRC 14,159.29",4198696000001201277,,2023-11-21 09:27:07,2023-11-15 10:07:44
4198696000001201505,4198696000001197223,TENSOR FAJA UNICA AVEO 1.5/1.6/OPTRA1.6 (VERSIO AMERICANA-PEQUEÑO),1.00,"CRC 17,433.63","CRC 17,433.63",4198696000001201500,,2023-11-21 09:26:54,2023-11-15 13:25:30
4198696000001243095,4198696000001223001,ROL DEL. NISSAN SENTRA B13 Y B14 38X74X33 514002,1.00,"CRC 8,584.07","CRC 8,584.07",4198696000001243086,,2023-11-17 09:58:35,2023-11-16 17:24:09
4198696000001243093,4198696000001223010,RETENEDOR  NJ133 RUEDA DELANTERA NISSAN B13,1.00,"CRC 2,035.40","CRC 2,035.40",4198696000001243086,,2023-11-17 09:58:35,2023-11-16 17:24:09
4198696000001243091,4198696000001223019,RETENEDOR NJ132 RUEDA DELANTERA INTERNO NISSAN B13,1.00,"CRC 1,415.93","CRC 1,415.93",4198696000001243086,,2023-11-17 09:58:35,2023-11-16 17:24:09
