Item Name,Count,Amount,Invoice Overdue Count,Invoice Overdue Amount
"""ROLL BOC DEL NS MICRA NOTE ALMERA MARCH KICKS RENAULD OPEL""",1,"CRC 58,700.00",0.00,0.00
"""ROLL BOC DEL SZ SWIFT 06-5T""",1,"CRC 51,888.00",0.00,0.00
"""ROLL BOC DEL TY TERCEL EL40 EL50 91-98""",1,"CRC 16,200.00",0.00,0.00
"""ROLL BOC TRAS MB LANCER 00-""",1,"CRC 29,300.00",0.00,0.00
"""ROT. CREMA. RH/LH. SUZ. SX4. 06/14, SR-7640L, R/FINA = 79J00, 16X14X351""",1,"CRC 17,600.00",0.00,0.00
"""ROT. CREMA. TOY. COROLLA. 88/92, AE90/EE90, D/H,SR-2650, SR-2800,SR-2801= 19036,14X14X337 """,1,"CRC 28,520.00",0.00,0.00
"""ROT. CREMA. TOY. YARIS,ECHO,99/05, V/ USA,DAIH.SIRION.00/13, SR-3401,SR-3600,SR-T850, 14X12X255.5""",1,"CRC 24,840.00",0.00,0.00
"""ROT. DIR. EXT. LH. HYU. ACCENT BLUE, KIA RIO. 11/17, I20. 14/20, CEKH-46L, SEK-8591L, 56820-1W000""",5,"CRC 474,000.00",0.00,0.00
"""ROT. DIR. EXT. LH. NIS. SENTRA. 07/12, B16, SE-N291L= D8640-ET00A""",1,"CRC 15,200.00",0.00,0.00
"""ROT. ESTAB. DEL. LH. KIA PICANTO. 04/10, HYU. I10. 08/ CLKK-21L,CL0-337= 0X500,TIPO Z. 257X10""",1,"CRC 73,400.00",0.00,0.00
"""ROT. ESTAB. DEL. LH. NIS. X-TRAIL, X-TERRA. 00/13, SL-4910L, CLN-23,TIPO C. 95X12""",1,"CRC 8,550.00",0.00,0.00
"""ROT. ESTAB. DEL. RH. KIA PICANTO. 03/10, HYU. I10. 10/16, CLKK-21R,TIPO Z. 257X10""",1,"CRC 73,400.00",0.00,0.00
"""ROT. ESTAB. DEL. RH. NIS. X-TRAIL, X-TERRA. 03/13, SL-4910R,TIPO C. 95X12""",1,"CRC 7,000.00",0.00,0.00
"""ROT. ESTAB. DEL. RH/LH. CHEV. SPARK GT. 13/16, BEAT LTZ. 2018, CLKD-17. TIPO Z. 262X10""",2,"CRC 66,752.00",0.00,0.00
"""ROT. ESTAB. DEL. RH/LH. HYU. TUCSON, KIA SPORTAGE. 04/10, 4X2, CLKH-23,CLKH-29, SLK-8040,TIPO Z. 273X12=1F000""",1,"CRC 33,200.00",0.00,0.00
"""ROT. ESTAB. TRAS. RH/LH. MAZ. 3, 5. 03/17, TIPO L. 117.5X10, DOBLE ROTULA""",1,"CRC 26,400.00",0.00,0.00
"""ROT. SUSP. SUP. RH/LH. HON. ACCORD. 86/89, CIVIC. 91/99, ODYSSEY. 99/03, SB-6191 = 51270-SR3-013 ,023 ,35.4MM""",1,"CRC 81,960.00",0.00,0.00
"""ROT. SUSP. SUP. RH/LH. HYU. H100, GRACE, STAREX, PORTER, MIT. L300, SB-7761, SB-7311, CBKH-9, 3T, MR-241623,54417-4300,M""",1,"CRC 203,900.00",0.00,0.00
"""ROTULA ESTAB SZ CARRY 99- DEL SL-7680""",1,"CRC 230,500.00",0.00,0.00
"""Rol de bocina Del HY Accent 98/05 Elantra 96-00 I10//06-10/Accent Blue/ Elantra 06-10 / Picanto /38X70X37 (WBB387037) Imán en la punta de eje KING STEEL""",1,"CRC 252,500.00",0.00,0.00
"""Sop-Mot-Tras-Hyundai-Getz-02-11-G4EE- G4ED""",1,"CRC 34,000.00",0.00,0.00
"""Sop-Mot-Tras-Nissan-Xtrail-T32-12-18- Rogue-13-20-QR25""",1,"CRC 18,500.00",0.00,0.00
"""TIJERETA CH TRAX 12-21 DEL INF LH""",1,"CRC 66,000.00",0.00,0.00
"(G) FIL A/C MIT L200 MONTERO SOPRT 2006-",1,"CRC 2,800.00",0.00,0.00
"(G) FIL A/C SAF-L-5700 CF10709 CAF1820P TUCSON ACCENT BLUE I40 RIO SPORTAGE",4,"CRC 64,500.00",0.00,0.00
"(G) FIL A/C SCA-Q-524 HYUNDAI I10 07-20 1.0/1/2 KIA PICANTO 03-17 1.0/1/2",1,"CRC 75,500.00",0.00,0.00
"(G) FIL AC AVEO OPTRA SPARK 06-13 (25181616) PH2873 | 4391501009900",1,"CRC 1,200.00",0.00,0.00
"(G) FIL AC ELEM SOF-7-2408 P967 CH9972 TOY RAV4 13-18 2.5",1,"CRC 16,900.00",0.00,0.00
"(G) FIL AC PH2808 HYUNDAI MITSUBICHI HONDA  50",4,"CRC 198,295.00",0.00,0.00
"(G) FIL AC SOF-X-2190 PH2876 PH6607 KIA MAZDA MITSUBISHI HYUNDAI HONDA 50",1,"CRC 75,500.00",0.00,0.00
"(G) FIL AC SOF-Z-1207 PH2867 PH7317 NISSAN  MITSUBICHI MAZDA  50",1,"CRC 39,235.00",0.00,0.00
"(G) FIL AC. CITROEN 00- 1,6  MAZDA 2 SUZUKI SX4 06-15 PEUGEOT 05- FME-157",1,"CRC 8,950.00",0.00,0.00
"(G) FIL ACC RAV-4 18- 2.0 PRIUS HILUX 2KD 15- 2.0 2.4 2.5 2.7 2.8 3.0 FORTUNER",1,"CRC 2,200.00",0.00,0.00
"(G) FIL AI ACC SUZUKI IGNIS 16- 1.2 SWIFT 10-17 10- 1.4  11-  1.6",1,"CRC 17,005.00",0.00,0.00
"(G) FIL AI HY STAREX 2.5 H1 PICK-UP LIBERO 01- 06",1,"CRC 3,700.00",0.00,0.00
"(G) FIL AI HYUN ACCENT 2000-05  1.6 FMA-3125",1,"CRC 328,098.00",0.00,0.00
"(G) FIL AI HYUN BLUE RIO 11-SOUL 11-FMA-3186",1,"CRC 2,500.00",0.00,0.00
