"Month","Count","AgeMonths"
"2024-01","22","23"
"2024-10","5","13"
"2025-10","44","1"
"2024-11","1","12"
"2025-11","67","0"
"2024-12","1","11"
"2024-02","1","22"
"2024-03","5","21"
"2024-04","3","20"
"2025-04","34","7"
"2024-05","2","18"
"2025-05","29","6"
"2024-06","2","17"
"2025-06","12","5"
"2024-07","7","16"
"2025-07","11","4"
"2024-08","4","15"
"2025-08","55","3"
"2024-09","4","14"
"2025-09","22","2"
