SKU,b.Product_ID,s.Sales_24M_Qty,s.Sales_24M_Net,a.Avg_Demand_6M,o.Outstanding_Qty,lp.Last_Purchase_Date,lp.Last_Purchase_Price
510-1053,4198696000017111878,,,0.8333333333333334,,,55948.52
509-0244,4198696000019847784,,,0.3333333333333333,,,15687.52
800-3819,4198696000027244040,,,0.3333333333333333,,,15229.91
800-4065,4198696000028958118,,,0.3333333333333333,,,24190.14
800-4176,4198696000029801517,,,0.16666666666666666,,,3300
800-4545,4198696000033545151,,,0.16666666666666666,,,17600
106-27,4198696000000602536,,,5.166666666666667,,,3680.18
509-3513,4198696000000865765,,,0.16666666666666666,,,17552.899999999998
529-026,4198696000002572887,,,0.5,,,20000
524-0049,4198696000001406498,,,1,,,2100
521-0001,4198696000001613501,,,0.16666666666666666,,,10970.36
509-2507,4198696000000864352,,,0.16666666666666666,,,6381.69
533-008,4198696000003142001,,,0.6666666666666666,,,31950
800-1549,4198696000008702026,,,0.8333333333333334,,,36900
800-698,4198696000004993328,,,0.6666666666666666,,,5559
533-098,4198696000012301300,,,0.3333333333333333,,,29950
510-1031,4198696000012887369,,,1.6666666666666667,,,85189.9
800-3725,4198696000026460782,,,0.3333333333333333,,,17503.58
800-3770,4198696000026763097,,,0.16666666666666666,,,70000
41-57,4198696000000138439,,,0.16666666666666666,,,4466
127-1026,4198696000001089298,,,1.3333333333333333,,,263.45
524-0080,4198696000001406777,,,0.3333333333333333,,,4500
72-1031,4198696000000679141,,,0.16666666666666666,,,3606.78
509-0207,4198696000003844629,,,0.16666666666666666,,,9549.49
106-2017,4198696000006545516,,,0.8333333333333334,,,20764.4
505-034,4198696000007024001,,,1.8333333333333333,,,898
510-1002,4198696000011326133,,,0.5,,,68566.3
72-3271,4198696000015864047,,,0.6666666666666666,,,4400
72-3138,4198696000011274319,,,0.3333333333333333,,,4420
800-3249,4198696000022953441,,,0.16666666666666666,,,2500
517-1124,4198696000018863774,,,0.16666666666666666,,,18562.5
800-3969,4198696000028303125,,,0.16666666666666666,,,60000
800-3901,4198696000027915518,,,0.16666666666666666,,,12800
800-4338,4198696000031250220,,,0.16666666666666666,,,36000
800-4170,4198696000029447915,,,0.16666666666666666,,,25000
800-4214,4198696000030101001,,,0.3333333333333333,,,22300
800-4548,4198696000033549839,,,0.16666666666666666,,,25060
130-012,4198696000000899394,,,0.6666666666666666,,,2650.8900000000003
519-0027,4198696000001610072,,,0.3333333333333333,,,7551.6
72-3171,4198696000021263651,,,0.3333333333333333,,,3605
106-2041,4198696000018668417,,,1.1666666666666667,,,5234.8
800-3596,4198696000025591715,,,0.16666666666666666,,,28955.29
800-3467,4198696000024415541,,,0.16666666666666666,,,15282.67
800-4298,4198696000031051657,,,0.16666666666666666,,,42400
517-1047,4198696000011594463,,,0.16666666666666666,,,15493.4
800-3878,4198696000027754439,,,0.16666666666666666,,,16603.2
524-0549,4198696000001407920,,,0.16666666666666666,,,6990
86-106,4198696000000139861,,,2,,,121
13-507,4198696000004629677,,,0.16666666666666666,,,1925
72-500,4198696000007811696,,,1.1666666666666667,,,1133
72-5002,4198696000010251656,,,0.6666666666666666,,,6290
72-3068,4198696000006632049,,,1.8333333333333333,,,5388
509-1007,4198696000000863245,,,0.6666666666666666,,,10870.73
376-3017,4198696000010346257,,,0.8333333333333334,,,3564.4
529-096,4198696000004045222,,,0.3333333333333333,,,17000
528-0081,4198696000001613141,,,0.16666666666666666,,,9353.75
509-1066,4198696000013360843,,,0.6666666666666666,,,15586.38
800-4086,4198696000029035040,,,0.16666666666666666,,,8000
800-3415,4198696000024053240,,,0.16666666666666666,,,59990
800-4271,4198696000030710522,,,0.16666666666666666,,,20000
800-4201,4198696000029995212,,,0.16666666666666666,,,8609.29
800-1756,4198696000009895807,,,0.3333333333333333,,,46000
72-3195,4198696000016994320,,,0.16666666666666666,,,6590
800-4067,4198696000028979002,,,0.16666666666666666,,,63920
533-068,4198696000011063647,,,0.3333333333333333,,,19950
800-4020,4198696000028567226,,,0.16666666666666666,,,9975
509-0084,4198696000000861463,,,0.16666666666666666,,,10829.98
46-2004,4198696000004421529,,,0.3333333333333333,,,4801.5
800-3774,4198696000026763774,,,0.16666666666666666,,,15000
800-3862,4198696000027402687,,,0.5,,,51342.35
518-0610,4198696000001612502,,,0.3333333333333333,,,30764.56
343-27,4198696000020417520,,,1.1666666666666667,,,1385.6933333333334
800-3983,4198696000028336710,,,0.16666666666666666,,,6948.42
800-3241,4198696000022933561,,,0.16666666666666666,,,7657.2
512-1031,4198696000021247550,,,0.16666666666666666,,,10950
21-1000,4198696000000678538,,,0.3333333333333333,,,6021.85
376-110,4198696000000678187,,,0.16666666666666666,,,1310.63
800-3944,4198696000028098832,,,0.16666666666666666,,,12300
259-1006,4198696000004629453,,,0.16666666666666666,,,2271.5
106-2014,4198696000006545489,,,0.5,,,5179.6
505-038,4198696000012057184,,,0.16666666666666666,,,725
351-2043,4198696000015465327,,,0.16666666666666666,,,15576
800-3195,4198696000022597273,,,0.3333333333333333,,,14460
800-4262,4198696000030366156,,,0.16666666666666666,,,18000
509-0503,4198696000000862543,,,0.3333333333333333,,,7722.160000000001
510-1050,4198696000016322488,,,0.6666666666666666,,,49353.76
3-129,4198696000000670650,,,0.3333333333333333,,,1652.82
800-213,4198696000002921171,,,0.3333333333333333,,,12267.26
800-3836,4198696000027363552,,,0.16666666666666666,,,36580
800-3327,4198696000023465306,,,0.16666666666666666,,,18150
800-4505,4198696000033252090,,,0.16666666666666666,,,18934.63
254-501,4198696000007811399,,,0.16666666666666666,,,445.5
522-0177,4198696000001614428,,,0.16666666666666666,,,31013.18
44-1139,4198696000015314494,,,0.5,,,995
509-2574,4198696000000864955,,,0.6666666666666666,,,6447.5599999999995
509-0181,4198696000000862336,,,0.16666666666666666,,,10298.15
533-107,4198696000012887042,,,0.3333333333333333,,,15500
800-3399,4198696000023852087,,,0.3333333333333333,,,10293
72-1038,4198696000000679204,,,0.16666666666666666,,,3428.78
800-3628,4198696000025832786,,,0.16666666666666666,,,3500
519-0019,4198696000001610261,,,0.5,,,9140.4
509-3023,4198696000000866197,,,0.16666666666666666,,,7912.6
800-4100,4198696000029058217,,,0.3333333333333333,,,695
533-116,4198696000012949110,,,0.3333333333333333,,,22500
3-97,4198696000000670362,,,0.5,,,1637.6100000000001
800-2362,4198696000016070190,,,0.5,,,39429.75
800-3965,4198696000028282479,,,0.16666666666666666,,,32000
800-4331,4198696000031243557,,,1.3333333333333333,,,1330
800-3687,4198696000026140409,,,0.16666666666666666,,,4300
800-3894,4198696000027868874,,,0.16666666666666666,,,73299.05
72-3196,4198696000012360028,,,1.6666666666666667,,,3400
333-98,4198696000000144505,,,0.16666666666666666,,,1798.5
528-0023,4198696000001612061,,,0.3333333333333333,,,10065.61
376-112,4198696000000678205,,,0.16666666666666666,,,2471.04
503-021,4198696000000899691,,,0.16666666666666666,,,9872.66
512-1005,4198696000009503346,,,0.3333333333333333,,,14550
72-3098,4198696000006468735,,,0.5,,,5520
533-050,4198696000005766046,,,0.3333333333333333,,,27500
517-1055,4198696000011874210,,,0.16666666666666666,,,32425
130-2027,4198696000016210104,,,0.16666666666666666,,,5460
75-1044,4198696000015464877,,,0.16666666666666666,,,19030
800-2546,4198696000017936835,,,0.16666666666666666,,,70259.42
259-1034,4198696000018627845,,,0.6666666666666666,,,3850
800-3191,4198696000022588797,,,0.3333333333333333,,,100000
800-3670,4198696000026124424,,,1,,,17000
800-3262,4198696000023124082,,,0.16666666666666666,,,28700
800-4196,4198696000029983016,,,0.3333333333333333,,,2950
800-4556,4198696000033554359,,,0.3333333333333333,,,8685
528-0027,4198696000001613240,,,0.8333333333333334,,,8100
11-248,4198696000000136981,,,0.16666666666666666,,,9361
518-0577,4198696000001612853,,,0.5,,,10595.77
520-0068,4198696000001611215,,,0.16666666666666666,,,20909.49
72-3040,4198696000006449143,,,0.6666666666666666,,,4955
130-041,4198696000004150043,,,0.16666666666666666,,,23800
72-3083,4198696000009780116,,,0.6666666666666666,,,5040
533-133,4198696000014500483,,,0.3333333333333333,,,16500
509-1548,4198696000015715528,,,0.3333333333333333,,,11993.1
800-3809,4198696000027122746,,,0.16666666666666666,,,28950
12-1010,4198696000018668088,,,1.8333333333333333,,,45276
800-3564,4198696000025190320,,,0.16666666666666666,,,35090.01
800-4050,4198696000028795803,,,0.5,,,26000
800-4417,4198696000032048850,,,0.16666666666666666,,,72178.07
800-4457,4198696000032412234,,,0.6666666666666666,,,2950
509-0520,4198696000000862696,,,0.16666666666666666,,,8597.3
86-16,4198696000000139708,,,2.3333333333333335,,,38.5
245-396,4198696000000143479,,,1,,,3030.5
522-0125,4198696000001614923,,,0.6666666666666666,,,15472.95
509-0044,4198696000000861103,,,0.8333333333333334,,,8115.18
75-1001,4198696000004629785,,,0.6666666666666666,,,15015
72-3048,4198696000007542122,,,1.8333333333333333,,,3750
72-3030,4198696000005387773,,,1,,,5295
528-0114,4198696000014221082,,,0.5,,,7265.3
800-3501,4198696000024690679,,,0.16666666666666666,,,28141.32
510-1072,4198696000020635952,,,0.16666666666666666,,,58588.75
800-3266,4198696000023124504,,,0.16666666666666666,,,49528.13
800-4044,4198696000028731301,,,0.16666666666666666,,,37500
509-3519,4198696000000865819,,,0.16666666666666666,,,16195.95
259-12,4198696000000143713,,,1,,,4675
118-515,4198696000007811390,,,1.3333333333333333,,,462
72-3167,4198696000004080051,,,1.6666666666666667,,,5440
533-035,4198696000009345221,,,1,,,22175
517-1023,4198696000010328406,,,0.8333333333333334,,,21947.5
510-1034,4198696000014062224,,,0.16666666666666666,,,39719.16
800-2284,4198696000015164318,,,0.16666666666666666,,,41485
517-1099,4198696000016620221,,,0.16666666666666666,,,21660
800-3478,4198696000024532306,,,0.16666666666666666,,,14000
800-3931,4198696000028021931,,,0.16666666666666666,,,18266.4
800-3954,4198696000028104689,,,0.16666666666666666,,,13455.84
800-3392,4198696000023774676,,,0.16666666666666666,,,27100
800-3203,4198696000022646495,,,0.16666666666666666,,,12250
3-127,4198696000000670632,,,0.16666666666666666,,,4148.35
509-0119,4198696000000861778,,,0.16666666666666666,,,9754.95
376-116,4198696000000678241,,,0.16666666666666666,,,1227.84
507-003,4198696000000844003,,,2.3333333333333335,,,2150
534-0066,4198696000004882012,,,0.6666666666666666,,,3995
44-1122,4198696000012410812,,,0.3333333333333333,,,595
130-080,4198696000018234775,,,0.16666666666666666,,,17799
527-0061,4198696000021203977,,,0.3333333333333333,,,1690
130-011,4198696000000899385,,,7.666666666666667,,,4827.4
118-503,4198696000007811543,,,2.3333333333333335,,,687.5
114-1005,4198696000004417907,,,0.16666666666666666,,,2271.5
164-103,4198696000012152028,,,0.3333333333333333,,,1342.04
800-2308,4198696000015399794,,,0.16666666666666666,,,18200
800-3456,4198696000024324452,,,0.16666666666666666,,,5200
800-3896,4198696000027872837,,,0.6666666666666666,,,3651
800-3817,4198696000027235657,,,0.8333333333333334,,,26000
800-4328,4198696000031243106,,,0.16666666666666666,,,5361.3
800-4091,4198696000029035707,,,0.6666666666666666,,,17000
15-240,4198696000000138142,,,0.16666666666666666,,,1694
376-70,4198696000000677827,,,0.6666666666666666,,,2014.9299999999998
127-1020,4198696000001089244,,,3.1666666666666665,,,342.75
509-2501,4198696000000864298,,,0.5,,,5597.2300000000005
535-0004,4198696000003168326,,,1.1666666666666667,,,5300
83-2035,4198696000007812254,,,1.6666666666666667,,,4191
533-057,4198696000010636095,,,0.3333333333333333,,,14500
376-3003,4198696000007509390,,,0.16666666666666666,,,2262.5
800-1282,4198696000007221215,,,0.16666666666666666,,,18053.1
164-113,4198696000012152504,,,0.3333333333333333,,,1278.13
517-1112,4198696000017496009,,,0.3333333333333333,,,14500
67-1006,4198696000018627872,,,0.3333333333333333,,,24948
800-2663,4198696000018788439,,,0.3333333333333333,,,38420
800-3258,4198696000023024672,,,0.16666666666666666,,,32974.07
800-4378,4198696000031553665,,,0.16666666666666666,,,67000
509-1025,4198696000000863407,,,0.3333333333333333,,,23198.75
509-0031,4198696000000860986,,,0.3333333333333333,,,6679.55
21-1018,4198696000000678682,,,0.16666666666666666,,,3869.75
517-1140,4198696000005855646,,,0.16666666666666666,,,19729.4
530-1006,4198696000003952096,,,0.16666666666666666,,,3510
130-030,4198696000004126879,,,2.3333333333333335,,,3706
800-679,4198696000004950268,,,0.16666666666666666,,,56000
11-1007,4198696000004417709,,,0.16666666666666666,,,8745
511-2000,4198696000016366066,,,0.3333333333333333,,,36500
351-2031,4198696000015465246,,,0.8333333333333334,,,20075
800-3712,4198696000026448719,,,0.16666666666666666,,,39950
800-3594,4198696000025591409,,,0.6666666666666666,,,10931.9
800-3992,4198696000028385690,,,0.16666666666666666,,,23265.22
800-4194,4198696000029944311,,,0.16666666666666666,,,15300
376-32,4198696000000677485,,,0.3333333333333333,,,8073.99
528-0057,4198696000001611827,,,0.3333333333333333,,,12177
514-010,4198696000000836223,,,0.3333333333333333,,,1190.3
518-0600,4198696000003396469,,,0.16666666666666666,,,23827.67
512-1032,4198696000007542003,,,0.3333333333333333,,,5489
11-1021,4198696000004417799,,,0.3333333333333333,,,5417.5
67-1004,4198696000015464922,,,0.3333333333333333,,,25767.5
351-2017,4198696000018627962,,,0.5,,,18799
800-3847,4198696000027374806,,,0.16666666666666666,,,30000
800-3804,4198696000027117498,,,0.16666666666666666,,,12960
800-3882,4198696000027754850,,,0.16666666666666666,,,9800
800-3978,4198696000028318113,,,0.3333333333333333,,,59900
800-4083,4198696000029015640,,,0.16666666666666666,,,11039.29
800-4132,4198696000029368894,,,0.16666666666666666,,,35900
509-1036,4198696000000863506,,,0.6666666666666666,,,20337.120000000003
509-0135,4198696000000861922,,,0.6666666666666666,,,10675.01
518-0521,4198696000001612277,,,0.16666666666666666,,,23990
509-0079,4198696000000861418,,,0.16666666666666666,,,6150
351-2010,4198696000004421511,,,0.5,,,18645
530-0007,4198696000003679277,,,0.3333333333333333,,,2500
529-087,4198696000011880125,,,0.6666666666666666,,,17000
517-1076,4198696000013681446,,,0.16666666666666666,,,17230
510-1054,4198696000013123498,,,1.1666666666666667,,,37069.1
520-0176,4198696000020988377,,,0.16666666666666666,,,10688.61
800-2718,4198696000018934682,,,0.16666666666666666,,,5390
800-3559,4198696000025140758,,,0.16666666666666666,,,7200
72-3186,4198696000023474750,,,0.6666666666666666,,,4900
800-3798,4198696000027049175,,,0.16666666666666666,,,3800
509-0552,4198696000000862984,,,0.16666666666666666,,,18804.739999999998
118-74,4198696000000141238,,,0.16666666666666666,,,775.5
524-0581,4198696000001408208,,,0.16666666666666666,,,3990
530-3010,4198696000003976009,,,1.3333333333333333,,,2500
524-0629,4198696000011594602,,,0.5,,,3500
21-1046,4198696000016070676,,,0.5,,,9940
800-3827,4198696000027301074,,,0.3333333333333333,,,27823.94
800-3869,4198696000027633763,,,0.16666666666666666,,,6083.2
800-3688,4198696000026192254,,,0.3333333333333333,,,14800
800-4185,4198696000029836003,,,0.3333333333333333,,,3500
800-4186,4198696000029885121,,,0.16666666666666666,,,20463.59
800-4503,4198696000033148677,,,0.16666666666666666,,,8900
524-0518,4198696000001407641,,,0.16666666666666666,,,19500
57-28,4198696000000139240,,,0.16666666666666666,,,16538.5
509-0052,4198696000000861175,,,1.6666666666666667,,,7983.539999999999
83-2043,4198696000004421745,,,0.6666666666666666,,,11577.5
533-058,4198696000010698144,,,0.16666666666666666,,,19500
376-3174,4198696000010559548,,,0.16666666666666666,,,4854.67
351-2014,4198696000015465165,,,1.1666666666666667,,,15130.5
800-3886,4198696000027855012,,,0.16666666666666666,,,6900
800-3526,4198696000024931001,,,0.16666666666666666,,,4500
800-3150,4198696000022301066,,,0.6666666666666666,,,22000
800-3885,4198696000027855001,,,0.16666666666666666,,,49000
800-4237,4198696000030232048,,,0.5,,,32000
800-4539,4198696000033413716,,,0.3333333333333333,,,10575
259-60,4198696000000143794,,,0.8333333333333334,,,6864
533-003,4198696000005169173,,,0.16666666666666666,,,28950
530-3018,4198696000003976081,,,0.3333333333333333,,,2950
509-1543,4198696000011326740,,,0.3333333333333333,,,11587.38
72-3125,4198696000011228769,,,0.6666666666666666,,,4387.6
14-2001,4198696000022646350,,,0.6666666666666666,,,1626.8
800-4150,4198696000029434104,,,0.3333333333333333,,,4559.28
800-4108,4198696000029259942,,,1.3333333333333333,,,950
800-4215,4198696000030111938,,,0.16666666666666666,,,70000
800-4213,4198696000030025473,,,0.16666666666666666,,,9823.01
86-115,4198696000000139879,,,0.16666666666666666,,,291.5
509-0129,4198696000000861868,,,1,,,15481.18
510-009,4198696000000865297,,,0.16666666666666666,,,119375.89
528-0046,4198696000001611989,,,1.5,,,9231.03
514-005,4198696000000836178,,,0.3333333333333333,,,2833.6
517-1033,4198696000008973528,,,0.3333333333333333,,,21850
529-061,4198696000003315438,,,4,,,17000
376-3063,4198696000012182322,,,0.16666666666666666,,,3250.73
376-3180,4198696000017476105,,,0.3333333333333333,,,2503.8
800-2534,4198696000017818362,,,0.16666666666666666,,,3200
800-3406,4198696000023990247,,,0.8333333333333334,,,795
72-3188,4198696000023474772,,,0.3333333333333333,,,3400
800-4190,4198696000029893788,,,0.3333333333333333,,,3212.5
509-3524,4198696000000865864,,,0.16666666666666666,,,16155
3-32,4198696000000669777,,,0.16666666666666666,,,1986.77
509-0187,4198696000000862390,,,0.3333333333333333,,,12606.75
3-84,4198696000000670245,,,0.16666666666666666,,,1404.28
519-0048,4198696000001610288,,,3,,,6881.3
514-013,4198696000000836250,,,7.166666666666667,,,2600
800-1104,4198696000006515051,,,0.16666666666666666,,,24737.5
800-925,4198696000005829342,,,0.3333333333333333,,,3424
118-519,4198696000010772016,,,0.16666666666666666,,,808.5
3-204,4198696000016302207,,,0.16666666666666666,,,4837.57
800-4259,4198696000030418278,,,0.16666666666666666,,,23000
46-2040,4198696000031531489,,,0.16666666666666666,,,5400
77-18,4198696000001040986,,,0.3333333333333333,,,71.5
509-2593,4198696000000865126,,,0.16666666666666666,,,5715
214-1015,4198696000004421385,,,2.3333333333333335,,,1743.5
800-3519,4198696000024860126,,,0.16666666666666666,,,37800
529-109,4198696000019243288,,,0.16666666666666666,,,20000
528-0112,4198696000021205686,,,2.6666666666666665,,,1117.2
800-3650,4198696000025902791,,,0.16666666666666666,,,3000
800-4263,4198696000030366343,,,0.16666666666666666,,,20975
800-4536,4198696000033356800,,,0.16666666666666666,,,25169.41
73-1005,4198696000007811750,,,1.5,,,1133
800-1628,4198696000009029782,,,0.16666666666666666,,,11881
800-4584,4198696000034104688,,,0.16666666666666666,,,7400
800-3674,4198696000026124960,,,0.3333333333333333,,,18374.46
376-3135,4198696000012342848,,,0.3333333333333333,,,6429.59
510-052,4198696000018727460,,,1,,,116424.56
800-3925,4198696000028019185,,,0.16666666666666666,,,12477.75
800-1486,4198696000008352001,,,0.3333333333333333,,,14450
376-3112,4198696000012342068,,,0.16666666666666666,,,4556.33
800-3039,4198696000020914342,,,0.16666666666666666,,,19500
800-3102,4198696000021832000,,,0.16666666666666666,,,70729
800-4175,4198696000029801259,,,0.16666666666666666,,,3200
800-2268,4198696000015063310,,,0.16666666666666666,,,74059.39
44-1063,4198696000012360336,,,0.3333333333333333,,,650
164-70,4198696000000142129,,,0.6666666666666666,,,665.5
11-15,4198696000000136522,,,0.16666666666666666,,,8096
246-306,4198696000000143587,,,4.333333333333333,,,2887.5
522-0149,4198696000001614158,,,0.16666666666666666,,,31900
83-2005,4198696000004421142,,,3.6666666666666665,,,3943.5
800-510,4198696000004241001,,,0.16666666666666666,,,19452.69
