Product_ID,Avg_Demand_Used,Avg_Demand_6M
4198696000013563179,2,
4198696000017601090,4,
4198696000024519294,1,
4198696000024294662,4,
4198696000027858235,1,
4198696000032251632,1,
4198696000014528187,2,
4198696000005798051,1,
4198696000028979244,1,
4198696000017988734,4,
4198696000027111224,1,
4198696000030693199,6,
4198696000028747339,1,
4198696000005927026,1,
4198696000018896560,1,
4198696000025326095,1,
4198696000005126793,1,
4198696000006422962,1,
4198696000027282718,2,
4198696000010795530,1,
4198696000017775020,1,
4198696000023004672,1,
4198696000020608809,1,
4198696000024344446,7856.5,
4198696000009030568,2,
4198696000004890941,1,
4198696000002671061,1,
4198696000005052215,1,
4198696000011239627,2,
4198696000011451386,1,
4198696000008176049,5,
4198696000026444925,1,
4198696000031122642,1,
4198696000031603183,2000,
4198696000032361278,2,
4198696000025650016,1,
4198696000018164668,4,
4198696000009345513,2,
4198696000030933731,3,
4198696000033554549,2,
4198696000028104511,4,
4198696000001673544,2,
4198696000010314405,2500,
4198696000013400237,2,
4198696000029448709,1,
4198696000008683006,1,
4198696000020388165,4,
4198696000024529159,1,
4198696000027598313,1,
4198696000031082539,2,
4198696000002405004,1,
4198696000012665006,1,
4198696000015377062,1,
4198696000025902090,5,
4198696000032361640,2,
4198696000009452216,1,
4198696000012814012,1,
4198696000009402539,1,
4198696000020539268,2,
4198696000020231478,2,
4198696000008572269,2,
4198696000029876156,1,
4198696000023138104,1,
4198696000026118409,1,
4198696000004105487,10,
4198696000006121466,2,
4198696000023931407,1,
4198696000014179591,1,
4198696000026463238,2,
4198696000015386133,1,
4198696000011766373,1,
4198696000018012174,1,
4198696000004971230,2,
4198696000012836492,1,
4198696000033022873,2,
4198696000022720218,1,
4198696000012393439,2,
4198696000007151479,1,
4198696000023634766,1,
4198696000001631074,2,
4198696000004971146,1,
4198696000007660452,1,
4198696000024669315,1,
4198696000026043294,1,
4198696000024805021,1,
4198696000028974509,4,
4198696000030893006,1,
4198696000002202109,1,
4198696000010802060,2,
4198696000012108046,1,
4198696000024565098,1,
4198696000027330628,1,
4198696000030719134,1,
4198696000001860108,1,
4198696000005252058,2,
4198696000001929063,1,
4198696000013400369,1,
4198696000008163329,1,
4198696000022256448,1,
4198696000024105065,2,
4198696000003070570,1,
4198696000011698020,1,
4198696000007456330,1,
4198696000025146599,1,
4198696000033145315,1,
4198696000002384006,1,
4198696000012239299,10,
4198696000015953301,1,
4198696000025740636,1,
4198696000017815008,3,
4198696000027896096,1,
4198696000011451053,5000,
4198696000011944167,1,
4198696000006966330,1,
4198696000002490026,2,
4198696000008713281,2,
4198696000033144006,1,
4198696000002953078,4,
4198696000023568820,1,
4198696000027868570,1,
4198696000024833181,2,
4198696000013604108,2,
4198696000013047492,1,
4198696000013665141,1,
4198696000026106966,6,
4198696000017441553,1,
4198696000007578030,2,
4198696000005725153,1,
4198696000029002111,1,
4198696000032265244,1,
4198696000008081814,1,
4198696000020154171,1,
4198696000025823156,1,
4198696000023760352,1,
4198696000028313192,2000,
4198696000022204545,2,
4198696000012521174,1,
4198696000020175026,1,
4198696000010517723,2,
4198696000033502206,1,
4198696000017725152,0.09,
4198696000019574215,1,
4198696000009205207,1,
4198696000019053186,1,
4198696000028250522,1,
4198696000012983804,1,
4198696000016585192,2,
4198696000015094415,1,
4198696000020459063,1,
4198696000029037627,1,
4198696000028095980,2000,
4198696000031732664,1,
4198696000019163330,1,
4198696000024336351,1,
4198696000018355024,1,
4198696000009844492,2,
4198696000020729224,1,
4198696000022956055,1,
4198696000016956590,1,
4198696000026904278,2,
4198696000003515084,1,
4198696000009741610,1,
4198696000018645503,2,
4198696000024341932,1,
4198696000028751090,4,
4198696000011825391,2000,
4198696000010370345,10,
4198696000029198074,2,
4198696000027390782,1,
4198696000009715004,2,
4198696000018899600,4,
4198696000027394625,1,
4198696000005059052,1,
4198696000023428239,1,
4198696000003872306,4,
4198696000029024138,1,
4198696000002319004,1,
4198696000023563277,1,
4198696000033576266,1,
4198696000012108044,1,
4198696000028111432,2,
4198696000028802309,1,
4198696000004435284,4,
4198696000023493070,1,
4198696000032239225,1,
4198696000027111280,1,
4198696000030238242,1,
4198696000030018052,1,
4198696000032267457,2,
4198696000002358026,1,
4198696000012108615,1,
4198696000023902163,2,
4198696000025558020,7,
4198696000018697056,1,
4198696000012098135,1,
4198696000007578111,1,
4198696000026630510,2,
4198696000017441125,2,
4198696000018169582,8,
4198696000021233302,1,
4198696000027039916,1,
4198696000006557379,1,
4198696000003945414,1,
4198696000020436550,1,
4198696000028031169,1,
4198696000022924927,1,
4198696000011295101,1,
4198696000029983577,1,
4198696000001783089,1,
4198696000008983375,4,
4198696000027395592,1,
4198696000029920014,1,
4198696000003426146,4,
4198696000024789369,6,
4198696000012698300,2,
4198696000030361067,5,
4198696000003060063,1,
4198696000011130056,2,
4198696000011833062,1,
4198696000014644695,1,
4198696000019022652,2,
4198696000025064117,1,
4198696000024253388,1,
4198696000010341371,1,
4198696000011714294,1700,
4198696000007895026,2,
4198696000019378230,1,
4198696000026940006,1,
4198696000030026005,2,
4198696000011409914,1,
4198696000013658330,1,
4198696000014572959,1,
4198696000030195711,2,
4198696000002427517,2,
4198696000002745268,1,
4198696000013178184,3,
4198696000004271004,1,
4198696000013931258,2,
4198696000009002758,1,
4198696000021759833,1,
4198696000025650012,1,
4198696000006432006,1,
4198696000019073169,1,
4198696000014061411,2,
4198696000024310673,3,
4198696000029007540,1,
4198696000030096363,2,
4198696000021410271,2,
4198696000023629239,1,
4198696000028104509,2,
4198696000030693136,2,
4198696000030547124,1,
4198696000019780561,1,
4198696000025241863,1,
4198696000025084386,1,
4198696000014040413,1,
4198696000007594460,7,
4198696000030905006,1,
4198696000033576085,1,
4198696000026124920,2,
4198696000026865006,1,
4198696000027292054,4,
4198696000003129134,2,
4198696000002976797,1,
4198696000011337226,1,
4198696000023844129,1,
4198696000027366451,1,
4198696000033022841,2,
4198696000033060300,4,
4198696000008615468,1,
4198696000026704663,2,
4198696000003020480,1,
4198696000009956442,1,
4198696000009314858,1,
4198696000020118139,1,
4198696000025902463,9,
4198696000003681109,3,
4198696000001673090,5,
4198696000001929004,1,
4198696000012278065,1,
4198696000015230797,10,
4198696000006242015,1,
4198696000012558975,4,
4198696000008907006,2,
4198696000008983839,1,
4198696000024525245,1,
4198696000005925004,1,
4198696000025870001,2,
4198696000029906075,1,
4198696000030889103,1,
4198696000002538008,1,
4198696000011108004,1,
4198696000010340563,1,
4198696000010564085,1,
4198696000023062791,2000,
4198696000004745179,1,
4198696000011229212,2,
4198696000029278581,1,
4198696000030230792,2,
4198696000028031313,2,
4198696000002962179,1,
4198696000010921318,2,
4198696000014429284,1,
4198696000019861487,1,
4198696000022365383,1,
4198696000022371201,1,
4198696000032008097,6,
4198696000002664151,1,
4198696000016431328,1,
4198696000007898523,2,
4198696000008572277,2,
4198696000022099376,4,
4198696000021410430,1,
4198696000024828762,1,
4198696000023364187,1,
4198696000004624691,1,
4198696000020831006,2000,
4198696000024310733,1,
4198696000003301008,3,
4198696000018507414,1,
4198696000007870670,1,
4198696000025242484,1,
4198696000002025299,2,
4198696000006480371,1,
4198696000020896199,1,
4198696000028006042,8,
4198696000005044482,1,
4198696000026585404,1,
4198696000032483056,1,
4198696000014847120,1,
4198696000014574430,2,
4198696000032239715,1,
4198696000007502731,1,
4198696000008757006,2,
4198696000024414330,8,
4198696000022603711,2,
4198696000030882461,4,
4198696000016051196,28,
4198696000006855617,1,
4198696000021800722,2,
4198696000026422339,2,
4198696000028747519,1,
4198696000029801806,2,
4198696000013523211,2,
4198696000022999160,1,
4198696000029438875,1,
4198696000001878479,2,
4198696000028747899,1,
4198696000033254617,2,
4198696000006015079,1,
4198696000008591184,4,
4198696000011022010,1,
4198696000005096004,1,
4198696000010031110,4,
4198696000011698398,1,
4198696000012836438,2,
4198696000016938067,1,
4198696000022085057,9,
4198696000031817569,2,
4198696000023030137,1,
4198696000024894327,12,
4198696000016051273,1,
4198696000016350491,1,
4198696000007538292,2,
4198696000026694313,1,
4198696000015654054,1,
4198696000009844494,1,
4198696000004797067,1,
4198696000018360406,1,
4198696000015669304,2,
4198696000009029560,1500,
4198696000026556068,1,
4198696000003220004,1,
4198696000015213006,2,
4198696000017209692,1,
4198696000024081148,1,
4198696000030001291,2,
4198696000028370614,1,
4198696000004672774,1,
4198696000018800052,1,
4198696000004362081,1,
4198696000031688340,1,
4198696000021108030,1,
4198696000028788405,3000,
4198696000026645071,1,
4198696000017811910,1,
4198696000030976395,1,
4198696000027971189,2,
4198696000013397004,2,
4198696000020236710,1,
4198696000020701913,2000,
4198696000024320713,1,
4198696000031614761,2,
4198696000016818749,0.2,
4198696000016350489,1,
4198696000021418667,1,
4198696000002319099,1,
4198696000011407758,2,
4198696000016206311,1,
4198696000021616289,1,
4198696000020271086,2,
4198696000032361106,2,
4198696000013683112,2,
4198696000015417395,1,
4198696000019830551,1,
4198696000024334446,1,
4198696000024863056,1,
4198696000012239197,2,
4198696000016621599,1,
4198696000007681777,2,
4198696000012153794,1,
4198696000015712133,1,
4198696000005914166,1,
4198696000009677078,1,
4198696000024415884,1,
4198696000029839520,1,
4198696000032488261,1,
4198696000028092715,1,
4198696000003508348,1,
4198696000020273194,1,
4198696000002986090,4,
4198696000010371349,5,
4198696000014598253,1,
4198696000007538131,1,
4198696000022139004,1,
4198696000003942186,1,
4198696000009967952,1,
4198696000027297450,1,
4198696000027260231,1,
4198696000014724358,1,
4198696000014444148,1,
4198696000003013491,1,
4198696000022598909,1,
4198696000009745762,2,
4198696000018930516,1,
4198696000026052700,1,
4198696000010464384,1,
4198696000005173069,1,
4198696000030354993,1,
4198696000009821110,1,
4198696000032267041,1,
4198696000002672179,1,
4198696000006285127,1,
4198696000022303061,1,
4198696000013704389,1,
4198696000009694369,2000,
4198696000010954149,1,
4198696000028326474,2,
4198696000011766227,1,
4198696000025886953,2,
4198696000030213598,2,
4198696000033403891,1,
4198696000030171868,1,
4198696000016639175,2,
4198696000015213004,2,
4198696000019867237,2,
4198696000023634989,2,
4198696000002925338,2,
4198696000019183528,4,
4198696000002986747,1,
4198696000006595092,2,
4198696000020444974,0.2,
4198696000002986824,1,
4198696000030014530,1,
4198696000006609214,1,
4198696000033593916,1,
4198696000003454888,2,
4198696000018360142,1,
4198696000024771156,2,
4198696000034317224,5,
4198696000002764026,1,
4198696000015953374,2,
4198696000007384320,2,
4198696000030420834,1,
4198696000010038458,2,
4198696000018677186,2,
4198696000008579075,1,
4198696000027987696,1,
4198696000005305562,1,
4198696000015964954,1,
4198696000010117309,1,
4198696000023113588,2,
4198696000033269831,1,
4198696000033536062,1,
4198696000002894215,3,
4198696000011745054,2,
4198696000032361464,2,
4198696000002202295,1,
4198696000011229004,1,
4198696000033476022,2,
4198696000015654048,1,
4198696000002962118,1,
4198696000018531623,4,
4198696000008202131,2,
4198696000008661325,1,
