Product_ID,SKU,Month_Year,Total_Quantity,Net_Sales,Available_Stock,Cost_Fallback_Text,Cost_Fallback_Num,Last_Purchase_Price,Stock_On_Hand,Avg_Demand_6M,Reorder_Flag,Unit_Cost_CRC,On_Hand_Qty,Inventory_Value_CRC,Months_Cover,Reorder_Qty_Lead2m
4198696000004421430,245-2008,2024-09,3,46154.87,0,8970,8970,7342.5,0,0.6666666666666666,1,7342.5,0,0,0,1
4198696000001040941,77-1,2024-08,4,353.98,113,28.16,28.16,22,113,6.166666666666667,0,22,113,2486,18.324324324324323,0
4198696000015464913,67-1002,2025-05,1,63716.81,6,36600,36600,23402.5,6,2.6666666666666665,0,23402.5,6,140415,2.25,0
4198696000026763774,800-3774,2025-07,1,20973.45,0,15000,15000,15000,0,0.16666666666666666,1,15000,0,0,0,0
4198696000000602536,106-27,2024-12,1,4336.28,225,3680.18,3680.18,3680.18,225,5.166666666666667,0,3680.18,225,828040.5,43.54838709677419,0
4198696000004417943,41-1000,2025-06,1,20353.98,314,14000,14000,9185,314,3.1666666666666665,0,9185,314,2884090,99.15789473684211,0
4198696000007811372,254-509,2025-03,5,6194.69,459,590,590,390.5,459,4.5,0,390.5,459,179239.5,102,0
4198696000007811696,72-500,2025-06,2,8849.56,189,2400,2400,1133,189,1.1666666666666667,0,1133,189,214137,162,0
4198696000008815501,130-060,2025-07,4,12700.88,30,2533,2533,2533,30,6,0,2533,30,75990,5,0
4198696000000602356,106-7,2025-01,2,24424.78,11,11324.54,11324.54,11324.539999999999,11,0.6666666666666666,0,11324.539999999999,11,124569.93999999999,16.5,0
4198696000015464904,67-1001,2025-11,1,57522.12,18,32500,32500,20790,18,1.5,0,20790,18,374220,12,0
4198696000000899538,503-004,2025-06,10,17699.12,10,1296.95,1296.95,1296.95,10,2,0,1296.95,10,12969.5,5,0
4198696000000866544,509-0574,2025-02,1,8584.07,6,6318.68,6318.68,6318.68,6,1,0,6318.68,6,37912.08,6,0
4198696000008713423,533-027,2024-08,1,27699.12,3,24780,24780,24780,3,0.3333333333333333,0,24780,3,74340,9,0
4198696000000679663,95-1001,2023-12,1,2017.7,8,1735.02,1735.02,1787.42,8,0.6666666666666666,0,1787.42,8,14299.36,12,0
4198696000000588340,343-17,2024-10,1,1858.41,68,1500,1500,1499.3000000000002,68,18.333333333333332,0,1499.3000000000002,68,101952.40000000001,3.7090909090909094,0
4198696000000141805,133-35,2025-03,1,39893.81,0,25329.92,25329.92,19789,0,0.6666666666666666,1,19789,0,0,0,1
4198696000028046163,800-3937,2025-08,1,38252.21,0,29770.56,29770.56,29770.56,0,0.16666666666666666,1,29770.56,0,0,0,0
4198696000001406309,524-0012,2025-09,1,2920.35,2,2099.99,2099.99,2100,2,0.16666666666666666,0,2100,2,4200,12,0
4198696000014527278,517-1080,2024-12,1,29734.51,7,21996,21996,21996,7,0.5,0,21996,7,153972,14,0
4198696000012057300,505-042,2025-08,1,2654.87,6,1850,1850,1850,6,1.1666666666666667,0,1850,6,11100,5.142857142857142,0
4198696000000862930,509-0546,2025-07,1,21946.9,4,16241.99,16241.99,16241.99,4,0.6666666666666666,0,16241.99,4,64967.96,6,0
4198696000000861337,509-0070,2025-02,1,10619.47,11,7840.41,7840.41,7840.410000000001,11,0.3333333333333333,0,7840.410000000001,11,86244.51000000001,33,0
4198696000010848119,73-10,2025-09,1,4424.78,195,2000,2000,1270.5,195,0.5,0,1270.5,195,247747.5,390,0
4198696000010805400,118-500,2025-02,3,3185.84,51,1150,1150,649,51,4.666666666666667,0,649,51,33099,10.928571428571427,0
4198696000000862111,509-0156,2024-07,1,16194.69,7,11941.56,11941.56,11941.560000000001,7,1.3333333333333333,0,11941.560000000001,7,83590.92000000001,5.25,0
4198696000011064468,512-213,2025-08,1,16814.16,0,13192.37,13192.37,13192.37,0,0.16666666666666666,1,13192.37,0,0,0,0
4198696000004417943,41-1000,2024-07,1,22389.38,314,14000,14000,9185,314,3.1666666666666665,0,9185,314,2884090,99.15789473684211,0
4198696000004224366,800-507,2024-03,1,30265.49,0,24900,24900,24900,0,0.3333333333333333,1,24900,0,0,0,1
4198696000000602419,106-14,2025-03,1,2654.87,332,2373,2373,2562.15,332,32.666666666666664,0,2562.15,332,850633.8,10.16326530612245,0
4198696000026792938,800-3778,2025-07,1,6513.27,0,4999,4999,4999,0,0.16666666666666666,1,4999,0,0,0,0
4198696000003873707,72-3038,2024-07,2,15221.24,9,4800.01,4800.01,5990,9,2.3333333333333335,0,5990,9,53910,3.8571428571428568,0
4198696000012467353,510-1080,2025-10,1,69646.02,1,52914.91,52914.91,52914.91,1,0.8333333333333334,0,52914.91,1,52914.91,1.2,1
4198696000019183023,517-1130,2025-06,1,14601.77,0,10771.2,10771.2,10771.2,0,4.166666666666667,1,10771.2,0,0,0,8
4198696000013924399,517-1122,2025-09,1,23008.85,4,16202.5,16202.5,17337.4,4,0.3333333333333333,0,17337.4,4,69349.6,12,0
4198696000012152513,164-114,2025-07,2,3419.47,4,1342.04,1342.04,1342.04,4,1.1666666666666667,0,1342.04,4,5368.16,3.4285714285714284,0
4198696000001610666,520-0113,2024-05,1,23362.83,3,17285.07,17285.07,17285.07,3,0.16666666666666666,0,17285.07,3,51855.21,18,0
4198696000000602419,106-14,2025-03,4,13097.35,332,2373,2373,2562.15,332,32.666666666666664,0,2562.15,332,850633.8,10.16326530612245,0
4198696000000602536,106-27,2023-12,1,4048.67,225,3680.18,3680.18,3680.18,225,5.166666666666667,0,3680.18,225,828040.5,43.54838709677419,0
4198696000000513120,86-10,2025-06,2,353.98,180,40,40,33,180,0.3333333333333333,0,33,180,5940,540,0
4198696000014025212,534-0059,2024-12,2,8141.59,2,2995,2995,2995,2,0.3333333333333333,0,2995,2,5990,6,0
4198696000001089370,21-2008,2024-04,0.1,2097.35,6.75,15481.7,15481.7,15481.7,6.75,0.05000000000000001,0,15481.7,6.75,104501.475,134.99999999999997,0
4198696000004417871,114-1000,2024-08,1,5398.23,84,2971.8,2971.8,2095.5,84,0.8333333333333334,0,2095.5,84,176022,100.8,0
4198696000002574049,529-045,2025-04,1,30973.45,5,20000,20000,20000,5,0.3333333333333333,0,20000,5,100000,15,0
4198696000004417961,41-1002,2025-02,1,24601.77,99,13650,13650,9625,99,0.16666666666666666,0,9625,99,952875,594,0
4198696000016497017,,2025-08,7,0,,0,0,,,14.5,0,0,0,0,0,29
4198696000000588340,343-17,2025-07,1,1858.41,68,1500,1500,1499.3000000000002,68,18.333333333333332,0,1499.3000000000002,68,101952.40000000001,3.7090909090909094,0
4198696000010805595,12-1018,2024-11,1,79646.02,93,39000,39000,26389,93,1.1666666666666667,0,26389,93,2454177,79.71428571428571,0
4198696000006545507,106-2016,2025-08,2,12389.38,7,4526.4,4526.4,4526.400000000001,7,1.3333333333333333,0,4526.400000000001,7,31684.800000000003,5.25,0
4198696000000899376,130-010,2025-09,4,24778.76,60,3434,3434,4735.2699999999995,60,21.833333333333332,0,4735.2699999999995,60,284116.19999999995,2.7480916030534353,0
4198696000000140581,95-106,2025-09,2,3185.84,79,570.24,570.24,445.5,79,1.3333333333333333,0,445.5,79,35194.5,59.25,0
4198696000000679672,95-1002,2024-05,1,2566.37,0,2118.34,2118.34,2118.34,0,0.16666666666666666,1,2118.34,0,0,0,0
4198696000000678286,376-121,2025-08,1,2300.88,0,1676.86,1676.86,1676.86,0,0.3333333333333333,1,1676.86,0,0,0,1
4198696000012371863,524-0641,2024-12,1,6106.19,1,4500,4500,4500,1,0.16666666666666666,0,4500,1,4500,6,0
4198696000000142219,168-15,2025-05,2,530.97,448,70.4,70.4,55,448,4.833333333333333,0,55,448,24640,92.6896551724138,0
4198696000003678257,517-1016,2025-10,1,34276.11,0,26973,26973,26973,0,0.5,1,26973,0,0,0,1
4198696000000836985,507-001,2025-02,1,2035.4,38,1800,1800,2300,38,3,0,2300,38,87400,12.666666666666666,0
4198696000017936243,800-2541,2025-04,1,27079.65,0,20000,20000,20000,0,0.16666666666666666,1,20000,0,0,0,0
4198696000003678257,517-1016,2025-03,1,36460.18,0,26973,26973,26973,0,0.5,1,26973,0,0,0,1
4198696000001674949,526-0022,2025-04,1,10176.99,0,7529.15,7529.15,7529.150000000001,0,0.6666666666666666,1,7529.150000000001,0,0,0,1
4198696000009867352,72-3089,2025-10,2,14867.26,2,4575,4575,4575,2,1.3333333333333333,0,4575,2,9150,1.5,1
4198696000004161508,531-005,2024-09,1,10424.78,8,8073,8073,8073,8,0.6666666666666666,0,8073,8,64584,12,0
4198696000015465048,67-1022,2025-06,1,54867.26,26,31400,31400,20075,26,0.6666666666666666,0,20075,26,521950,39,0
4198696000006545516,106-2017,2024-06,1,28053.1,4,20764.4,20764.4,20764.4,4,0.8333333333333334,0,20764.4,4,83057.6,4.8,0
4198696000000139861,86-106,2024-09,2,884.96,56,154.88,154.88,121,56,2,0,121,56,6776,28,0
4198696000000899016,502-054,2025-08,1,42743.36,4,34394.17,34394.17,34394.17,4,0.16666666666666666,0,34394.17,4,137576.68,24,0
4198696000014070113,525-0028,2025-07,1,9115.04,1,6700,6700,6700,1,0.16666666666666666,0,6700,1,6700,6,0
4198696000000836985,507-001,2025-04,1,2212.39,38,1800,1800,2300,38,3,0,2300,38,87400,12.666666666666666,0
4198696000006753882,529-059,2025-07,2,46017.7,4,17000,17000,17000,4,1,0,17000,4,68000,4,0
4198696000000864352,509-2507,2025-02,1,7978.76,1,6381.69,6381.69,6381.69,1,0.16666666666666666,0,6381.69,1,6381.69,6,0
4198696000000602536,106-27,2024-07,2,9734.51,225,3680.18,3680.18,3680.18,225,5.166666666666667,0,3680.18,225,828040.5,43.54838709677419,0
4198696000020417484,343-25,2025-03,1,1548.67,5,1385.69,1385.6933,1385.695,5,0.8333333333333334,0,1385.695,5,6928.474999999999,6,0
4198696000000143515,245-563,2025-06,1,11150.44,13,6000,6000,3927,13,3.6666666666666665,0,3927,13,51051,3.5454545454545454,0
4198696000001406777,524-0080,2025-08,1,6106.2,1,4500,4500,4500,1,0.3333333333333333,0,4500,1,4500,3,0
4198696000014527278,517-1080,2025-01,1,29734.51,7,21996,21996,21996,7,0.5,0,21996,7,153972,14,0
4198696000002572959,529-034,2025-07,1,29734.51,0,22000,22000,22000,0,0.5,1,22000,0,0,0,1
4198696000004421430,245-2008,2024-05,1,16194.69,0,8970,8970,7342.5,0,0.6666666666666666,1,7342.5,0,0,0,1
4198696000004126870,130-029,2025-11,4,35824,4,6009.5,6009.5,6009.5,4,2.6666666666666665,0,6009.5,4,24038,1.5,1
4198696000004421250,214-1000,2025-04,1,5486.73,191,3042,3042,2145,191,3,0,2145,191,409695,63.666666666666664,0
4198696000003844629,509-0207,2024-04,1,11681.42,2,9549.49,9549.49,9549.49,2,0.16666666666666666,0,9549.49,2,19098.98,12,0
4198696000000862903,509-0543,2024-10,1,9734.51,8,7182,7182,7182,8,1.3333333333333333,0,7182,8,57456,6,0
4198696000015464949,67-1010,2025-02,1,62831.86,23,31900,31900,20432.5,23,0.8333333333333334,0,20432.5,23,469947.5,27.599999999999998,0
4198696000015145691,510-1042,2025-04,1,81946.9,1,60650.25,60650.25,60650.25,1,0.16666666666666666,0,60650.25,1,60650.25,6,0
4198696000015465012,67-1018,2025-06,1,89380.53,29,49500,49500,31707.5,29,0.16666666666666666,0,31707.5,29,919517.5,174,0
4198696000000602419,106-14,2024-08,1,2920.35,332,2373,2373,2562.15,332,32.666666666666664,0,2562.15,332,850633.8,10.16326530612245,0
4198696000009101649,800-1629,2025-10,1,39568,0,28271.37,28271.37,28271.37,0,0.16666666666666666,1,28271.37,0,0,0,0
4198696000000864460,509-2519,2025-03,1,9557.52,3,7064.41,7064.41,7064.41,3,0.6666666666666666,0,7064.41,3,21193.23,4.5,0
4198696000000836985,507-001,2024-09,1,2212.39,38,1800,1800,2300,38,3,0,2300,38,87400,12.666666666666666,0
4198696000007744023,72-3049,2024-11,2,17585.84,4,7056.45,7056.45,7056.45,4,0.6666666666666666,0,7056.45,4,28225.8,6,0
4198696000000602419,106-14,2025-06,5,15061.95,332,2373,2373,2562.15,332,32.666666666666664,0,2562.15,332,850633.8,10.16326530612245,0
4198696000000588340,343-17,2024-07,1,1858.41,68,1500,1500,1499.3000000000002,68,18.333333333333332,0,1499.3000000000002,68,101952.40000000001,3.7090909090909094,0
4198696000004417763,11-1015,2025-05,1,18141.59,115,10000,10000,6435,115,1,0,6435,115,740025,115,0
4198696000000863236,509-1006,2025-01,2,38053.1,6,14084.59,14084.59,14084.59,6,1,0,14084.59,6,84507.54000000001,6,0
4198696000001614482,522-0147,2024-12,1,37433.63,1,27678.97,27678.97,27678.97,1,0.16666666666666666,0,27678.97,1,27678.97,6,0
4198696000016938293,41-1997,2025-02,1,21504.42,2,15900,15900,15900,2,0.16666666666666666,0,15900,2,31800,12,0
4198696000011274744,72-3139,2024-12,1,7168.14,2,5290,5290,5290,2,1.1666666666666667,0,5290,2,10580,1.7142857142857142,0
4198696000001610054,519-0011,2025-03,1,13107.96,2,10532.81,10532.81,10532.81,2,1,0,10532.81,2,21065.62,2,0
4198696000000865837,509-3521,2025-04,1,16446.02,2,13211.33,13211.33,13211.33,2,0.16666666666666666,0,13211.33,2,26422.66,12,0
4198696000000836985,507-001,2025-08,1,2212.39,38,1800,1800,2300,38,3,0,2300,38,87400,12.666666666666666,0
4198696000007811705,73-1000,2025-02,2,8141.59,103,2300,2300,1133,103,8.5,0,1133,103,116699,12.117647058823529,0
4198696000000140581,95-106,2024-04,1,1592.92,79,570.24,570.24,445.5,79,1.3333333333333333,0,445.5,79,35194.5,59.25,0
4198696000011909037,65-1007,2025-05,1,1592.92,12,1450,1450,1450,12,2.8333333333333335,0,1450,12,17400,4.235294117647059,0
4198696000000862021,509-0146,2025-05,1,17585.84,2,14123.19,14123.19,14123.19,2,0.6666666666666666,0,14123.19,2,28246.38,3,0
4198696000013254658,509-0233,2025-02,1,12212.39,4,9000,9000,9135,4,0.6666666666666666,0,9135,4,36540,6,0
4198696000000602356,106-7,2025-03,2,23893.81,11,11324.54,11324.54,11324.539999999999,11,0.6666666666666666,0,11324.539999999999,11,124569.93999999999,16.5,0
4198696000020459897,800-2979,2025-03,1,7079.65,0,5830,5830,5830,0,0.16666666666666666,1,5830,0,0,0,0
4198696000000862903,509-0543,2025-06,1,8955.75,8,7182,7182,7182,8,1.3333333333333333,0,7182,8,57456,6,0
4198696000004417943,41-1000,2024-11,1,13672.57,314,14000,14000,9185,314,3.1666666666666665,0,9185,314,2884090,99.15789473684211,0
4198696000000863785,509-1517,2025-03,2,26283.19,2,11908.23,11908.23,11908.23,2,0.3333333333333333,0,11908.23,2,23816.46,6,0
4198696000000144109,316-23,2025-10,2,15469.03,18,3520,3520,2750,18,2.3333333333333335,0,2750,18,49500,7.7142857142857135,0
4198696000000588340,343-17,2025-06,1,1858.41,68,1500,1500,1499.3000000000002,68,18.333333333333332,0,1499.3000000000002,68,101952.40000000001,3.7090909090909094,0
4198696000003594538,530-0001,2024-11,1,2300.88,27,1413,1413,1500,27,10.333333333333334,0,1500,27,40500,2.6129032258064515,0
4198696000010251656,72-5002,2025-04,1,7815.93,4,6290,6290,6290,4,0.6666666666666666,0,6290,4,25160,6,0
4198696000007811696,72-500,2025-06,2,8141.59,189,2400,2400,1133,189,1.1666666666666667,0,1133,189,214137,162,0
4198696000000142201,164-111,2025-03,1,1769.91,10,704,704,550,10,0.5,0,550,10,5500,20,0
4198696000001613132,528-0005,2024-11,2,24778.76,2,7319.54,7319.54,7319.54,2,0.3333333333333333,0,7319.54,2,14639.08,6,0
4198696000015464805,75-1035,2025-07,1,70796.46,81,40100,40100,25822.5,81,0.6666666666666666,0,25822.5,81,2091622.5,121.5,0
4198696000000143515,245-563,2025-09,1,11150.44,13,6000,6000,3927,13,3.6666666666666665,0,3927,13,51051,3.5454545454545454,0
4198696000010805595,12-1018,2024-12,1,69026.55,93,39000,39000,26389,93,1.1666666666666667,0,26389,93,2454177,79.71428571428571,0
4198696000014025212,534-0059,2024-12,2,8141.59,2,2995,2995,2995,2,0.3333333333333333,0,2995,2,5990,6,0
4198696000015465147,351-2012,2025-05,1,23761.06,21,21600,21600,13805,21,1.1666666666666667,0,13805,21,289905,18,0
4198696000000588340,343-17,2025-11,1,2389,68,1500,1500,1499.3000000000002,68,18.333333333333332,0,1499.3000000000002,68,101952.40000000001,3.7090909090909094,0
4198696000004993463,517-1045,2024-09,1,21946.9,10,18125,18125,18860,10,0.3333333333333333,0,18860,10,188600,30,0
4198696000032220730,800-4428,2025-10,1,8141.59,0,2524.12,2524.12,2524.12,0,0.16666666666666666,1,2524.12,0,0,0,0
4198696000000863236,509-1006,2025-06,2,35008.85,6,14084.59,14084.59,14084.59,6,1,0,14084.59,6,84507.54000000001,6,0
4198696000003873707,72-3038,2025-08,2,15221.24,9,4800.01,4800.01,5990,9,2.3333333333333335,0,5990,9,53910,3.8571428571428568,0
4198696000032909323,800-4474,2025-10,1,21062,0,12995,12995,12995,0,0.3333333333333333,1,12995,0,0,0,1
4198696000010346117,72-3110,2024-10,2,26371.68,3,9750,9750,9750,3,0.16666666666666666,0,9750,3,29250,18,0
4198696000000602590,106-34,2024-02,1,21504.42,28,16285.71,16285.71,16285.71,28,0.3333333333333333,0,16285.71,28,455999.88,84,0
4198696000010805120,238-2001,2024-11,1,23610.62,36,14000,14000,9355.5,36,0.5,0,9355.5,36,336798,72,0
4198696000000836985,507-001,2025-11,1,2931,38,1800,1800,2300,38,3,0,2300,38,87400,12.666666666666666,0
4198696000000137125,11-288,2024-09,1,17699.12,19,7000,7000,4812.5,19,0.5,0,4812.5,19,91437.5,38,0
4198696000027943795,800-3911,2025-08,1,40530.97,0,30000,30000,30000,0,0.16666666666666666,1,30000,0,0,0,0
4198696000006545534,106-2019,2024-12,1,32729.2,13,24692.8,24692.8,30336.5,13,0.8333333333333334,0,30336.5,13,394374.5,15.6,0
4198696000003594538,530-0001,2025-06,1,1791.15,27,1413,1413,1500,27,10.333333333333334,0,1500,27,40500,2.6129032258064515,0
4198696000001937010,517-3010,2025-02,1,6814.16,5,4975,4975,11666.57,5,0.6666666666666666,0,11666.57,5,58332.85,7.5,0
4198696000015464913,67-1002,2025-09,1,63716.81,6,36600,36600,23402.5,6,2.6666666666666665,0,23402.5,6,140415,2.25,0
4198696000031080801,800-4305,2025-09,1,25221.24,0,15600,15600,15600,0,0.16666666666666666,1,15600,0,0,0,0
4198696000001612970,528-0047,2025-07,2,21769.91,2,8010,8010,8010,2,0.6666666666666666,0,8010,2,16020,3,0
4198696000010661104,534-0028,2024-10,2,11504.42,0,1650,1650,1650,0,0.6666666666666666,1,1650,0,0,0,1
4198696000000139168,46-823,2025-08,1,7876.11,102,4000,4000,2728,102,1.1666666666666667,0,2728,102,278256,87.42857142857142,0
4198696000016497017,,2025-08,8,0,,0,0,,,14.5,0,0,0,0,0,29
4198696000011940096,534-0041,2025-03,2,8849.56,2,2995,2995,2995,2,1.5,0,2995,2,5990,1.3333333333333333,1
4198696000026140244,800-3686,2025-07,1,29292.04,0,21650,21650,21650,0,0.16666666666666666,1,21650,0,0,0,0
4198696000016070190,800-2362,2025-11,1,56460.18,0,39429.75,39429.75,39429.75,0,0.5,1,39429.75,0,0,0,1
4198696000000602311,106-2,2024-06,4,16637.17,319,3128.7,3128.7,3128.7,319,0.3333333333333333,0,3128.7,319,998055.2999999999,957,0
4198696000006632093,521-0048,2025-09,1,13367.26,1,9137.85,9137.85,9137.85,1,0.3333333333333333,0,9137.85,1,9137.85,3,0
4198696000000677026,168-2018,2025-10,1,88.5,44,40.6,40.6,40.6,44,0.6666666666666666,0,40.6,44,1786.4,66,0
4198696000029058217,800-4100,2025-08,2,1946.89,0,695,695,695,0,0.3333333333333333,1,695,0,0,0,1
4198696000007812425,259-1004,2025-02,1,16106.19,42,8910,8910,5940,42,0.16666666666666666,0,5940,42,249480,252,0
4198696000000679573,72-1079,2025-01,2,7490.27,5,2980.17,2980.17,2980.17,5,1.3333333333333333,0,2980.17,5,14900.85,3.75,0
4198696000000899781,503-031,2025-04,2,530.97,15.9,155.16,155.16,155.16,15.9,1.5166666666666666,0,155.16,15.9,2467.044,10.483516483516484,0
4198696000007812425,259-1004,2024-10,1,16106.19,42,8910,8910,5940,42,0.16666666666666666,0,5940,42,249480,252,0
4198696000001610108,519-0031,2025-10,1,12212.39,4,8609.3,8609.3,9147.43,4,0.6666666666666666,0,9147.43,4,36589.72,6,0
4198696000000861724,509-0113,2023-12,1,13008.85,10,11000,11000,11000,10,0.8333333333333334,0,11000,10,110000,12,0
4198696000003679236,530-0004,2024-12,1,1769.91,20,1313,1313,1670,20,7.833333333333333,0,1670,20,33400,2.5531914893617023,0
4198696000000861877,509-0130,2024-03,1,15044.25,13,13465.22,13465.22,13465.220000000001,13,2,0,13465.220000000001,13,175047.86000000002,6.5,0
4198696000004417799,11-1021,2024-08,1,13893.81,45,7683,7683,5417.5,45,0.3333333333333333,0,5417.5,45,243787.5,135,0
4198696000000142174,164-91,2025-05,1,3716.81,48,2000,2000,808.5,48,0.3333333333333333,0,808.5,48,38808,144,0
4198696000000678205,376-112,2024-02,1,1592.92,4,2471.04,2471.04,2471.04,4,0.16666666666666666,0,2471.04,4,9884.16,24,0
4198696000022280979,517-1153,2025-04,1,39345.13,1,30626.8,30626.8,30626.8,1,0.16666666666666666,0,30626.8,1,30626.8,6,0
4198696000003679236,530-0004,2024-06,1,2566.37,20,1313,1313,1670,20,7.833333333333333,0,1670,20,33400,2.5531914893617023,0
4198696000000588349,343-18,2025-02,1,2035.4,33,1676.99,1676.99,1676.99,33,1.6666666666666667,0,1676.99,33,55340.67,19.8,0
4198696000015464994,67-1016,2025-10,1,65946.9,23,39600,39600,25327.5,23,0.8333333333333334,0,25327.5,23,582532.5,27.599999999999998,0
4198696000009345230,533-036,2025-04,2,40530.97,9,15950,15950,15950,9,0.8333333333333334,0,15950,9,143550,10.799999999999999,0
4198696000004421142,83-2005,2025-02,2,18562.83,59,5592.6,5592.6,3943.5,59,3.6666666666666665,0,3943.5,59,232666.5,16.09090909090909,0
4198696000004421142,83-2005,2024-12,2,20176.99,59,5592.6,5592.6,3943.5,59,3.6666666666666665,0,3943.5,59,232666.5,16.09090909090909,0
