v.Product_ID,v.SKU,v.Month_Year,v.Total_Quantity,v.Net_Sales,v.Available_Stock,v.Cost_Fallback_Text,v.Cost_Fallback_Num,v.Last_Purchase_Price,v.Stock_On_Hand,a6.Avg_Demand_6M,Reorder_Flag
4198696000001045704,512-033,2024-11,1,8230.09,3,"CRC 6,065.76",6065.76,6065.76,3,0.5,0
4198696000022148001,800-3127,2025-05,1,30973.45,0,"CRC 20,000.00",20000,20000,0,0.16666666666666666,1
4198696000022901746,800-3236,2025-05,2,22123.89,0,"CRC 7,500.00",7500,7500,0,0.5,1
4198696000000866544,509-0574,2025-01,1,8584.07,6,"CRC 6,318.68",6318.68,6318.68,6,1,0
4198696000000142219,168-15,2025-03,2,530.97,448,CRC 70.40,70.4,55,448,4.833333333333333,0
4198696000000602356,106-7,2023-12,2,27256.64,11,"CRC 11,324.54",11324.54,11324.539999999999,11,0.6666666666666666,0
4198696000004421295,214-1007,2025-05,1,4119.47,189,"CRC 2,379.00",2379,1677.5,189,0.3333333333333333,0
4198696000000862903,509-0543,2025-03,1,8955.75,8,"CRC 7,182.00",7182,7182,8,1.3333333333333333,0
4198696000011326115,510-1000,2025-01,1,65132.74,2,"CRC 48,225.79",48225.79,48225.79,2,0.3333333333333333,0
4198696000011909037,65-1007,2025-07,3,5861.95,12,"CRC 1,450.00",1450,1450,12,2.8333333333333335,0
4198696000003594538,530-0001,2025-07,3,5548.67,27,"CRC 1,413.00",1413,1500,27,10.333333333333334,0
4198696000003159133,505-020,2024-07,1,3274.34,3,"CRC 2,690.00",2690,2475,3,1.3333333333333333,0
4198696000000137125,11-288,2025-02,1,19469.03,19,"CRC 7,000.00",7000,4812.5,19,0.5,0
4198696000003159133,505-020,2024-03,1,3274.34,3,"CRC 2,690.00",2690,2475,3,1.3333333333333333,0
4198696000004993463,517-1045,2024-05,1,25221.24,10,"CRC 18,125.00",18125,18860,10,0.3333333333333333,0
4198696000000836985,507-001,2024-12,1,2212.39,38,"CRC 1,800.00",1800,2300,38,3,0
4198696000003594538,530-0001,2025-09,1,2477.87,27,"CRC 1,413.00",1413,1500,27,10.333333333333334,0
4198696000004421529,46-2004,2025-01,1,12300.88,193,"CRC 6,809.40",6809.4,4801.5,193,0.3333333333333333,0
4198696000024699302,800-3506,2025-06,1,1769.91,0,CRC 800.00,800,800,0,0.16666666666666666,1
4198696000010698252,534-0029,2025-08,2,10265.49,2,"CRC 3,750.00",3750,3750,2,0.3333333333333333,0
4198696000000136540,11-36,2024-10,1,26548.67,19,"CRC 14,000.00",14000,9823,19,0.16666666666666666,0
4198696000000865117,509-2592,2025-10,1,9292.04,2,"CRC 5,715.00",5715,5715,2,0.16666666666666666,0
4198696000020811181,72-3107,2025-04,2,14329.2,5,"CRC 5,734.95",5734.95,5734.95,5,0.6666666666666666,0
4198696000007813988,72-3143,2024-07,2,23716.81,2,"CRC 8,752.74",8752.74,8752.74,2,0.3333333333333333,0
4198696000000588340,343-17,2024-01,1,1858.41,68,"CRC 1,500.00",1500,1499.3000000000002,68,18.333333333333332,0
4198696000009136045,533-032,2025-05,2,39292.04,8,"CRC 14,500.00",14500,14500,8,36,1
4198696000000139861,86-106,2025-01,1,442.48,56,CRC 154.88,154.88,121,56,2,0
4198696000000602419,106-14,2024-12,4,10095.58,332,"CRC 2,373.00",2373,2562.15,332,32.666666666666664,0
4198696000028567215,800-4019,2025-08,1,11153.98,0,"CRC 8,975.00",8975,8975,0,0.16666666666666666,1
4198696000003751962,530-0027,2025-04,1,3989.38,13,"CRC 3,150.00",3150,2990,13,0.3333333333333333,0
4198696000011909037,65-1007,2025-03,1,2123.89,12,"CRC 1,450.00",1450,1450,12,2.8333333333333335,0
4198696000021263651,72-3171,2025-06,1,5309.73,1,"CRC 3,605.00",3605,3605,1,0.3333333333333333,0
4198696000001089370,21-2008,2025-05,0.05,964.78,6.75,"CRC 15,481.70",15481.7,15481.7,6.75,0.05000000000000001,0
4198696000010915568,517-1049,2024-11,1,30530.97,1,"CRC 22,875.60",22875.6,22875.6,1,0.16666666666666666,0
4198696000004161508,531-005,2024-07,1,10973.45,8,"CRC 8,073.00",8073,8073,8,0.6666666666666666,0
4198696000007812290,83-2039,2024-10,1,13716.81,80,"CRC 7,080.00",7080,4713.5,80,0.5,0
4198696000000602536,106-27,2025-11,1,6194.69,225,"CRC 3,680.18",3680.18,3680.18,225,5.166666666666667,0
4198696000000136756,11-155,2025-03,1,20176.99,32,"CRC 10,600.00",10600,7557,32,1.3333333333333333,0
4198696000004417763,11-1015,2025-02,1,20088.5,115,"CRC 10,000.00",10000,6435,115,1,0
4198696000007812479,351-2001,2025-03,1,22477.88,28,"CRC 12,450.00",12450,8294,28,1.1666666666666667,0
4198696000010805595,12-1018,2025-01,1,63504.42,93,"CRC 39,000.00",39000,26389,93,1.1666666666666667,0
4198696000006945829,130-2012,2025-10,1,21769.91,1,"CRC 14,800.00",14800,16560,1,0.16666666666666666,0
4198696000000588340,343-17,2024-09,1,1765.49,68,"CRC 1,500.00",1500,1499.3000000000002,68,18.333333333333332,0
4198696000004421349,214-1010,2025-11,1,7327,94,"CRC 4,212.00",4212,2970,94,0.5,0
4198696000026460347,800-3719,2025-07,1,16460.18,0,"CRC 9,719.25",9719.25,9719.25,0,0.16666666666666666,1
4198696000003142010,533-009,2025-07,1,39730.97,9,"CRC 31,950.00",31950,31950,9,0.6666666666666666,0
4198696000000602536,106-27,2024-03,9,43805.31,225,"CRC 3,680.18",3680.18,3680.18,225,5.166666666666667,0
