SKU,Product_ID,Invoice_Date,Line_Quantity,Line_Total_BCY
,4198696000002202572,03 Jan 2024,1.00,2743.36
,4198696000002246192,04 Jan 2024,1.00,4424.78
,4198696000002250163,04 Jan 2024,1.00,8584.07
,4198696000002250165,04 Jan 2024,1.00,8584.07
,4198696000002266632,06 Jan 2024,1.00,1765.49
,4198696000002266634,06 Jan 2024,1.00,1765.49
,4198696000002280052,05 Jan 2024,1.00,17345.13
,4198696000002309032,08 Jan 2024,1.00,15575.22
,4198696000002309034,08 Jan 2024,10.00,3097.35
,4198696000002344148,09 Jan 2024,1.00,21415.93
,4198696000002345077,09 Jan 2024,1.00,1504.42
,4198696000002345226,09 Jan 2024,1.00,80530.97
,4198696000002426175,11 Jan 2024,1.00,10265.49
,4198696000002427253,11 Jan 2024,1.00,3982.3
,4198696000002427517,11 Jan 2024,2.00,16991.15
,4198696000002427519,11 Jan 2024,2.00,22831.86
,4198696000002427521,11 Jan 2024,2.00,5132.74
,4198696000002460157,12 Jan 2024,1.00,15840.71
,4198696000002481499,15 Jan 2024,2.00,24424.78
,4198696000002549104,16 Jan 2024,12.00,31858.41
,4198696000002581266,17 Jan 2024,1.00,17522.12
,4198696000002581268,17 Jan 2024,1.00,17522.12
,4198696000002582172,17 Jan 2024,1.00,2831.86
,4198696000002582174,17 Jan 2024,1.00,2831.86
,4198696000002582500,19 Jan 2024,2.00,8141.59
,4198696000002582502,19 Jan 2024,2.00,12389.38
,4198696000002582504,19 Jan 2024,1.00,6548.67
,4198696000002582506,19 Jan 2024,2.00,7079.65
,4198696000002582508,19 Jan 2024,1.00,5575.22
,4198696000002583416,19 Jan 2024,2.00,4424.78
,4198696000002583418,19 Jan 2024,1.00,3274.34
,4198696000002583420,19 Jan 2024,2.00,7079.65
,4198696000002583422,19 Jan 2024,1.00,12743.36
,4198696000002584086,17 Jan 2024,1.00,2389.38
,4198696000002584088,17 Jan 2024,2.00,7079.65
,4198696000002584090,17 Jan 2024,1.00,3362.83
,4198696000002584092,17 Jan 2024,1.00,3185.84
,4198696000002601042,17 Jan 2024,1.00,49557.52
,4198696000002604288,18 Jan 2024,1.00,30088.5
,4198696000002604290,18 Jan 2024,10.00,3097.35
,4198696000002604646,19 Jan 2024,1.00,21238.94
,4198696000002622915,19 Jan 2024,1.00,26548.67
,4198696000002650048,20 Jan 2024,1.00,973.45
,4198696000002650050,20 Jan 2024,1.00,4601.77
,4198696000002650094,20 Jan 2024,1.00,9911.5
,4198696000002664004,22 Jan 2024,1.00,1238.94
,4198696000002664006,22 Jan 2024,1.00,1946.9
,4198696000002664008,22 Jan 2024,1.00,4070.8
,4198696000002664010,22 Jan 2024,5.00,13274.34
,4198696000002664125,22 Jan 2024,2.00,3982.3
,4198696000002664127,22 Jan 2024,1.00,2654.87
,4198696000002664129,22 Jan 2024,2.00,5663.72
,4198696000002664131,22 Jan 2024,1.00,7964.6
,4198696000002664339,22 Jan 2024,1.00,39823.01
,4198696000002670442,22 Jan 2024,1.00,31592.92
,4198696000002670444,22 Jan 2024,2.00,11858.41
,4198696000002670446,22 Jan 2024,1.00,31592.92
,4198696000002670551,23 Jan 2024,2.00,105486.73
,4198696000002672177,23 Jan 2024,1.00,9380.53
,4198696000002672179,23 Jan 2024,1.00,9380.53
,4198696000002672372,23 Jan 2024,1.00,9734.51
,4198696000002672374,23 Jan 2024,1.00,9734.51
,4198696000002714308,24 Jan 2024,1.00,2920.35
,4198696000002714489,24 Jan 2024,1.00,9292.04
,4198696000002737004,24 Jan 2024,1.00,12743.36
,4198696000002745266,25 Jan 2024,1.00,26814.16
,4198696000002745268,25 Jan 2024,1.00,28495.58
